condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;1;1
18287;1;0
18288;1;0
18289;1;0
18290;1;0
18291;1;0
18292;1;0
18293;1;0
18294;1;0
18295;1;0
18296;1;0
18297;1;0
18298;1;0
18299;1;0
18300;1;0
18301;1;0
18302;1;0
18303;1;0
18304;1;0
18305;1;0
18306;1;0
18307;1;0
18308;1;0
18309;1;0
18310;1;0
18311;1;0
18312;1;0
18313;1;0
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;1;0
18334;1;0
18335;1;0
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;2;1
18345;2;0
18346;3;1
18347;3;0
18348;4;1
18349;5;1
18350;5;0
18351;5;0
18352;5;0
18353;5;0
18354;6;1
18355;6;0
18356;9;3
18357;9;0
18358;9;0
18359;9;0
18360;9;0
18361;9;0
18362;9;0
18363;9;0
18364;12;3
18365;14;2
18366;16;2
18367;16;0
18368;16;0
18369;30;14
18370;31;1
18371;31;0
18372;31;0
18373;43;12
18374;45;2
18375;48;3
18376;49;1
18377;49;0
18378;52;3
18379;52;0
18380;54;2
18381;57;3
18382;57;0
18383;59;2
18384;59;0
18385;75;16
18386;75;0
18387;82;7
18388;99;17
18389;101;2
18390;102;1
18391;110;8
18392;110;0
18393;134;24
18394;217;83
18395;250;33
18396;249;-1
18397;267;18
18398;291;24
18399;295;4
18400;375;80
18401;402;27
18402;427;25
18403;457;30
18404;516;59
18405;584;68
18406;603;19
18407;682;79
18408;772;90
18409;886;114
18410;1042;156
18411;1212;170
18412;1401;189
18413;1572;171
18414;1811;239
18415;2099;288
18416;2300;201
18417;2634;334
18418;2912;278
18419;3235;323
18420;3448;213
18421;3762;314
18422;4086;324
18423;4364;278
18424;4614;250
18425;5062;448
18426;5335;273
18427;5760;425
18428;6211;451
18429;6591;380
18430;7177;586
18431;7848;671
18432;8274;426
18433;8605;331
18434;9026;421
18435;9561;535
18436;10099;538
18437;10728;629
18438;11162;434
18439;11755;593
18440;12309;554
18441;12772;463
18442;13248;476
18443;13564;316
18444;14046;482
18445;14519;473
18446;15259;740
18447;15491;232
18448;15784;293
18449;15964;180
18450;16168;204
18451;16423;255
18452;16531;108
18453;16649;118
18454;16719;70
18455;16801;82
18456;16945;144
18457;17061;116
18458;17177;116
18459;17344;167
18460;17445;101
18461;17502;57
18462;17658;156
18463;17844;186
18464;17994;150
18465;18094;100
18466;18241;147
18467;18374;133
18468;18483;109
18469;18613;130
18470;18752;139
18471;19063;311
18472;19273;210
18473;19547;274
18474;19771;224
18475;20086;315
18476;20332;246
18477;20750;418
18478;21009;259
18479;21390;381
18480;21750;360
18481;22214;464
18482;22592;378
18483;22972;380
18484;23310;338
18485;23948;638
18486;24432;484
18487;24957;525
18488;25551;594
18489;26019;468
18490;26660;641
18491;27241;581
18492;28257;1016
18493;28938;681
18494;29645;707
18495;30483;838
18496;31117;634
18497;31935;818
18498;32678;743
18499;33533;855
18500;34418;885
18501;35529;1111
18502;36456;927
18503;37340;884
18504;38561;1221
18505;39460;899
18506;40529;1069
18507;41649;1120
18508;42877;1228
18509;44236;1359
18510;45277;1041
18511;46257;980
18512;47236;979
18513;48138;902
18514;49219;1081
18515;50465;1246
18516;51919;1454
18517;53120;1201
18518;54159;1039
18519;55329;1170
18520;56788;1459
18521;58327;1539
18522;59573;1246
18523;61593;2020
18524;62797;1204
18525;64122;1325
