condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;1;1
18320;1;0
18321;6;5
18322;10;4
18323;18;8
18324;24;6
18325;38;14
18326;82;44
18327;128;46
18328;188;60
18329;265;77
18330;321;56
18331;382;61
18332;503;121
18333;503;0
18334;806;303
18335;962;156
18336;1138;176
18337;1416;278
18338;1711;295
18339;2058;347
18340;2467;409
18341;3003;536
18342;3640;637
18343;4217;577
18344;4764;547
18345;5580;816
18346;6438;858
18347;7468;1030
18348;8647;1179
18349;9819;1172
18350;10930;1111
18351;11817;887
18352;12667;850
18353;13696;1029
18354;14788;1092
18355;15821;1033
18356;16727;906
18357;17953;1226
18358;18926;973
18359;19709;783
18360;20682;973
18361;21903;1221
18362;23249;1346
18363;24571;1322
18364;25746;1175
18365;26710;964
18366;27580;870
18367;28316;736
18368;29383;1067
18369;30619;1236
18370;31766;1147
18371;32838;1072
18372;33588;750
18373;34317;729
18374;35032;715
18375;35921;889
18376;36729;808
18377;37384;655
18378;38040;656
18379;38440;400
18380;38612;172
18381;38998;386
18382;39512;514
18383;39989;477
18384;40434;445
18385;40769;335
18386;40968;199
18387;41286;318
18388;41518;232
18389;41973;455
18390;42292;319
18391;42581;289
18392;42826;245
18393;42987;161
18394;43183;196
18395;43410;227
18396;43680;270
18397;43880;200
18398;44070;190
18399;44195;125
18400;44341;146
18401;44449;108
18402;44647;198
18403;44900;253
18404;45088;188
18405;45265;177
18406;45437;172
18407;45647;210
18408;45780;133
18409;45970;190
18410;46152;182
18411;46328;176
18412;46460;132
18413;46645;185
18414;46749;104
18415;46852;103
18416;46939;87
18417;47148;209
18418;47358;210
18419;47541;183
18420;47780;239
18421;47945;165
18422;48109;164
18423;48294;185
18424;48458;164
18425;48668;210
18426;48847;179
18427;48990;143
18428;49155;165
18429;49295;140
18430;49412;117
18431;49527;115
18432;49634;107
18433;49710;76
18434;49801;91
18435;49866;65
18436;49930;64
18437;50012;82
18438;50122;110
18439;50213;91
18440;50282;69
18441;50355;73
18442;50433;78
18443;50483;50
18444;50545;62
18445;50623;78
18446;50698;75
18447;50761;63
18448;50834;73
18449;50870;36
18450;50907;37
18451;50959;52
18452;51013;54
18453;51055;42
18454;51136;81
18455;51237;101
18456;51308;71
18457;51362;54
18458;51471;109
18459;51572;101
18460;51682;110
18461;51809;127
18462;51955;146
18463;52142;187
18464;52307;165
18465;52475;168
18466;52640;165
18467;52837;197
18468;52984;147
18469;53278;294
18470;53424;146
18471;53647;223
18472;53895;248
18473;54249;354
18474;54590;341
18475;55021;431
18476;55408;387
18477;55786;378
18478;56279;493
18479;56750;471
18480;57465;715
18481;58117;652
18482;58717;600
18483;59360;643
18484;60058;698
18485;60391;333
18486;61718;1327
18487;62406;688
18488;63127;721
18489;63889;762
18490;64468;579
18491;64980;512
18492;65560;580
18493;66218;658
18494;66843;625
18495;67456;613
18496;68051;595
18497;68570;519
18498;69224;654
18499;69683;459
18500;70382;699
18501;70984;602
18502;71557;573
18503;72128;571
18504;72679;551
18505;73232;553
18506;73802;570
18507;74660;858
18508;75356;696
18509;76173;817
18510;76907;734
18511;77857;950
18512;78702;845
18513;79792;1090
18514;81085;1293
18515;82016;931
