condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;1;1
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;3;2
18326;3;0
18327;4;1
18328;5;1
18329;5;0
18330;5;0
18331;5;0
18332;5;0
18333;5;0
18334;5;0
18335;6;1
18336;8;2
18337;8;0
18338;12;4
18339;20;8
18340;28;8
18341;39;11
18342;52;13
18343;102;50
18344;102;0
18345;155;53
18346;205;50
18347;283;78
18348;368;85
18349;451;83
18350;514;63
18351;589;75
18352;647;58
18353;708;61
18354;797;89
18355;868;71
18356;950;82
18357;1039;89
18358;1106;67
18359;1160;54
18360;1210;50
18361;1239;29
18362;1283;44
18363;1312;29
18364;1330;18
18365;1349;19
18366;1366;17
18367;1386;20
18368;1401;15
18369;1409;8
18370;1422;13
18371;1431;9
18372;1440;9
18373;1445;5
18374;1451;6
18375;1456;5
18376;1461;5
18377;1470;9
18378;1469;-1
18379;1472;3
18380;1474;2
18381;1476;2
18382;1479;3
18383;1485;6
18384;1487;2
18385;1487;0
18386;1486;-1
18387;1488;2
18388;1489;1
18389;1490;1
18390;1492;2
18391;1494;2
18392;1497;3
18393;1497;0
18394;1497;0
18395;1497;0
18396;1498;1
18397;1498;0
18398;1499;1
18399;1499;0
18400;1499;0
18401;1503;4
18402;1503;0
18403;1504;1
18404;1504;0
18405;1504;0
18406;1504;0
18407;1504;0
18408;1504;0
18409;1504;0
18410;1504;0
18411;1504;0
18412;1504;0
18413;1504;0
18414;1504;0
18415;1504;0
18416;1504;0
18417;1504;0
18418;1504;0
18419;1504;0
18420;1504;0
18421;1504;0
18422;1504;0
18423;1504;0
18424;1504;0
18425;1504;0
18426;1504;0
18427;1504;0
18428;1506;2
18429;1506;0
18430;1507;1
18431;1507;0
18432;1509;2
18433;1511;2
18434;1513;2
18435;1515;2
18436;1516;1
18437;1519;3
18438;1520;1
18439;1522;2
18440;1526;4
18441;1528;2
18442;1528;0
18443;1528;0
18444;1530;2
18445;1530;0
18446;1530;0
18447;1533;3
18448;1534;1
18449;1536;2
18450;1537;1
18451;1540;3
18452;1542;2
18453;1543;1
18454;1544;1
18455;1544;0
18456;1545;1
18457;1547;2
18458;1548;1
18459;1549;1
18460;1550;1
18461;1553;3
18462;1554;1
18463;1555;1
18464;1555;0
18465;1555;0
18466;1556;1
18467;1556;0
18468;1556;0
18469;1556;0
18470;1557;1
18471;1559;2
18472;1560;1
18473;1560;0
18474;1562;2
18475;1565;3
18476;1567;2
18477;1567;0
18478;1569;2
18479;1569;0
18480;1569;0
18481;1569;0
18482;1569;0
18483;1569;0
18484;1570;1
18485;1570;0
18486;1589;19
18487;1602;13
18488;1609;7
18489;1622;13
18490;1631;9
18491;1643;12
18492;1649;6
18493;1654;5
18494;1665;11
18495;1671;6
18496;1674;3
18497;1683;9
18498;1690;7
18499;1695;5
18500;1702;7
18501;1714;12
18502;1727;13
18503;1729;2
18504;1738;9
18505;1752;14
18506;1757;5
18507;1759;2
18508;1764;5
18509;1767;3
18510;1772;5
18511;1776;4
18512;1782;6
18513;1788;6
18514;1792;4
18515;1793;1
18516;1795;2
18517;1797;2
18518;1798;1
18519;1801;3
18520;1802;1
