condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;1;1
18342;1;0
18343;2;1
18344;3;1
18345;3;0
18346;7;4
18347;10;3
18348;10;0
18349;10;0
18350;18;8
18351;27;9
18352;27;0
18353;74;47
18354;98;24
18355;120;22
18356;144;24
18357;184;40
18358;253;69
18359;278;25
18360;342;64
18361;410;68
18362;438;28
18363;491;53
18364;529;38
18365;529;0
18366;570;41
18367;584;14
18368;584;0
18369;627;43
18370;639;12
18371;648;9
18372;648;0
18373;657;9
18374;662;5
18375;671;9
18376;681;10
18377;684;3
18378;696;12
18379;701;5
18380;709;8
18381;713;4
18382;719;6
18383;728;9
18384;736;8
18385;750;14
18386;755;5
18387;763;8
18388;770;7
18389;781;11
18390;795;14
18391;815;20
18392;821;6
18393;832;11
18394;854;22
18395;860;6
18396;876;16
18397;885;9
18398;889;4
18399;904;15
18400;909;5
18401;914;5
18402;920;6
18403;924;4
18404;937;13
18405;943;6
18406;945;2
18407;951;6
18408;952;1
18409;952;0
18410;955;3
18411;955;0
18412;956;1
18413;958;2
18414;958;0
18415;960;2
18416;961;1
18417;963;2
18418;966;3
18419;970;4
18420;973;3
18421;973;0
18422;974;1
18423;974;0
18424;974;0
18425;978;4
18426;980;2
18427;980;0
18428;980;0
18429;1016;36
18430;1020;4
18431;1020;0
18432;1020;0
18433;1035;15
18434;1036;1
18435;1046;10
18436;1051;5
18437;1051;0
18438;1056;5
18439;1059;3
18440;1062;3
18441;1074;12
18442;1075;1
18443;1075;0
18444;1075;0
18445;1081;6
18446;1082;1
18447;1082;0
18448;1088;6
18449;1093;5
18450;1094;1
18451;1097;3
18452;1097;0
18453;1099;2
18454;1099;0
18455;1099;0
18456;1099;0
18457;1099;0
18458;1100;1
18459;1102;2
18460;1102;0
18461;1104;2
18462;1104;0
18463;1105;1
18464;1113;8
18465;1122;9
18466;1124;2
18467;1124;0
18468;1124;0
18469;1136;12
18470;1132;-4
18471;1132;0
18472;1132;0
18473;1134;2
18474;1134;0
18475;1136;2
18476;1147;11
18477;1152;5
18478;1152;0
18479;1152;0
18480;1153;1
18481;1153;0
18482;1157;4
18483;1158;1
18484;1158;0
18485;1158;0
18486;1161;3
18487;1161;0
18488;1161;0
18489;1165;4
18490;1167;2
18491;1167;0
18492;1167;0
18493;1167;0
18494;1169;2
18495;1172;3
18496;1172;0
18497;1172;0
18498;1172;0
18499;1173;1
18500;1173;0
18501;1173;0
18502;1175;2
18503;1175;0
18504;1175;0
18505;1176;1
18506;1176;0
18507;1176;0
18508;1177;1
18509;1177;0
18510;1177;0
18511;1177;0
18512;1177;0
18513;1178;1
18514;1178;0
18515;1178;0
18516;1178;0
18517;1178;0
18518;1180;2
18519;1180;0
18520;1182;2
18521;1182;0
18522;1183;1
18523;1183;0
18524;1183;0
18525;1188;5
18526;1189;1
18527;1193;4
18528;1193;0
18529;1194;1
