condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;1;0
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;3;2
18328;3;0
18329;3;0
18330;3;0
18331;7;4
18332;7;0
18333;7;0
18334;14;7
18335;14;0
18336;14;0
18337;18;4
18338;26;8
18339;35;9
18340;48;13
18341;67;19
18342;85;18
18343;115;30
18344;136;21
18345;148;12
18346;177;29
18347;201;24
18348;219;18
18349;241;22
18350;259;18
18351;285;26
18352;329;44
18353;354;25
18354;384;30
18355;430;46
18356;483;53
18357;555;72
18358;570;15
18359;599;29
18360;617;18
18361;663;46
18362;711;48
18363;760;49
18364;828;68
18365;854;26
18366;908;54
18367;974;66
18368;1081;107
18369;1117;36
18370;1170;53
18371;1207;37
18372;1225;18
18373;1231;6
18374;1259;28
18375;1300;41
18376;1326;26
18377;1367;41
18378;1386;19
18379;1399;13
18380;1421;22
18381;1442;21
18382;1465;23
18383;1494;29
18384;1506;12
18385;1511;5
18386;1518;7
18387;1526;8
18388;1539;13
18389;1572;33
18390;1586;14
18391;1622;36
18392;1642;20
18393;1664;22
18394;1674;10
18395;1694;20
18396;1723;29
18397;1740;17
18398;1762;22
18399;1792;30
18400;1817;25
18401;1839;22
18402;1858;19
18403;1898;40
18404;1921;23
18405;1941;20
18406;1978;37
18407;1999;21
18408;2014;15
18409;2039;25
18410;2077;38
18411;2129;52
18412;2164;35
18413;2226;62
18414;2315;89
18415;2391;76
18416;2492;101
18417;2611;119
18418;2790;179
18419;2915;125
18420;3025;110
18421;3152;127
18422;3239;87
18423;3364;125
18424;3538;174
18425;3701;163
18426;3895;194
18427;4057;162
18428;4157;100
18429;4299;142
18430;4482;183
18431;4664;182
18432;4820;156
18433;5005;185
18434;5106;101
18435;5196;90
18436;5311;115
18437;5445;134
18438;5595;150
18439;5758;163
18440;5906;148
18441;6080;174
18442;6209;129
18443;6334;125
18444;6454;120
18445;6625;171
18446;6787;162
18447;6932;145
18448;7046;114
18449;7124;78
18450;7244;120
18451;7406;162
18452;7572;166
18453;7777;205
18454;7975;198
18455;8111;136
18456;8197;86
18457;8332;135
18458;8530;198
18459;8623;93
18460;8786;163
18461;9026;240
18462;9153;127
18463;9249;96
18464;9412;163
18465;9547;135
18466;9669;122
18467;9797;128
18468;9934;137
18469;10086;152
18470;10213;127
18471;10315;102
18472;10503;188
18473;10617;114
18474;10754;137
18475;10891;137
18476;11054;163
18477;11128;74
18478;11202;74
18479;11289;87
18480;11399;110
18481;11554;155
18482;11754;200
18483;11839;85
18484;11942;103
18485;12083;141
18486;12217;134
18487;12357;140
18488;12515;158
18489;12653;138
18490;12739;86
18491;12840;101
18492;12970;130
18493;13076;106
18494;13194;118
18495;13308;114
18496;13458;150
18497;13595;137
18498;13673;78
18499;13799;126
18500;13914;115
18501;14004;90
18502;14163;159
18503;14293;130
18504;14330;37
18505;14341;11
18506;14455;114
18507;14600;145
18508;14762;162
18509;14871;109
18510;14998;127
18511;15090;92
18512;15127;37
18513;15226;99
18514;15293;67
18515;15414;121
18516;15555;141
18517;15694;139
18518;15791;97
18519;15827;36
18520;15925;98
18521;16088;163
18522;16274;186
