condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;2;2
18318;2;0
18319;2;0
18320;4;2
18321;4;0
18322;4;0
18323;5;1
18324;5;0
18325;5;0
18326;6;1
18327;6;0
18328;6;0
18329;6;0
18330;16;10
18331;19;3
18332;20;1
18333;28;8
18334;31;3
18335;53;22
18336;136;83
18337;236;100
18338;299;63
18339;454;155
18340;501;47
18341;730;229
18342;776;46
18343;875;99
18344;972;97
18345;1063;91
18346;1201;138
18347;1373;172
18348;1495;122
18349;1597;102
18350;1717;120
18351;1938;221
18352;2118;180
18353;2421;303
18354;2686;265
18355;2818;132
18356;3157;339
18357;3766;609
18358;4035;269
18359;4263;228
18360;4489;226
18361;4695;206
18362;5011;316
18363;5230;219
18364;5496;266
18365;5837;341
18366;6383;546
18367;6919;536
18368;7025;106
18369;7638;613
18370;8348;710
18371;8418;70
18372;9565;1147
18373;10076;511
18374;11155;1079
18375;11940;785
18376;12723;783
18377;13328;605
18378;13915;587
18379;14612;697
18380;15525;913
18381;16817;1292
18382;18114;1297
18383;19103;989
18384;20084;981
18385;20941;857
18386;22049;1108
18387;24073;2024
18388;24644;571
18389;26435;1791
18390;28736;2301
18391;30334;1598
18392;32081;1747
18393;34336;2255
18394;35298;962
18395;35788;490
18396;38799;3011
18397;38799;0
18398;40151;1352
18399;42125;1974
18400;43966;1841
18401;45898;1932
18402;48091;2193
18403;50694;2603
18404;52437;1743
18405;54601;2164
18406;56349;1748
18407;57705;1356
18408;59151;1446
18409;61227;2076
18410;64028;2801
18411;66457;2429
18412;69496;3039
18413;72460;2964
18414;76398;3938
18415;80463;4065
18416;85264;4801
18417;89249;3985
18418;93983;4734
18419;98943;4960
18420;103671;4728
18421;108317;4646
18422;113702;5385
18423;119536;5834
18424;125933;6397
18425;125933;0
18426;132405;6472
18427;144478;12073
18428;148921;4443
18429;154760;5839
18430;160118;5358
18431;165062;4944
18432;171666;6604
18433;176617;4951
18434;181088;4471
18435;185034;3946
18436;188926;3892
18437;192970;4044
18438;195745;2775
18439;198883;3138
18440;202955;4072
18441;206512;3557
18442;209337;2825
18443;213470;4133
18444;217809;4339
18445;221896;4087
18446;221896;0
18447;225283;3387
18448;231818;6535
18449;234509;2691
18450;237489;2980
18451;240848;3359
18452;243599;2751
18453;246351;2752
18454;248872;2521
18455;251625;2753
18456;253604;1979
18457;255769;2165
18458;257914;2145
18459;257914;0
18460;261917;4003
18461;263496;1579
18462;265083;1587
18463;266096;1013
18464;267428;1332
18465;269191;1763
18466;270400;1209
18467;271887;1487
18468;273113;1226
18469;273113;0
18470;274289;1176
18471;275225;936
18472;276288;1063
18473;277402;1114
18474;278305;903
18475;278305;0
18476;279699;1394
18477;280461;762
18478;280461;0
18479;281136;675
18480;281863;727
18481;282645;782
18482;283487;842
18483;284121;634
18484;284660;539
18485;285191;531
18486;285921;730
18487;286674;753
18488;287300;626
18489;288047;747
18490;289215;1168
18491;289215;0
18492;289832;617
18493;290445;613
18494;290958;513
18495;291588;630
18496;292174;586
18497;293261;1087
18498;293261;0
18499;293711;450
18500;294193;482
18501;294638;445
18502;295053;415
18503;295372;319
18504;295636;264
18505;295849;213
18506;296149;300
18507;297014;865
18508;297512;498
