condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;1;1
18332;8;7
18333;11;3
18334;27;16
18335;36;9
18336;43;7
18337;55;12
18338;69;14
18339;86;17
18340;109;23
18341;137;28
18342;200;63
18343;313;113
18344;345;32
18345;345;0
18346;443;98
18347;558;115
18348;674;116
18349;786;112
18350;901;115
18351;989;88
18352;1181;192
18353;1181;0
18354;1317;136
18355;1475;158
18356;1673;198
18357;1801;128
18358;1988;187
18359;2100;112
18360;2249;149
18361;2528;279
18362;2752;224
18363;2974;222
18364;3234;260
18365;3400;166
18366;3472;72
18367;3574;102
18368;3751;177
18369;4016;265
18370;4210;194
18371;4273;63
18372;4467;194
18373;4658;191
18374;4821;163
18375;5166;345
18376;5338;172
18377;5538;200
18378;5779;241
18379;6021;242
18380;6021;0
18381;6378;357
18382;6532;154
18383;6720;188
18384;7090;370
18385;7090;0
18386;7197;107
18387;7523;326
18388;7731;208
18389;7868;137
18390;8070;202
18391;8282;212
18392;8448;166
18393;8616;168
18394;8783;167
18395;8944;161
18396;9118;174
18397;9268;150
18398;9449;181
18399;9606;157
18400;9726;120
18401;9867;141
18402;9977;110
18403;10116;139
18404;10267;151
18405;10577;310
18406;10926;349
18407;11183;257
18408;11447;264
18409;11728;281
18410;12131;403
18411;12531;400
18412;13018;487
18413;13463;445
18414;13837;374
18415;14095;258
18416;14609;514
18417;15044;435
18418;15463;419
18419;16004;541
18420;16425;421
18421;16854;429
18422;17233;379
18423;17889;656
18424;18586;697
18425;19211;625
18426;20059;848
18427;21418;1359
18428;21422;4
18429;21962;540
18430;22597;635
18431;23351;754
18432;24274;923
18433;25222;948
18434;26030;808
18435;26752;722
18436;27314;562
18437;28030;716
18438;29037;1007
18439;29905;868
18440;30658;753
18441;31686;1028
18442;32785;1099
18443;33550;765
18444;34463;913
18445;35237;774
18446;35995;758
18447;36983;988
18448;38149;1166
18449;39334;1185
18450;40291;957
18451;41251;960
18452;42216;965
18453;43257;1041
18454;44332;1075
18455;45633;1301
18456;47173;1540
18457;48096;923
18458;49243;1147
18459;50373;1130
18460;51408;1035
18461;52261;853
18462;53468;1207
18463;54426;958
18464;55153;727
18465;55906;753
18466;56817;911
18467;57993;1176
18468;58864;871
18469;60296;1432
18470;61442;1146
18471;62223;781
18472;63269;1046
18473;64191;922
18474;65256;1065
18475;66383;1127
18476;67453;1070
18477;68456;1003
18478;69424;968
18479;70231;807
18480;71418;1187
18481;72560;1142
18482;73651;1091
18483;74492;841
18484;75394;902
18485;76464;1070
18486;77377;913
18487;78446;1069
18488;79402;956
18489;80665;1263
18490;81940;1275
18491;82543;603
18492;82790;247
18493;83754;964
18494;83855;101
18495;84392;537
18496;85480;1088
18497;86900;1420
18498;87485;585
18499;88381;896
18500;89082;701
18501;89982;900
18502;90624;642
18503;91337;713
18504;92065;728
18505;92982;917
18506;93552;570
18507;94084;532
18508;94914;830
18509;95596;682
18510;96305;709
18511;97043;738
18512;97578;535
18513;98407;829
18514;99042;635
18515;99715;673
18516;100330;615
