condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;1;1
18342;1;0
18343;1;0
18344;1;0
18345;1;0
18346;1;0
18347;1;0
18348;1;0
18349;1;0
18350;1;0
18351;1;0
18352;1;0
18353;1;0
18354;1;0
18355;1;0
18356;1;0
18357;1;0
18358;2;1
18359;2;0
18360;2;0
18361;2;0
18362;2;0
18363;2;0
18364;2;0
18365;2;0
18366;2;0
18367;2;0
18368;7;5
18369;7;0
18370;7;0
18371;7;0
18372;7;0
18373;7;0
18374;8;1
18375;8;0
18376;8;0
18377;8;0
18378;8;0
18379;8;0
18380;8;0
18381;8;0
18382;8;0
18383;8;0
18384;8;0
18385;8;0
18386;8;0
18387;8;0
18388;8;0
18389;8;0
18390;8;0
18391;8;0
18392;8;0
18393;8;0
18394;8;0
18395;8;0
18396;8;0
18397;8;0
18398;8;0
18399;8;0
18400;8;0
18401;8;0
18402;8;0
18403;8;0
18404;8;0
18405;8;0
18406;8;0
18407;8;0
18408;8;0
18409;8;0
18410;8;0
18411;8;0
18412;8;0
18413;8;0
18414;8;0
18415;8;0
18416;8;0
18417;8;0
18418;8;0
18419;8;0
18420;8;0
18421;8;0
18422;8;0
18423;8;0
18424;8;0
18425;8;0
18426;8;0
18427;8;0
18428;8;0
18429;8;0
18430;8;0
18431;8;0
18432;8;0
18433;8;0
18434;8;0
18435;9;1
18436;9;0
18437;10;1
18438;10;0
18439;11;1
18440;11;0
18441;11;0
18442;11;0
18443;11;0
18444;11;0
18445;11;0
18446;11;0
18447;11;0
18448;11;0
18449;11;0
18450;11;0
18451;11;0
18452;11;0
18453;11;0
18454;11;0
18455;11;0
18456;11;0
18457;11;0
18458;11;0
18459;11;0
18460;15;4
18461;16;1
18462;16;0
18463;19;3
18464;27;8
18465;30;3
18466;31;1
18467;32;1
18468;39;7
18469;62;23
18470;62;0
18471;63;1
18472;63;0
18473;63;0
18474;72;9
18475;91;19
18476;110;19
18477;111;1
18478;114;3
18479;153;39
18480;163;10
18481;188;25
18482;188;0
18483;214;26
18484;214;0
18485;214;0
18486;287;73
18487;271;-16
18488;271;0
18489;271;0
18490;323;52
18491;333;10
18492;347;14
18493;347;0
18494;361;14
18495;361;0
18496;361;0
18497;401;40
18498;401;0
18499;419;18
18500;419;0
18501;424;5
18502;453;29
18503;453;0
18504;459;6
18505;459;0
18506;460;1
18507;471;11
18508;471;0
18509;479;8
18510;488;9
18511;497;9
18512;497;0
18513;503;6
18514;504;1
18515;507;3
18516;508;1
18517;508;0
18518;510;2
18519;511;1
18520;511;0
18521;516;5
18522;516;0
18523;516;0
18524;516;0
18525;517;1
18526;517;0
18527;527;10
18528;527;0
18529;531;4
18530;532;1
18531;532;0
18532;532;0
18533;532;0
18534;534;2
18535;534;0
18536;539;5
18537;539;0
18538;540;1
18539;540;0
18540;540;0
18541;541;1
18542;541;0
18543;549;8
18544;549;0
