condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;1;1
18292;1;0
18293;1;0
18294;2;1
18295;2;0
18296;2;0
18297;2;0
18298;2;0
18299;3;1
18300;3;0
18301;3;0
18302;3;0
18303;3;0
18304;3;0
18305;3;0
18306;3;0
18307;3;0
18308;3;0
18309;3;0
18310;3;0
18311;3;0
18312;3;0
18313;3;0
18314;3;0
18315;3;0
18316;3;0
18317;3;0
18318;3;0
18319;3;0
18320;3;0
18321;3;0
18322;3;0
18323;3;0
18324;3;0
18325;3;0
18326;3;0
18327;5;2
18328;6;1
18329;10;4
18330;20;10
18331;33;13
18332;49;16
18333;52;3
18334;64;12
18335;111;47
18336;140;29
18337;142;2
18338;187;45
18339;202;15
18340;217;15
18341;230;13
18342;307;77
18343;380;73
18344;462;82
18345;552;90
18346;636;84
18347;707;71
18348;803;96
18349;1075;272
18350;1418;343
18351;1546;128
18352;2084;538
18353;2311;227
18354;2633;322
18355;3018;385
18356;3094;76
18357;3246;152
18358;3660;414
18359;3764;104
18360;3870;106
18361;4076;206
18362;4195;119
18363;4428;233
18364;4648;220
18365;4932;284
18366;5223;291
18367;5453;230
18368;5660;207
18369;5878;218
18370;6087;209
18371;6259;172
18372;6459;200
18373;6599;140
18374;6710;111
18375;6981;271
18376;7192;211
18377;7294;102
18378;7579;285
18379;7777;198
18380;7958;181
18381;8212;254
18382;8488;276
18383;8772;284
18384;8928;156
18385;9223;295
18386;9485;262
18387;9684;199
18388;10004;320
18389;10343;339
18390;10463;120
18391;10610;147
18392;10794;184
18393;11086;292
18394;11350;264
18395;11618;268
18396;11876;258
18397;12091;215
18398;12305;214
18399;12513;208
18400;12718;205
18401;12942;224
18402;13221;279
18403;13434;213
18404;13597;163
18405;13777;180
18406;14035;258
18407;14319;284
18408;14669;350
18409;15049;380
18410;15588;539
18411;16634;1046
18412;17224;590
18413;18086;862
18414;18638;552
18415;18997;359
18416;19748;751
18417;20382;634
18418;20626;244
18419;21340;714
18420;21895;555
18421;22474;579
18422;22992;518
18423;23732;740
18424;24175;443
18425;24787;612
18426;25392;605
18427;25930;538
18428;26420;490
18429;26781;361
18430;27238;457
18431;27799;561
18432;28459;660
18433;29400;941
18434;30052;652
18435;30682;630
18436;31825;1143
18437;32295;470
18438;33069;774
18439;34073;1004
18440;34803;730
18441;35455;652
18442;36438;983
18443;37514;1076
18444;38511;997
18445;38805;294
18446;40336;1531
18447;41830;1494
18448;44254;2424
18449;46333;2079
18450;47873;1540
18451;50359;2486
18452;51754;1395
18453;52914;1160
18454;54222;1308
18455;56259;2037
18456;57006;747
18457;57545;539
18458;58850;1305
18459;61266;2416
18460;63001;1735
18461;65304;2303
18462;67456;2152
18463;68898;1442
18464;70764;1866
18465;72269;1505
18466;74390;2121
18467;76444;2054
18468;78412;1968
18469;80448;2036
18470;82040;1592
18471;83673;1633
18472;85486;1813
18473;89374;3888
18474;93354;3980
18475;98232;4878
18476;103185;4953
18477;106330;3145
18478;112593;6263
18479;115980;3387
18480;119460;3480
18481;122754;3294
18482;126885;4131
18483;129913;3028
18484;136638;6725
18485;139538;2900
18486;143749;4211
18487;147526;3777
18488;153660;6134
18489;157918;4258
18490;161253;3335
18491;164474;3221
18492;169213;4739
18493;173774;4561
18494;178022;4248
18495;182365;4343
18496;187249;4884
18497;189601;2352
18498;194252;4651
18499;197164;2912
18500;202361;5197
18501;205581;3220
18502;209544;3963
18503;213131;3587
18504;217396;4265
18505;220819;3423
18506;224264;3445
18507;226440;2176
18508;228403;1963
18509;232072;3669
18510;234570;2498
18511;237365;2795
