condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;2;2
18324;2;0
18325;5;3
18326;8;3
18327;13;5
18328;20;7
18329;30;10
18330;30;0
18331;41;11
18332;59;18
18333;59;0
18334;112;53
18335;169;57
18336;245;76
18337;331;86
18338;448;117
18339;448;0
18340;785;337
18341;1020;235
18342;1280;260
18343;1600;320
18344;2060;460
18345;2362;302
18346;2995;633
18347;3544;549
18348;4268;724
18349;5170;902
18350;5962;792
18351;6408;446
18352;7443;1035
18353;8251;808
18354;9034;783
18355;9886;852
18356;10524;638
18357;11278;754
18358;11730;452
18359;12442;712
18360;13141;699
18361;13956;815
18362;15472;1516
18363;15987;515
18364;16585;598
18365;16934;349
18366;17448;514
18367;18091;643
18368;18841;750
18369;19022;181
18370;19685;663
18371;20206;521
18372;20863;657
18373;21379;516
18374;21982;603
18375;22353;371
18376;22797;444
18377;23392;595
18378;23864;472
18379;24027;163
18380;24322;295
18381;24505;183
18382;25045;540
18383;25351;306
18384;25190;-161
18385;25282;92
18386;25524;242
18387;25702;178
18388;26182;480
18389;26715;533
18390;27268;553
18391;27406;138
18392;27581;175
18393;27679;98
18394;27913;234
18395;28132;219
18396;28319;187
18397;28583;264
18398;28810;227
18399;29036;226
18400;29209;173
18401;29432;223
18402;29660;228
18403;29912;252
18404;30200;288
18405;30471;271
18406;30623;152
18407;30788;165
18408;31007;219
18409;31292;285
18410;31596;304
18411;31946;350
18412;32203;257
18413;32500;297
18414;32700;200
18415;32895;195
18416;33261;366
18417;33592;331
18418;33969;377
18419;34351;382
18420;34693;342
18421;34885;192
18422;35306;421
18423;35600;294
18424;35910;310
18425;36180;270
18426;36463;283
18427;36690;227
18428;37036;346
18429;37336;300
18430;37672;336
18431;38089;417
18432;38464;375
18433;38841;377
18434;39133;292
18435;39392;259
18436;39737;345
18437;40104;367
18438;40415;311
18439;40866;451
18440;41189;323
18441;41646;457
18442;41912;266
18443;42141;229
18444;42454;313
18445;42782;328
18446;43156;374
18447;43569;413
18448;43897;328
18449;44129;232
18450;44416;287
18451;44859;443
18452;45277;418
18453;45679;402
18454;46221;542
18455;46512;291
18456;46818;306
18457;47051;233
18458;47426;375
18459;47765;339
18460;48077;312
18461;48390;313
18462;48636;246
18463;48771;135
18464;48898;127
18465;49150;252
18466;49379;229
18467;49692;313
18468;49955;263
18469;50164;209
18470;50299;135
18471;50410;111
18472;50613;203
18473;50868;255
18474;51072;204
18475;51310;238
18476;51463;153
18477;51569;106
18478;51681;112
18479;51848;167
18480;52061;213
18481;52351;290
18482;52537;186
18483;52668;131
18484;52825;157
18485;52945;120
18486;53223;278
18487;53548;325
18488;53783;235
18489;53981;198
18490;54102;121
18491;54234;132
18492;54448;214
18493;54701;253
18494;54992;291
18495;55211;219
18496;55452;241
18497;55597;145
18498;55720;123
18499;55912;192
18500;56274;362
18501;56673;399
18502;57074;401
18503;57448;374
18504;57768;320
18505;58012;244
18506;58243;231
18507;58633;390
18508;59051;418
18509;59457;406
18510;59943;486
18511;60258;315
18512;60507;249
18513;60895;388
18514;61541;646
18515;62126;585
18516;62813;687
18517;63310;497
18518;63983;673
