condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;1;1
18322;3;2
18323;3;0
18324;7;4
18325;8;1
18326;8;0
18327;8;0
18328;8;0
18329;15;7
18330;18;3
18331;24;6
18332;262;238
18333;262;0
18334;320;58
18335;337;17
18336;401;64
18337;439;38
18338;439;0
18339;452;13
18340;460;8
18341;470;10
18342;481;11
18343;494;13
18344;501;7
18345;526;25
18346;537;11
18347;549;12
18348;562;13
18349;590;28
18350;634;44
18351;693;59
18352;781;88
18353;835;54
18354;949;114
18355;1075;126
18356;1325;250
18357;1604;279
18358;1832;228
18359;2057;225
18360;2210;153
18361;2376;166
18362;2512;136
18363;2728;216
18364;2979;251
18365;3231;252
18366;3428;197
18367;3711;283
18368;4103;392
18369;4663;560
18370;5008;345
18371;5448;440
18372;6015;567
18373;6533;518
18374;7141;608
18375;7764;623
18376;8525;761
18377;9358;833
18378;10287;929
18379;11244;957
18380;11921;677
18381;12564;643
18382;13409;845
18383;14096;687
18384;14872;776
18385;15551;679
18386;16191;640
18387;17142;951
18388;17972;830
18389;18890;918
18390;20201;1311
18391;21331;1130
18392;22520;1189
18393;23623;1103
18394;25149;1526
18395;26539;1390
18396;28272;1733
18397;29425;1153
18398;30972;1547
18399;32604;1632
18400;33969;1365
18401;35606;1637
18402;37097;1491
18403;38651;1554
18404;40481;1830
18405;42213;1732
18406;43714;1501
18407;45465;1751
18408;47207;1742
18409;48947;1740
18410;50914;1967
18411;52907;1993
18412;55262;2355
18413;56910;1648
18414;58433;1523
18415;60259;1826
18416;62160;1901
18417;63741;1581
18418;65495;1754
18419;67195;1700
18420;68790;1595
18421;70158;1368
18422;71879;1721
18423;73595;1716
18424;75071;1476
18425;76588;1517
18426;78416;1828
18427;79602;1186
18428;80876;1274
18429;82077;1201
18430;83174;1097
18431;84441;1267
18432;85462;1021
18433;86488;1026
18434;87369;881
18435;88403;1034
18436;89579;1176
18437;90778;1199
18438;91838;1060
18439;92784;946
18440;93663;879
18441;94413;750
18442;95106;693
18443;96088;982
18444;97003;915
18445;97897;894
18446;98653;756
18447;99183;530
18448;99799;616
18449;100345;546
18450;100945;600
18451;101553;608
18452;102110;557
18453;102630;520
18454;103128;498
18455;103598;470
18456;104016;418
18457;104533;517
18458;104983;450
18459;105477;494
18460;105898;421
18461;106308;410
18462;106648;340
18463;107037;389
18464;107430;393
18465;107871;441
18466;108244;373
18467;108638;394
18468;109036;398
18469;109305;269
18470;109597;292
18471;109880;283
18472;110153;273
18473;110460;307
18474;110695;235
18475;110911;216
18476;111107;196
18477;111322;215
18478;111538;216
18479;111805;267
18480;112092;287
18481;112383;291
18482;112650;267
18483;112947;297
18484;113262;315
18485;113646;384
18486;113938;292
18487;114281;343
18488;114532;251
18489;114809;277
18490;115080;271
18491;115368;288
18492;115661;293
18493;115956;295
18494;116224;268
18495;116481;257
18496;116765;284
18497;117008;243
18498;117266;258
18499;117498;232
18500;117742;244
18501;117988;246
18502;118196;208
18503;118407;211
18504;118575;168
18505;118778;203
18506;118994;216
18507;119206;212
18508;119420;214
18509;119637;217
18510;119864;227
18511;120095;231
18512;120348;253
18513;120579;231
18514;120846;267
