condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;1;0
18320;3;2
18321;3;0
18322;3;0
18323;3;0
18324;3;0
18325;4;1
18326;6;2
18327;9;3
18328;9;0
18329;15;6
18330;15;0
18331;25;10
18332;45;20
18333;49;4
18334;89;40
18335;123;34
18336;131;8
18337;158;27
18338;184;26
18339;260;76
18340;277;17
18341;308;31
18342;367;59
18343;433;66
18344;576;143
18345;794;218
18346;906;112
18347;1029;123
18348;1292;263
18349;1452;160
18350;1815;363
18351;2109;294
18352;2245;136
18353;2460;215
18354;2738;278
18355;3183;445
18356;3613;430
18357;3864;251
18358;4057;193
18359;4417;360
18360;4761;344
18361;5202;441
18362;5467;265
18363;5990;523
18364;6300;310
18365;6633;333
18366;6879;246
18367;7216;337
18368;7707;491
18369;8067;360
18370;8418;351
18371;8746;328
18372;8936;190
18373;9242;306
18374;9710;468
18375;10096;386
18376;10417;321
18377;10635;218
18378;11036;401
18379;11339;303
18380;11616;277
18381;11978;362
18382;12240;262
18383;12567;327
18384;12732;165
18385;13163;431
18386;13512;349
18387;13837;325
18388;14107;270
18389;14499;392
18390;14811;312
18391;15131;320
18392;15362;231
18393;15588;226
18394;15778;190
18395;16002;224
18396;16247;245
18397;16437;190
18398;16704;267
18399;16871;167
18400;17036;165
18401;17191;155
18402;17387;196
18403;17585;198
18404;17712;127
18405;17857;145
18406;18070;213
18407;18283;213
18408;18429;146
18409;18594;165
18410;18791;197
18411;18982;191
18412;19133;151
18413;19257;124
18414;19398;141
18415;19517;119
18416;19669;152
18417;19907;238
18418;20103;196
18419;20290;187
18420;20479;189
18421;20604;125
18422;20749;145
18423;20945;196
18424;21182;237
18425;21404;222
18426;21679;275
18427;21999;320
18428;22165;166
18429;22415;250
18430;22760;345
18431;23080;320
18432;23400;320
18433;23730;330
18434;24045;315
18435;24291;246
18436;24505;214
18437;24826;321
18438;25286;460
18439;25697;411
18440;26022;325
18441;26313;291
18442;26582;269
18443;26970;388
18444;27296;326
18445;27746;450
18446;28166;420
18447;28582;416
18448;28973;391
18449;29223;250
18450;29620;397
18451;30175;555
18452;30789;614
18453;31381;592
18454;32079;698
18455;32535;456
18456;32948;413
18457;33585;637
18458;34226;641
18459;35003;777
18460;35802;799
18461;36691;889
18462;37458;767
18463;38139;681
18464;39133;994
18465;40163;1030
18466;41275;1112
18467;42394;1119
18468;43678;1284
18469;44798;1120
18470;45902;1104
18471;47053;1151
18472;48235;1182
18473;49591;1356
18474;50886;1295
18475;52111;1225
18476;53186;1075
18477;54009;823
18478;55241;1232
18479;56550;1309
18480;57895;1345
18481;59273;1378
18482;60623;1350
18483;61768;1145
18484;62547;779
18485;63762;1215
18486;65177;1415
18487;66631;1454
18488;68046;1415
18489;69374;1328
18490;70461;1087
18491;71194;733
18492;72208;1014
18493;73617;1409
18494;74963;1346
18495;76355;1392
18496;77544;1189
18497;78505;961
18498;79330;825
18499;80390;1060
18500;81646;1256
18501;83150;1504
18502;84468;1318
18503;85833;1365
18504;86785;952
18505;87540;755
18506;88593;1053
18507;89891;1298
18508;91256;1365
18509;92595;1339
18510;93864;1269
18511;95014;1150
18512;95897;883
18513;97033;1136
18514;98304;1271
