condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;2;2
18293;2;0
18294;2;0
18295;2;0
18296;2;0
18297;2;0
18298;2;0
18299;2;0
18300;2;0
18301;2;0
18302;2;0
18303;2;0
18304;2;0
18305;2;0
18306;2;0
18307;2;0
18308;2;0
18309;2;0
18310;2;0
18311;2;0
18312;2;0
18313;2;0
18314;2;0
18315;2;0
18316;2;0
18317;2;0
18318;2;0
18319;2;0
18320;2;0
18321;2;0
18322;2;0
18323;3;1
18324;3;0
18325;3;0
18326;4;1
18327;13;9
18328;13;0
18329;17;4
18330;17;0
18331;20;3
18332;20;0
18333;28;8
18334;45;17
18335;59;14
18336;63;4
18337;90;27
18338;114;24
18339;147;33
18340;199;52
18341;253;54
18342;306;53
18343;367;61
18344;438;71
18345;495;57
18346;658;163
18347;840;182
18348;1036;196
18349;1264;228
18350;1534;270
18351;1836;302
18352;2337;501
18353;2777;440
18354;3548;771
18355;4149;601
18356;4731;582
18357;5389;658
18358;6343;954
18359;7497;1154
18360;8672;1175
18361;10131;1459
18362;11917;1786
18363;13584;1667
18364;15770;2186
18365;18328;2558
18366;21102;2774
18367;24490;3388
18368;27938;3448
18369;32008;4070
18370;36793;4785
18371;42853;6060
18372;47121;4268
18373;52763;5642
18374;57999;5236
18375;62773;4774
18376;68622;5849
18377;74588;5966
18378;80949;6361
18379;87147;6198
18380;93558;6411
18381;99399;5841
18382;106498;7099
18383;114431;7933
18384;124054;9623
18385;134687;10633
18386;145268;10581
18387;155370;10102
18388;165929;10559
18389;177160;11231
18390;187859;10699
18391;198676;10817
18392;209688;11012
18393;221344;11656
18394;232243;10899
18395;242271;10028
18396;252245;9974
18397;262843;10598
18398;272043;9200
18399;281752;9709
18400;290678;8926
18401;299941;9263
18402;308705;8764
18403;317554;8849
18404;326448;8894
18405;335882;9434
18406;344481;8599
18407;353427;8946
18408;362342;8915
18409;370680;8338
18410;379051;8371
18411;387623;8572
18412;396575;8952
18413;405843;9268
18414;414328;8485
18415;423186;8858
18416;431715;8529
18417;440538;8823
18418;449256;8718
18419;458102;8846
18420;467073;8971
18421;476043;8970
18422;484630;8587
18423;493023;8393
18424;501800;8777
18425;510761;8961
18426;519458;8697
18427;528267;8809
18428;536484;8217
18429;544725;8241
18430;552549;7824
18431;560321;7772
18432;568292;7971
18433;576162;7870
18434;583879;7717
18435;591465;7586
18436;598878;7413
18437;606043;7165
18438;613148;7105
18439;619936;6788
18440;626779;6843
18441;633563;6784
18442;640246;6683
18443;646929;6683
18444;653479;6550
18445;660231;6752
18446;666941;6710
18447;673564;6623
18448;680283;6719
18449;686852;6569
18450;693215;6363
18451;699749;6534
18452;706240;6491
18453;712863;6623
18454;719449;6586
18455;726036;6587
18456;732547;6511
18457;738787;6240
18458;745197;6410
18459;751612;6415
18460;758001;6389
18461;764215;6214
18462;770311;6096
18463;776212;5901
18464;782040;5828
18465;787890;5850
18466;793720;5830
18467;799499;5779
18468;805332;5833
18469;811073;5741
18470;816680;5607
18471;822060;5380
18472;827509;5449
18473;832993;5484
18474;838461;5468
18475;843890;5429
18476;849277;5387
18477;854641;5364
18478;859762;5121
18479;864948;5186
18480;870187;5239
18481;875378;5191
18482;880563;5185
18483;885718;5155
18484;890799;5081
18485;895691;4892
18486;900745;5054
18487;905762;5017
18488;910778;5016
18489;915808;5030
18490;920719;4911
18491;925558;4839
18492;930276;4718
18493;935066;4790
18494;939833;4767
18495;944671;4838
18496;949531;4860
18497;954328;4797
18498;959016;4688
18499;963655;4639
18500;968297;4642
18501;972972;4675
