condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;2;1
18337;2;0
18338;2;0
18339;2;0
18340;2;0
18341;2;0
18342;2;0
18343;2;0
18344;3;1
18345;3;0
18346;3;0
18347;3;0
18348;3;0
18349;3;0
18350;9;6
18351;9;0
18352;13;4
18353;13;0
18354;13;0
18355;13;0
18356;14;1
18357;14;0
18358;14;0
18359;14;0
18360;14;0
18361;14;0
18362;15;1
18363;15;0
18364;15;0
18365;15;0
18366;15;0
18367;15;0
18368;15;0
18369;15;0
18370;15;0
18371;15;0
18372;15;0
18373;15;0
18374;15;0
18375;15;0
18376;15;0
18377;15;0
18378;15;0
18379;15;0
18380;15;0
18381;17;2
18382;17;0
18383;17;0
18384;17;0
18385;18;1
18386;18;0
18387;18;0
18388;18;0
18389;18;0
18390;18;0
18391;18;0
18392;18;0
18393;18;0
18394;18;0
18395;18;0
18396;18;0
18397;18;0
18398;18;0
18399;18;0
18400;18;0
18401;18;0
18402;18;0
18403;18;0
18404;18;0
18405;18;0
18406;18;0
18407;18;0
18408;18;0
18409;18;0
18410;18;0
18411;18;0
18412;18;0
18413;18;0
18414;18;0
18415;18;0
18416;18;0
18417;19;1
18418;19;0
18419;19;0
18420;19;0
18421;19;0
18422;19;0
18423;19;0
18424;19;0
18425;19;0
18426;19;0
18427;19;0
18428;19;0
18429;19;0
18430;19;0
18431;19;0
18432;19;0
18433;19;0
18434;19;0
18435;19;0
18436;19;0
18437;19;0
18438;19;0
18439;19;0
18440;19;0
18441;19;0
18442;19;0
18443;19;0
18444;19;0
18445;19;0
18446;22;3
18447;22;0
18448;22;0
18449;22;0
18450;22;0
18451;22;0
18452;22;0
18453;22;0
18454;22;0
18455;22;0
18456;22;0
18457;22;0
18458;22;0
18459;23;1
18460;23;0
18461;23;0
18462;23;0
18463;23;0
18464;23;0
18465;23;0
18466;24;1
18467;24;0
18468;24;0
18469;24;0
18470;24;0
18471;24;0
18472;24;0
18473;25;1
18474;25;0
18475;25;0
18476;25;0
18477;25;0
18478;25;0
18479;25;0
18480;25;0
18481;25;0
18482;25;0
18483;25;0
18484;25;0
18485;25;0
18486;25;0
18487;25;0
18488;25;0
18489;25;0
18490;25;0
18491;25;0
18492;26;1
18493;26;0
18494;26;0
18495;26;0
18496;26;0
18497;26;0
18498;26;0
18499;26;0
18500;26;0
18501;26;0
18502;26;0
18503;26;0
18504;26;0
18505;26;0
18506;26;0
18507;26;0
18508;26;0
18509;26;0
18510;26;0
18511;26;0
18512;26;0
18513;26;0
18514;27;1
18515;27;0
18516;27;0
18517;27;0
18518;27;0
18519;27;0
18520;27;0
18521;27;0
18522;27;0
18523;27;0
18524;27;0
18525;27;0
18526;27;0
18527;27;0
18528;27;0
18529;27;0
18530;27;0
18531;27;0
18532;27;0
18533;27;0
18534;27;0
18535;27;0
18536;27;0
18537;27;0
18538;27;0
18539;27;0
18540;27;0
18541;27;0
18542;27;0
18543;28;1
18544;28;0
