condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;1;1
18320;1;0
18321;1;0
18322;1;0
18323;8;7
18324;10;2
18325;16;6
18326;21;5
18327;21;0
18328;23;2
18329;36;13
18330;36;0
18331;51;15
18332;62;11
18333;69;7
18334;80;11
18335;80;0
18336;101;21
18337;109;8
18338;109;0
18339;119;10
18340;119;0
18341;144;25
18342;144;0
18343;175;31
18344;187;12
18345;187;0
18346;208;21
18347;208;0
18348;223;15
18349;224;1
18350;224;0
18351;230;6
18352;236;6
18353;236;0
18354;245;9
18355;245;0
18356;259;14
18357;266;7
18358;266;0
18359;279;13
18360;279;0
18361;333;54
18362;344;11
18363;356;12
18364;356;0
18365;356;0
18366;371;15
18367;372;1
18368;426;54
18369;435;9
18370;455;20
18371;461;6
18372;462;1
18373;476;14
18374;488;12
18375;501;13
18376;513;12
18377;513;0
18378;538;25
18379;538;0
18380;553;15
18381;563;10
18382;569;6
18383;580;11
18384;580;0
18385;582;2
18386;582;0
18387;589;7
18388;608;19
18389;622;14
18390;623;1
18391;637;14
18392;628;-9
18393;628;0
18394;638;10
18395;643;5
18396;648;5
18397;652;4
18398;653;1
18399;654;1
18400;654;0
18401;655;1
18402;656;1
18403;658;2
18404;661;3
18405;665;4
18406;665;0
18407;666;1
18408;666;0
18409;667;1
18410;670;3
18411;671;1
18412;671;0
18413;671;0
18414;671;0
18415;672;1
18416;674;2
18417;678;4
18418;680;2
18419;680;0
18420;680;0
18421;687;7
18422;688;1
18423;691;3
18424;691;0
18425;694;3
18426;694;0
18427;694;0
18428;694;0
18429;694;0
18430;696;2
18431;696;0
18432;696;0
18433;696;0
18434;696;0
18435;697;1
18436;698;1
18437;698;0
18438;698;0
18439;698;0
18440;698;0
18441;698;0
18442;698;0
18443;698;0
18444;698;0
18445;698;0
18446;698;0
18447;698;0
18448;698;0
18449;698;0
18450;698;0
18451;698;0
18452;699;1
18453;699;0
18454;699;0
18455;699;0
18456;699;0
18457;699;0
18458;699;0
18459;699;0
18460;699;0
18461;699;0
18462;699;0
18463;699;0
18464;699;0
18465;699;0
18466;699;0
18467;699;0
18468;699;0
18469;699;0
18470;699;0
18471;699;0
18472;699;0
18473;699;0
18474;699;0
18475;699;0
18476;699;0
18477;699;0
18478;699;0
18479;699;0
18480;699;0
18481;699;0
18482;699;0
18483;699;0
18484;699;0
18485;699;0
18486;699;0
18487;699;0
18488;699;0
18489;699;0
18490;699;0
18491;699;0
18492;702;3
18493;704;2
18494;704;0
18495;704;0
18496;704;0
18497;704;0
18498;704;0
18499;710;6
18500;710;0
18501;710;0
18502;710;0
18503;710;0
18504;710;0
18505;715;5
18506;715;0
18507;735;20
18508;735;0
18509;735;0
18510;716;-19
18511;716;0
18512;716;0
18513;716;0
18514;722;6
18515;722;0
18516;722;0
18517;722;0
18518;722;0
18519;722;0
18520;723;1
18521;723;0
18522;723;0
18523;723;0
18524;723;0
18525;723;0
18526;723;0
18527;723;0
18528;723;0
18529;727;4
18530;727;0
18531;727;0
18532;727;0
18533;727;0
18534;727;0
18535;732;5
18536;732;0
18537;732;0
18538;732;0
18539;732;0
18540;732;0
18541;732;0
18542;732;0
18543;741;9
18544;741;0
