condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;1;1
18328;1;0
18329;1;0
18330;1;0
18331;5;4
18332;12;7
18333;19;7
18334;35;16
18335;46;11
18336;48;2
18337;55;7
18338;65;10
18339;83;18
18340;103;20
18341;135;32
18342;171;36
18343;222;51
18344;249;27
18345;303;54
18346;384;81
18347;384;0
18348;457;73
18349;659;202
18350;741;82
18351;785;44
18352;900;115
18353;1060;160
18354;1171;111
18355;1476;305
18356;1624;148
18357;1908;284
18358;2200;292
18359;2447;247
18360;2666;219
18361;2867;201
18362;3105;238
18363;3380;275
18364;3630;250
18365;4054;424
18366;4465;411
18367;4873;408
18368;5318;445
18369;5690;372
18370;5994;304
18371;6318;324
18372;6630;312
18373;6890;260
18374;7144;254
18375;7276;132
18376;7483;207
18377;7779;296
18378;8042;263
18379;8275;233
18380;8497;222
18381;8724;227
18382;9009;285
18383;9009;0
18384;9362;353
18385;9464;102
18386;9557;93
18387;9677;120
18388;9791;114
18389;9848;57
18390;9943;95
18391;10032;89
18392;10032;0
18393;10176;144
18394;10243;67
18395;10295;52
18396;10374;79
18397;10438;64
18398;10496;58
18399;10610;114
18400;10699;89
18401;10733;34
18402;10833;100
18403;10919;86
18404;11024;105
18405;11092;68
18406;11159;67
18407;11193;34
18408;11227;34
18409;11275;48
18410;11300;25
18411;11354;54
18412;11381;27
18413;11412;31
18414;11430;18
18415;11454;24
18416;11523;69
18417;11571;48
18418;11667;96
18419;11741;74
18420;11823;82
18421;11896;73
18422;11965;69
18423;12031;66
18424;12102;71
18425;12175;73
18426;12251;76
18427;12310;59
18428;12367;57
18429;12426;59
18430;12522;96
18431;12616;94
18432;12709;93
18433;12803;94
18434;12894;91
18435;12990;96
18436;13092;102
18437;13235;143
18438;13372;137
18439;13565;193
18440;13792;227
18441;14046;254
18442;14288;242
18443;14564;276
18444;14836;272
18445;15195;359
18446;15504;309
18447;15829;325
18448;16131;302
18449;16420;289
18450;16719;299
18451;17076;357
18452;17342;266
18453;17728;386
18454;18073;345
18455;18360;287
18456;18639;279
18457;18983;344
18458;19334;351
18459;19717;383
18460;20109;392
18461;20498;389
18462;20894;396
18463;21253;359
18464;21605;352
18465;22031;426
18466;22443;412
18467;22852;409
18468;22852;0
18469;23730;878
18470;24141;411
18471;24520;379
18472;24892;372
18473;25213;321
18474;25552;339
18475;25882;330
18476;26193;311
18477;26451;258
18478;26738;287
18479;27033;295
18480;27332;299
18481;27608;276
18482;27863;255
18483;28099;236
18484;28262;163
18485;28497;235
18486;28751;254
18487;28998;247
18488;29233;235
18489;29471;238
18490;29682;211
18491;29782;100
18492;29890;108
18493;30048;158
18494;30209;161
18495;30378;169
18496;30548;170
18497;30657;109
18498;30714;57
18499;30820;106
18500;30974;154
18501;31099;125
18502;31207;108
18503;31282;75
18504;31365;83
18505;31406;41
18506;31482;76
18507;31581;99
18508;31676;95
18509;31772;96
18510;31849;77
18511;31905;56
18512;31941;36
18513;31994;53
18514;32078;84
18515;32136;58
18516;32228;92
18517;32300;72
18518;32408;108
18519;32437;29
18520;32511;74
