condition;measurement;ncases
18283;0;0
18284;1;1
18285;3;2
18286;3;0
18287;4;1
18288;5;1
18289;7;2
18290;7;0
18291;10;3
18292;13;3
18293;16;3
18294;18;2
18295;18;0
18296;24;6
18297;28;4
18298;28;0
18299;30;2
18300;33;3
18301;40;7
18302;45;5
18303;47;2
18304;50;3
18305;58;8
18306;67;9
18307;72;5
18308;75;3
18309;77;2
18310;81;4
18311;84;3
18312;84;0
18313;85;1
18314;85;0
18315;89;4
18316;89;0
18317;91;2
18318;93;2
18319;93;0
18320;93;0
18321;102;9
18322;106;4
18323;108;2
18324;110;2
18325;110;0
18326;117;7
18327;130;13
18328;138;8
18329;150;12
18330;150;0
18331;160;10
18332;178;18
18333;178;0
18334;200;22
18335;212;12
18336;226;14
18337;243;17
18338;266;23
18339;313;47
18340;345;32
18341;385;40
18342;432;47
18343;455;23
18344;509;54
18345;558;49
18346;631;73
18347;683;52
18348;732;49
18349;802;70
18350;844;42
18351;879;35
18352;926;47
18353;1000;74
18354;1049;49
18355;1114;65
18356;1189;75
18357;1309;120
18358;1375;66
18359;1481;106
18360;1623;142
18361;1910;287
18362;2108;198
18363;2299;191
18364;2532;233
18365;2918;386
18366;3252;334
18367;3699;447
18368;4427;728
18369;5050;623
18370;5992;942
18371;6588;596
18372;8014;1426
18373;9125;1111
18374;10141;1016
18375;11178;1037
18376;12075;897
18377;12693;618
18378;13624;931
18379;14423;799
18380;14951;528
18381;15641;690
18382;16169;528
18383;17101;932
18384;17548;447
18385;18205;657
18386;18778;573
18387;19410;632
18388;20198;788
18389;20939;741
18390;21707;768
18391;22460;753
18392;23336;876
18393;23822;486
18394;24671;849
18395;25346;675
18396;26098;752
18397;26891;793
18398;27356;465
18399;28038;682
18400;28343;305
18401;28794;451
18402;29364;570
18403;29812;448
18404;30426;614
18405;31068;642
18406;31616;548
18407;31960;344
18408;32343;383
18409;32876;533
18410;33249;373
18411;33860;611
18412;34366;506
18413;34884;518
18414;35292;408
18415;35836;544
18416;36405;569
18417;36922;517
18418;37183;261
18419;37527;344
18420;37910;383
18421;38296;386
18422;38514;218
18423;38965;451
18424;39387;422
18425;39850;463
18426;40197;347
18427;40604;407
18428;40818;214
18429;40969;151
18430;41216;247
18431;41473;257
18432;41615;142
18433;41833;218
18434;42095;262
18435;42313;218
18436;42432;119
18437;42623;191
18438;42736;113
18439;42955;219
18440;43246;291
18441;43459;213
18442;43661;202
18443;43907;246
18444;44122;215
18445;44310;188
18446;44479;169
18447;44664;185
18448;44800;136
18449;44983;183
18450;45140;157
18451;45298;158
18452;45423;125
18453;45614;191
18454;45783;169
18455;45961;178
18456;46283;322
18457;46630;347
