condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;2;2
18327;7;5
18328;7;0
18329;16;9
18330;16;0
18331;31;15
18332;57;26
18333;89;32
18334;141;52
18335;181;40
18336;219;38
18337;253;34
18338;275;22
18339;275;0
18340;286;11
18341;341;55
18342;383;42
18343;414;31
18344;442;28
18345;480;38
18346;528;48
18347;562;34
18348;632;70
18349;684;52
18350;730;46
18351;756;26
18352;802;46
18353;841;39
18354;897;56
18355;934;37
18356;977;43
18357;997;20
18358;1021;24
18359;1059;38
18360;1091;32
18361;1124;33
18362;1160;36
18363;1188;28
18364;1205;17
18365;1212;7
18366;1220;8
18367;1248;28
18368;1268;20
18369;1304;36
18370;1317;13
18371;1330;13
18372;1335;5
18373;1344;9
18374;1353;9
18375;1366;13
18376;1373;7
18377;1388;15
18378;1396;8
18379;1402;6
18380;1408;6
18381;1418;10
18382;1429;11
18383;1434;5
18384;1439;5
18385;1439;0
18386;1439;0
18387;1445;6
18388;1448;3
18389;1449;1
18390;1450;1
18391;1454;4
18392;1457;3
18393;1460;3
18394;1461;1
18395;1463;2
18396;1464;1
18397;1465;1
18398;1465;0
18399;1466;1
18400;1466;0
18401;1467;1
18402;1468;1
18403;1468;0
18404;1468;0
18405;1468;0
18406;1468;0
18407;1469;1
18408;1469;0
18409;1471;2
18410;1473;2
18411;1473;0
18412;1473;0
18413;1473;0
18414;1473;0
18415;1475;2
18416;1477;2
18417;1477;0
18418;1479;2
18419;1484;5
18420;1485;1
18421;1485;0
18422;1486;1
18423;1488;2
18424;1488;0
18425;1490;2
18426;1492;2
18427;1495;3
18428;1496;1
18429;1499;3
18430;1503;4
18431;1511;8
18432;1513;2
18433;1519;6
18434;1520;1
18435;1521;1
18436;1534;13
18437;1541;7
18438;1547;6
18439;1558;11
18440;1572;14
18441;1581;9
18442;1585;4
18443;1600;15
18444;1613;13
18445;1634;21
18446;1650;16
18447;1679;29
18448;1700;21
18449;1716;16
18450;1739;23
18451;1763;24
18452;1776;13
18453;1793;17
18454;1827;34
18455;1841;14
18456;1849;8
18457;1859;10
18458;1878;19
18459;1897;19
18460;1916;19
18461;1940;24
18462;1946;6
18463;1953;7
18464;1977;24
18465;2006;29
18466;2033;27
18467;2052;19
18468;2066;14
18469;2082;16
18470;2087;5
18471;2101;14
18472;2115;14
18473;2139;24
18474;2156;17
18475;2171;15
18476;2180;9
18477;2181;1
18478;2190;9
18479;2208;18
18480;2223;15
18481;2233;10
18482;2247;14
18483;2249;2
18484;2255;6
18485;2272;17
18486;2303;31
18487;2332;29
18488;2369;37
18489;2401;32
18490;2416;15
18491;2429;13
18492;2456;27
18493;2493;37
18494;2536;43
18495;2574;38
18496;2617;43
18497;2651;34
18498;2665;14
18499;2686;21
18500;2722;36
18501;2755;33
18502;2797;42
18503;2834;37
18504;2865;31
18505;2883;18
18506;2924;41
18507;2979;55
18508;3032;53
18509;3079;47
18510;3122;43
18511;3165;43
18512;3190;25
18513;3232;42
18514;3312;80
18515;3389;77
18516;3497;108
18517;3603;106
18518;3702;99
18519;3749;47
18520;3831;82
18521;3954;123
