condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;1;1
18338;1;0
18339;1;0
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;1;0
18345;1;0
18346;1;0
18347;2;1
18348;3;1
18349;3;0
18350;3;0
18351;3;0
18352;5;2
18353;5;0
18354;5;0
18355;7;2
18356;7;0
18357;7;0
18358;7;0
18359;8;1
18360;12;4
18361;12;0
18362;21;9
18363;21;0
18364;25;4
18365;60;35
18366;60;0
18367;80;20
18368;80;0
18369;116;36
18370;135;19
18371;164;29
18372;237;73
18373;286;49
18374;286;0
18375;328;42
18376;328;0
18377;390;62
18378;436;46
18379;480;44
18380;528;48
18381;582;54
18382;601;19
18383;601;0
18384;671;70
18385;722;51
18386;756;34
18387;835;79
18388;873;38
18389;928;55
18390;928;0
18391;997;69
18392;1054;57
18393;1089;35
18394;1170;81
18395;1219;49
18396;1284;65
18397;1284;0
18398;1357;73
18399;1421;64
18400;1455;34
18401;1502;47
18402;1573;71
18403;1594;21
18404;1594;0
18405;1594;0
18406;1594;0
18407;1689;95
18408;1711;22
18409;1731;20
18410;1828;97
18411;1828;0
18412;1916;88
18413;1976;60
18414;2023;47
18415;2089;66
18416;2146;57
18417;2204;58
18418;2204;0
18419;2289;85
18420;2334;45
18421;2368;34
18422;2416;48
18423;2452;36
18424;2513;61
18425;2513;0
18426;2579;66
18427;2618;39
18428;2642;24
18429;2658;16
18430;2696;38
18431;2719;23
18432;2719;0
18433;2755;36
18434;2779;24
18435;2812;33
18436;2812;0
18437;2835;23
18438;2878;43
18439;2878;0
18440;2878;0
18441;2894;16
18442;2904;10
18443;2924;20
18444;2924;0
18445;2944;20
18446;2944;0
18447;2961;17
18448;2997;36
18449;3006;9
18450;3015;9
18451;3028;13
18452;3038;10
18453;3038;0
18454;3051;13
18455;3059;8
18456;3072;13
18457;3076;4
18458;3083;7
18459;3106;23
18460;3106;0
18461;3111;5
18462;3119;8
18463;3130;11
18464;3135;5
18465;3161;26
18466;3171;10
18467;3171;0
18468;3178;7
18469;3178;0
18470;3196;18
18471;3212;16
18472;3212;0
18473;3212;0
18474;3212;0
18475;3212;0
18476;3220;8
18477;3220;0
18478;3220;0
18479;3227;7
18480;3227;0
18481;3227;0
18482;3227;0
18483;3227;0
18484;3227;0
18485;3227;0
18486;3227;0
18487;3227;0
18488;3250;23
18489;3250;0
18490;3256;6
18491;3257;1
18492;3257;0
18493;3265;8
18494;3265;0
18495;3265;0
18496;3269;4
18497;3269;0
18498;3269;0
18499;3275;6
18500;3275;0
18501;3275;0
18502;3275;0
18503;3310;35
18504;3310;0
18505;3310;0
18506;3310;0
18507;3310;0
18508;3310;0
18509;3332;22
18510;3332;0
18511;3362;30
18512;3362;0
18513;3371;9
18514;3371;0
18515;3371;0
18516;3376;5
18517;3376;0
18518;3389;13
18519;3389;0
18520;3390;1
18521;3390;0
18522;3390;0
18523;3390;0
18524;3401;11
18525;3442;41
