condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;1;1
18289;1;0
18290;1;0
18291;1;0
18292;1;0
18293;1;0
18294;1;0
18295;1;0
18296;1;0
18297;1;0
18298;1;0
18299;1;0
18300;1;0
18301;1;0
18302;1;0
18303;1;0
18304;1;0
18305;1;0
18306;1;0
18307;1;0
18308;1;0
18309;1;0
18310;1;0
18311;1;0
18312;1;0
18313;1;0
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;2;1
18333;2;0
18334;6;4
18335;10;4
18336;18;8
18337;28;10
18338;44;16
18339;51;7
18340;60;9
18341;73;13
18342;77;4
18343;82;5
18344;97;15
18345;102;5
18346;102;0
18347;106;4
18348;106;0
18349;113;7
18350;117;4
18351;122;5
18352;143;21
18353;146;3
18354;151;5
18355;159;8
18356;166;7
18357;176;10
18358;178;2
18359;185;7
18360;189;4
18361;190;1
18362;190;0
18363;198;8
18364;210;12
18365;217;7
18366;233;16
18367;238;5
18368;238;0
18369;244;6
18370;254;10
18371;271;17
18372;304;33
18373;310;6
18374;330;20
18375;368;38
18376;420;52
18377;460;40
18378;523;63
18379;588;65
18380;619;31
18381;649;30
18382;663;14
18383;690;27
18384;705;15
18385;718;13
18386;751;33
18387;771;20
18388;797;26
18389;824;27
18390;835;11
18391;847;12
18392;863;16
18393;869;6
18394;889;20
18395;915;26
18396;925;10
18397;935;10
18398;960;25
18399;981;21
18400;992;11
18401;1027;35
18402;1028;1
18403;1055;27
18404;1068;13
18405;1089;21
18406;1141;52
18407;1182;41
18408;1319;137
18409;1469;150
18410;1530;61
18411;1558;28
18412;1620;62
18413;1633;13
18414;1643;10
18415;1683;40
18416;1749;66
18417;1797;48
18418;1801;4
18419;1814;13
18420;1835;21
18421;1857;22
18422;1859;2
18423;1869;10
18424;1877;8
18425;1880;3
18426;1884;4
18427;1889;5
18428;1905;16
18429;1915;10
18430;1924;9
18431;1947;23
18432;1950;3
18433;1950;0
18434;1950;0
18435;1951;1
18436;1991;40
18437;2001;10
18438;2010;9
18439;2014;4
18440;2033;19
18441;2037;4
18442;2039;2
18443;2047;8
18444;2054;7
18445;2066;12
18446;2069;3
18447;2074;5
18448;2076;2
18449;2077;1
18450;2081;4
18451;2094;13
18452;2154;60
18453;2454;300
18454;2511;57
18455;2617;106
18456;2646;29
18457;2665;19
18458;2671;6
18459;2687;16
18460;2697;10
18461;2703;6
18462;2724;21
18463;2730;6
18464;2730;0
18465;2752;22
18466;2753;1
18467;2764;11
18468;2770;6
18469;2782;12
18470;2805;23
18471;2810;5
18472;2810;0
18473;2814;4
18474;2815;1
18475;2815;0
18476;2823;8
18477;2828;5
18478;2834;6
18479;2839;5
18480;2839;0
18481;2839;0
18482;2841;2
18483;2844;3
18484;2871;27
18485;2880;9
18486;2881;1
18487;2882;1
18488;2886;4
18489;2890;4
18490;2893;3
18491;2900;7
18492;2902;2
18493;2902;0
18494;2918;16
18495;2941;23
18496;2947;6
18497;2953;6
18498;2959;6
18499;2971;12
18500;2984;13
18501;2986;2
18502;2989;3
18503;2995;6
18504;3012;17
18505;3049;37
18506;3092;43
18507;3101;9
18508;3111;10
18509;3115;4
18510;3121;6
18511;3123;2
18512;3123;0
18513;3140;17
18514;3147;7
18515;3155;8
18516;3169;14
18517;3195;26
18518;3234;39
18519;3262;28
18520;3271;9
18521;3271;0
18522;3276;5
18523;3281;5
18524;3283;2
18525;3287;4
18526;3299;12
