condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;4;3
18342;4;0
18343;5;1
18344;5;0
18345;7;2
18346;8;1
18347;8;0
18348;8;0
18349;8;0
18350;8;0
18351;8;0
18352;9;1
18353;10;1
18354;10;0
18355;10;0
18356;10;0
18357;10;0
18358;10;0
18359;10;0
18360;10;0
18361;10;0
18362;10;0
18363;10;0
18364;10;0
18365;10;0
18366;10;0
18367;10;0
18368;10;0
18369;10;0
18370;10;0
18371;10;0
18372;10;0
18373;10;0
18374;10;0
18375;10;0
18376;10;0
18377;10;0
18378;10;0
18379;10;0
18380;10;0
18381;10;0
18382;10;0
18383;10;0
18384;10;0
18385;10;0
18386;10;0
18387;10;0
18388;10;0
18389;10;0
18390;10;0
18391;10;0
18392;10;0
18393;10;0
18394;10;0
18395;10;0
18396;10;0
18397;10;0
18398;10;0
18399;10;0
18400;11;1
18401;11;0
18402;11;0
18403;11;0
18404;11;0
18405;11;0
18406;11;0
18407;11;0
18408;11;0
18409;12;1
18410;12;0
18411;12;0
18412;14;2
18413;23;9
18414;44;21
18415;54;10
18416;74;20
18417;82;8
18418;90;8
18419;100;10
18420;122;22
18421;128;6
18422;137;9
18423;144;7
18424;168;24
18425;187;19
18426;196;9
18427;208;12
18428;229;21
18429;236;7
18430;261;25
18431;277;16
18432;293;16
18433;303;10
18434;314;11
18435;319;5
18436;319;0
18437;357;38
18438;373;16
18439;389;16
18440;467;78
18441;490;23
18442;501;11
18443;515;14
18444;535;20
18445;547;12
18446;561;14
18447;565;4
18448;594;29
18449;614;20
18450;634;20
18451;665;31
18452;694;29
18453;726;32
18454;741;15
18455;741;0
18456;780;39
18457;801;21
18458;837;36
18459;904;67
18460;943;39
18461;1001;58
18462;1029;28
18463;1079;50
18464;1131;52
18465;1176;45
18466;1234;58
18467;1305;71
18468;1381;76
18469;1439;58
18470;1483;44
18471;1510;27
18472;1607;97
18473;1607;0
18474;1650;43
18475;1760;110
18476;1849;89
18477;1893;44
18478;1981;88
18479;2050;69
18480;2096;46
18481;2203;107
18482;2306;103
18483;2391;85
18484;2489;98
18485;2559;70
18486;2653;94
18487;2761;108
18488;2838;77
18489;2961;123
18490;3016;55
18491;3077;61
18492;3216;139
18493;3295;79
18494;3366;71
18495;3460;94
18496;3569;109
18497;3607;38
18498;3632;25
18499;3698;66
18500;3724;26
18501;3793;69
18502;3848;55
18503;3954;106
18504;4009;55
18505;4034;25
18506;4089;55
18507;4149;60
18508;4215;66
18509;4252;37
18510;4320;68
18511;4346;26
18512;4360;14
18513;4419;59
18514;4447;28
18515;4477;30
18516;4529;52
18517;4579;50
18518;4582;3
18519;4611;29
18520;4625;14
18521;4645;20
18522;4671;26
18523;4691;20
18524;4709;18
18525;4723;14
18526;4740;17
18527;4759;19
18528;4779;20
18529;4789;10
18530;4817;28
18531;4831;14
18532;4835;4
18533;4836;1
18534;4863;27
