condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;1;1
18344;1;0
18345;1;0
18346;5;4
18347;5;0
18348;5;0
18349;5;0
18350;9;4
18351;10;1
18352;10;0
18353;10;0
18354;16;6
18355;16;0
18356;16;0
18357;19;3
18358;19;0
18359;19;0
18360;19;0
18361;19;0
18362;19;0
18363;25;6
18364;25;0
18365;25;0
18366;29;4
18367;33;4
18368;33;0
18369;38;5
18370;38;0
18371;39;1
18372;39;0
18373;42;3
18374;42;0
18375;42;0
18376;42;0
18377;42;0
18378;43;1
18379;43;0
18380;43;0
18381;43;0
18382;43;0
18383;44;1
18384;44;0
18385;44;0
18386;44;0
18387;44;0
18388;45;1
18389;45;0
18390;47;2
18391;47;0
18392;47;0
18393;47;0
18394;47;0
18395;48;1
18396;48;0
18397;50;2
18398;51;1
18399;58;7
18400;58;0
18401;58;0
18402;58;0
18403;58;0
18404;59;1
18405;70;11
18406;86;16
18407;106;20
18408;121;15
18409;121;0
18410;122;1
18411;122;0
18412;122;0
18413;122;0
18414;123;1
18415;123;0
18416;123;0
18417;124;1
18418;124;0
18419;125;1
18420;141;16
18421;144;3
18422;146;2
18423;152;6
18424;164;12
18425;164;0
18426;170;6
18427;177;7
18428;177;0
18429;177;0
18430;178;1
18431;187;9
18432;187;0
18433;198;11
18434;204;6
18435;219;15
18436;231;12
18437;231;0
18438;242;11
18439;255;13
18440;256;1
18441;256;0
18442;269;13
18443;279;10
18444;293;14
18445;312;19
18446;328;16
18447;338;10
18448;358;20
18449;372;14
18450;372;0
18451;372;0
18452;372;0
18453;394;22
18454;394;0
18455;394;0
18456;417;23
18457;439;22
18458;458;19
18459;477;19
18460;496;19
18461;496;0
18462;496;0
18463;522;26
18464;540;18
18465;561;21
18466;584;23
18467;608;24
18468;627;19
18469;650;23
18470;674;24
18471;694;20
18472;717;23
18473;738;21
18474;757;19
18475;780;23
18476;809;29
18477;847;38
18478;892;45
18479;944;52
18480;999;55
18481;1060;61
18482;1125;65
18483;1188;63
18484;1255;67
18485;1327;72
18486;1327;0
18487;1432;105
18488;1515;83
18489;1593;78
18490;1677;84
18491;1764;87
18492;1844;80
18493;1927;83
18494;2008;81
18495;2073;65
18496;2143;70
18497;2217;74
18498;2293;76
18499;2365;72
18500;2440;75
18501;2504;64
18502;2563;59
18503;2628;65
18504;2703;75
18505;2765;62
18506;2830;65
18507;2898;68
18508;2973;75
18509;3041;68
18510;3104;63
18511;3171;67
18512;3229;58
18513;3289;60
18514;3351;62
18515;3416;65
18516;3476;60
18517;3506;30
18518;3540;34
18519;3576;36
18520;3614;38
18521;3654;40
18522;3691;37
18523;3731;40
18524;3765;34
18525;3800;35
18526;3833;33
18527;3877;44
18528;3924;47
18529;3966;42
18530;4001;35
18531;4038;37
18532;4072;34
18533;4102;30
18534;4148;46
18535;4200;52
18536;4247;47
