condition;measurement;ncases
18283;1;1
18284;1;0
18285;3;2
18286;3;0
18287;4;1
18288;5;1
18289;8;3
18290;8;0
18291;9;1
18292;10;1
18293;10;0
18294;10;0
18295;10;0
18296;11;1
18297;11;0
18298;16;5
18299;16;0
18300;17;1
18301;18;1
18302;18;0
18303;18;0
18304;18;0
18305;18;0
18306;18;0
18307;18;0
18308;20;2
18309;22;2
18310;22;0
18311;23;1
18312;24;1
18313;26;2
18314;26;0
18315;28;2
18316;30;2
18317;31;1
18318;32;1
18319;32;0
18320;34;2
18321;39;5
18322;40;1
18323;41;1
18324;42;1
18325;42;0
18326;44;2
18327;45;1
18328;45;0
18329;45;0
18330;45;0
18331;47;2
18332;48;1
18333;49;1
18334;50;1
18335;53;3
18336;59;6
18337;67;8
18338;77;10
18339;100;23
18340;108;8
18341;135;27
18342;153;18
18343;169;16
18344;195;26
18345;215;20
18346;235;20
18347;252;17
18348;267;15
18349;283;16
18350;298;15
18351;306;8
18352;322;16
18353;329;7
18354;339;10
18355;348;9
18356;355;7
18357;363;8
18358;373;10
18359;376;3
18360;379;3
18361;380;1
18362;382;2
18363;385;3
18364;388;3
18365;393;5
18366;393;0
18367;395;2
18368;395;0
18369;395;0
18370;398;3
18371;420;22
18372;422;2
18373;425;3
18374;426;1
18375;427;1
18376;428;1
18377;429;1
18378;429;0
18379;429;0
18380;429;0
18381;429;0
18382;429;0
18383;429;0
18384;432;3
18385;436;4
18386;438;2
18387;438;0
18388;439;1
18389;440;1
18390;440;0
18391;440;0
18392;440;0
18393;440;0
18394;440;0
18395;440;0
18396;440;0
18397;440;0
18398;440;0
18399;440;0
18400;440;0
18401;440;0
18402;440;0
18403;440;0
18404;441;1
18405;441;0
18406;441;0
18407;441;0
18408;441;0
18409;441;0
18410;441;0
18411;442;1
18412;442;0
18413;442;0
18414;443;1
18415;443;0
18416;443;0
18417;443;0
18418;443;0
18419;443;0
18420;443;0
18421;443;0
18422;443;0
18423;443;0
18424;443;0
18425;443;0
18426;443;0
18427;443;0
18428;445;2
18429;445;0
18430;445;0
18431;446;1
18432;446;0
18433;446;0
18434;446;0
18435;446;0
18436;446;0
18437;446;0
18438;447;1
18439;447;0
18440;447;0
18441;447;0
18442;447;0
18443;447;0
18444;447;0
18445;448;1
18446;449;1
18447;449;0
18448;449;0
18449;449;0
18450;449;0
18451;449;0
18452;449;0
18453;449;0
18454;451;2
18455;451;0
18456;451;0
18457;451;0
18458;451;0
18459;451;0
18460;451;0
18461;451;0
18462;451;0
18463;451;0
18464;451;0
18465;455;4
18466;455;0
18467;458;3
18468;458;0
18469;458;0
18470;462;4
18471;467;5
18472;467;0
18473;467;0
18474;467;0
18475;474;7
18476;475;1
18477;474;-1
18478;476;2
18479;476;0
18480;477;1
18481;477;0
18482;479;2
18483;477;-2
18484;477;0
18485;480;3
18486;481;1
18487;481;0
18488;481;0
18489;482;1
18490;484;2
18491;485;1
18492;486;1
18493;486;0
18494;486;0
18495;487;1
18496;487;0
18497;487;0
18498;487;0
18499;487;0
18500;487;0
18501;487;0
18502;487;0
18503;488;1
18504;488;0
18505;488;0
18506;488;0
18507;489;1
18508;489;0
18509;490;1
18510;492;2
18511;493;1
18512;494;1
18513;495;1
18514;495;0
18515;496;1
18516;498;2
18517;498;0
18518;498;0
18519;499;1
18520;499;0
18521;500;1
18522;503;3
18523;503;0
18524;506;3
18525;507;1
18526;509;2
18527;509;0
18528;509;0
18529;509;0
18530;510;1
18531;510;0
18532;510;0
18533;513;3
18534;513;0
18535;514;1
18536;515;1
18537;517;2
18538;517;0
18539;517;0
18540;518;1
18541;521;3
18542;523;2
18543;524;1
18544;527;3
18545;527;0
18546;527;0
18547;529;2
18548;530;1
18549;530;0
18550;531;1
18551;535;4
18552;535;0
18553;535;0
18554;540;5
18555;543;3
18556;544;1
18557;548;4
18558;548;0
18559;550;2
18560;550;0
18561;550;0
18562;550;0
18563;550;0
18564;553;3
18565;554;1
18566;555;1
18567;558;3
18568;563;5
18569;567;4
18570;568;1
18571;569;1
18572;573;4
18573;573;0
18574;577;4
18575;578;1
18576;580;2
18577;584;4
18578;589;5
18579;597;8
18580;600;3
18581;602;2
18582;603;1
18583;605;2
18584;607;2
18585;609;2
18586;611;2
18587;611;0
18588;617;6
18589;618;1
18590;618;0
18591;623;5
18592;625;2
18593;639;14
18594;648;9
18595;651;3
18596;675;24
18597;679;4
18598;685;6
18599;686;1
18600;690;4
18601;694;4
18602;716;22
18603;716;0
18604;718;2
18605;720;2
18606;724;4
18607;725;1
18608;733;8
18609;736;3
18610;740;4
18611;742;2
18612;749;7
18613;757;8
18614;759;2
18615;763;4
18616;766;3
18617;766;0
18618;770;4
18619;776;6
18620;776;0
18621;780;4
18622;783;3
18623;785;2
18624;793;8
18625;795;2
18626;797;2
18627;799;2
18628;802;3
18629;808;6
18630;812;4
18631;815;3
18632;817;2
18633;819;2
18634;822;3
18635;825;3
18636;828;3
18637;828;0
18638;834;6
18639;838;4
18640;842;4
18641;842;0
18642;843;1
18643;851;8
18644;855;4
18645;862;7
18646;868;6
18647;870;2
18648;881;11
18649;881;0
18650;884;3
18651;889;5
18652;889;0
18653;890;1
18654;893;3
18655;895;2
18656;899;4
18657;909;10
18658;911;2
18659;912;1
18660;915;3
18661;917;2
18662;919;2
18663;923;4
18664;924;1
18665;927;3
18666;928;1
18667;933;5
18668;935;2
18669;936;1
18670;937;1
18671;937;0
18672;937;0
18673;937;0
18674;937;0
18675;938;1
18676;940;2
18677;941;1
18678;942;1
18679;942;0
18680;942;0
18681;942;0
18682;946;4
18683;951;5
18684;951;0
18685;954;3
18686;955;1
18687;955;0
18688;955;0
18689;958;3
18690;960;2
18691;960;0
18692;967;7
18693;969;2
18694;976;7
18695;977;1
18696;978;1
18697;978;0
18698;984;6
18699;984;0
18700;985;1
18701;990;5
18702;990;0
18703;990;0
18704;998;8
18705;1004;6
18706;1005;1
18707;1006;1
18708;1006;0
18709;1007;1
18710;1009;2
18711;1012;3
18712;1013;1
18713;1020;7
18714;1022;2
18715;1023;1
18716;1024;1
18717;1030;6
18718;1036;6
18719;1039;3
18720;1045;6
18721;1047;2
18722;1048;1
18723;1050;2
18724;1050;0
18725;1050;0
18726;1054;4
18727;1056;2
18728;1057;1
18729;1058;1
18730;1062;4
18731;1067;5
18732;1068;1
18733;1070;2
18734;1072;2
18735;1073;1
18736;1076;3
18737;1078;2
18738;1082;4
18739;1086;4
18740;1090;4
18741;1097;7
18742;1100;3
18743;1104;4
18744;1110;6
18745;1116;6
18746;1121;5
18747;1128;7
18748;1132;4
18749;1137;5
18750;1145;8
18751;1153;8
18752;1160;7
18753;1173;13
18754;1178;5
18755;1183;5
18756;1184;1
18757;1199;15
18758;1210;11
18759;1231;21
18760;1256;25
18761;1290;34
18762;1475;185
18763;1682;207
18764;2017;335
