condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;1;1
18338;1;0
18339;3;2
18340;6;3
18341;6;0
18342;6;0
18343;12;6
18344;12;0
18345;12;0
18346;12;0
18347;13;1
18348;13;0
18349;14;1
18350;14;0
18351;19;5
18352;19;0
18353;20;1
18354;20;0
18355;20;0
18356;20;0
18357;22;2
18358;24;2
18359;24;0
18360;25;1
18361;25;0
18362;32;7
18363;32;0
18364;32;0
18365;49;17
18366;53;4
18367;88;35
18368;94;6
18369;147;53
18370;147;0
18371;170;23
18372;254;84
18373;254;0
18374;284;30
18375;284;0
18376;299;15
18377;299;0
18378;299;0
18379;299;0
18380;299;0
18381;480;181
18382;480;0
18383;480;0
18384;480;0
18385;480;0
18386;480;0
18387;480;0
18388;480;0
18389;480;0
18390;509;29
18391;509;0
18392;509;0
18393;509;0
18394;509;0
18395;509;0
18396;509;0
18397;509;0
18398;509;0
18399;509;0
18400;509;0
18401;509;0
18402;509;0
18403;509;0
18404;509;0
18405;509;0
18406;509;0
18407;509;0
18408;509;0
18409;509;0
18410;509;0
18411;509;0
18412;509;0
18413;509;0
18414;509;0
18415;509;0
18416;509;0
18417;509;0
18418;509;0
18419;509;0
18420;509;0
18421;509;0
18422;509;0
18423;509;0
18424;509;0
18425;509;0
18426;509;0
18427;509;0
18428;509;0
18429;509;0
18430;509;0
18431;509;0
18432;509;0
18433;509;0
18434;509;0
18435;509;0
18436;509;0
18437;509;0
18438;509;0
18439;509;0
18440;509;0
18441;509;0
18442;509;0
18443;509;0
18444;509;0
18445;509;0
18446;509;0
18447;509;0
18448;509;0
18449;509;0
18450;509;0
18451;509;0
18452;509;0
18453;509;0
18454;509;0
18455;509;0
18456;509;0
18457;509;0
18458;509;0
18459;509;0
18460;509;0
18461;509;0
18462;509;0
18463;509;0
18464;509;0
18465;509;0
18466;509;0
18467;509;0
18468;509;0
18469;509;0
18470;509;0
18471;509;0
18472;509;0
18473;509;0
18474;509;0
18475;509;0
18476;509;0
18477;509;0
18478;509;0
18479;509;0
18480;509;0
18481;509;0
18482;509;0
18483;509;0
18484;509;0
18485;509;0
18486;509;0
18487;509;0
18488;509;0
18489;509;0
18490;509;0
18491;509;0
18492;509;0
18493;509;0
18494;509;0
18495;509;0
18496;509;0
18497;509;0
18498;509;0
18499;509;0
18500;509;0
18501;509;0
18502;509;0
18503;509;0
18504;509;0
18505;509;0
18506;509;0
18507;509;0
18508;509;0
18509;509;0
18510;509;0
18511;509;0
18512;509;0
18513;509;0
18514;509;0
18515;509;0
18516;509;0
18517;509;0
18518;509;0
18519;509;0
18520;509;0
18521;509;0
18522;509;0
18523;509;0
18524;509;0
18525;509;0
18526;509;0
18527;509;0
18528;509;0
18529;509;0
18530;509;0
18531;509;0
18532;509;0
18533;509;0
18534;509;0
18535;509;0
18536;509;0
18537;509;0
18538;509;0
18539;509;0
18540;509;0
18541;509;0
18542;509;0
18543;509;0
18544;509;0
