condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;1;1
18344;1;0
18345;1;0
18346;1;0
18347;1;0
18348;1;0
18349;1;0
18350;1;0
18351;1;0
18352;1;0
18353;1;0
18354;1;0
18355;1;0
18356;1;0
18357;1;0
18358;1;0
18359;1;0
18360;1;0
18361;1;0
18362;2;1
18363;2;0
18364;2;0
18365;4;2
18366;6;2
18367;8;2
18368;18;10
18369;18;0
18370;18;0
18371;19;1
18372;22;3
18373;23;1
18374;23;0
18375;23;0
18376;24;1
18377;24;0
18378;24;0
18379;24;0
18380;24;0
18381;24;0
18382;24;0
18383;24;0
18384;24;0
18385;24;0
18386;24;0
18387;24;0
18388;24;0
18389;24;0
18390;24;0
18391;24;0
18392;24;0
18393;24;0
18394;24;0
18395;24;0
18396;24;0
18397;24;0
18398;24;0
18399;24;0
18400;24;0
18401;24;0
18402;24;0
18403;24;0
18404;24;0
18405;24;0
18406;24;0
18407;24;0
18408;24;0
18409;24;0
18410;24;0
18411;24;0
18412;24;0
18413;24;0
18414;24;0
18415;24;0
18416;24;0
18417;24;0
18418;24;0
18419;24;0
18420;24;0
18421;24;0
18422;24;0
18423;24;0
18424;24;0
18425;24;0
18426;24;0
18427;24;0
18428;24;0
18429;24;0
18430;24;0
18431;24;0
18432;24;0
18433;24;0
18434;24;0
18435;24;0
18436;24;0
18437;24;0
18438;24;0
18439;24;0
18440;24;0
18441;24;0
18442;24;0
18443;24;0
18444;24;0
18445;24;0
18446;24;0
18447;24;0
18448;24;0
18449;24;0
18450;24;0
18451;24;0
18452;24;0
18453;24;0
18454;24;0
18455;24;0
18456;24;0
18457;24;0
18458;24;0
18459;24;0
18460;24;0
18461;24;0
18462;24;0
18463;24;0
18464;24;0
18465;24;0
18466;24;0
18467;24;0
18468;24;0
18469;24;0
18470;24;0
18471;24;0
18472;24;0
18473;24;0
18474;24;0
18475;24;0
18476;24;0
18477;24;0
18478;25;1
18479;25;0
18480;25;0
18481;25;0
18482;25;0
18483;25;0
18484;25;0
18485;25;0
18486;25;0
18487;25;0
18488;25;0
18489;25;0
18490;25;0
18491;25;0
18492;25;0
18493;25;0
18494;25;0
18495;25;0
18496;26;1
18497;26;0
18498;26;0
18499;26;0
18500;26;0
18501;27;1
18502;27;0
18503;27;0
18504;27;0
18505;27;0
18506;27;0
18507;27;0
18508;27;0
18509;27;0
18510;27;0
18511;27;0
18512;27;0
18513;27;0
18514;27;0
18515;27;0
18516;27;0
18517;27;0
18518;27;0
18519;27;0
18520;27;0
18521;27;0
18522;27;0
18523;27;0
18524;27;0
18525;27;0
18526;27;0
18527;27;0
18528;27;0
18529;27;0
18530;27;0
18531;27;0
18532;27;0
18533;27;0
18534;28;1
18535;28;0
18536;28;0
18537;28;0
18538;28;0
18539;28;0
18540;28;0
18541;28;0
18542;28;0
18543;28;0
18544;28;0
