condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;1;1
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;1;0
18334;1;0
18335;1;0
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;9;8
18342;16;7
18343;16;0
18344;18;2
18345;20;2
18346;23;3
18347;23;0
18348;25;2
18349;25;0
18350;25;0
18351;30;5
18352;34;4
18353;36;2
18354;39;3
18355;40;1
18356;41;1
18357;44;3
18358;58;14
18359;65;7
18360;70;5
18361;73;3
18362;76;3
18363;76;0
18364;76;0
18365;77;1
18366;77;0
18367;81;4
18368;81;0
18369;83;2
18370;84;1
18371;84;0
18372;84;0
18373;86;2
18374;88;2
18375;88;0
18376;90;2
18377;96;6
18378;98;2
18379;98;0
18380;99;1
18381;109;10
18382;116;7
18383;123;7
18384;123;0
18385;124;1
18386;126;2
18387;128;2
18388;128;0
18389;135;7
18390;145;10
18391;153;8
18392;174;21
18393;181;7
18394;199;18
18395;219;20
18396;238;19
18397;263;25
18398;298;35
18399;301;3
18400;330;29
18401;338;8
18402;340;2
18403;354;14
18404;363;9
18405;373;10
18406;381;8
18407;386;5
18408;391;5
18409;395;4
18410;422;27
18411;428;6
18412;433;5
18413;442;9
18414;443;1
18415;445;2
18416;452;7
18417;465;13
18418;485;20
18419;487;2
18420;495;8
18421;497;2
18422;501;4
18423;522;21
18424;524;2
18425;525;1
18426;530;5
18427;530;0
18428;531;1
18429;537;6
18430;544;7
18431;547;3
18432;555;8
18433;561;6
18434;569;8
18435;569;0
18436;576;7
18437;583;7
18438;588;5
18439;591;3
18440;615;24
18441;642;27
18442;643;1
18443;650;7
18444;661;11
18445;667;6
18446;671;4
18447;676;5
18448;680;4
18449;680;0
18450;689;9
18451;695;6
18452;704;9
18453;710;6
18454;710;0
18455;720;10
18456;721;1
18457;731;10
18458;740;9
18459;749;9
18460;766;17
18461;774;8
18462;778;4
18463;783;5
18464;790;7
18465;806;16
18466;828;22
18467;839;11
18468;853;14
18469;868;15
18470;874;6
18471;896;22
18472;896;0
18473;908;12
18474;941;33
18475;958;17
18476;961;3
18477;976;15
18478;988;12
18479;1001;13
18480;1012;11
18481;1028;16
18482;1046;18
18483;1060;14
18484;1067;7
18485;1070;3
18486;1092;22
18487;1104;12
18488;1124;20
18489;1130;6
18490;1147;17
18491;1154;7
18492;1173;19
18493;1190;17
18494;1212;22
18495;1239;27
18496;1275;36
18497;1277;2
18498;1295;18
18499;1309;14
18500;1326;17
18501;1326;0
18502;1365;39
18503;1390;25
18504;1396;6
18505;1400;4
18506;1416;16
18507;1434;18
18508;1443;9
18509;1457;14
18510;1477;20
18511;1488;11
18512;1493;5
18513;1513;20
18514;1528;15
18515;1537;9
18516;1548;11
18517;1555;7
18518;1572;17
18519;1578;6
18520;1595;17
18521;1608;13
18522;1618;10
18523;1640;22
18524;1659;19
18525;1666;7
18526;1669;3
18527;1683;14
18528;1701;18
18529;1707;6
18530;1722;15
18531;1736;14
18532;1743;7
18533;1749;6
18534;1759;10
18535;1784;25
18536;1809;25
