condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;1;1
18333;1;0
18334;5;4
18335;5;0
18336;6;1
18337;18;12
18338;47;29
18339;98;51
18340;192;94
18341;359;167
18342;670;311
18343;1236;566
18344;1529;293
18345;1872;343
18346;2433;561
18347;3629;1196
18348;5698;2069
18349;7402;1704
18350;9217;1815
18351;10827;1610
18352;13531;2704
18353;15679;2148
18354;18135;2456
18355;20921;2786
18356;23934;3013
18357;27069;3135
18358;30217;3148
18359;34109;3892
18360;38226;4117
18361;42282;4056
18362;47029;4747
18363;52167;5138
18364;56956;4789
18365;61049;4093
18366;65111;4062
18367;69392;4281
18368;74193;4801
18369;78546;4353
18370;82329;3783
18371;86306;3977
18372;90980;4674
18373;95591;4611
18374;98674;3083
18375;101790;3116
18376;104912;3122
18377;107773;2861
18378;110130;2357
18379;112261;2131
18380;114653;2392
18381;117589;2936
18382;120204;2615
18383;122392;2188
18384;124375;1983
18385;126045;1670
18386;127659;1614
18387;129491;1832
18388;131744;2253
18389;133721;1977
18390;135569;1848
18391;137115;1546
18392;138657;1542
18393;139771;1114
18394;141475;1704
18395;143114;1639
18396;144749;1635
18397;146457;1708
18398;148067;1610
18399;149435;1368
18400;150593;1158
18401;151615;1022
18402;152587;972
18403;153548;961
18404;154500;952
18405;155686;1186
18406;156827;1141
18407;157814;987
18408;158762;948
18409;159797;1035
18410;160979;1182
18411;162120;1141
18412;163103;983
18413;163942;839
18414;164769;827
18415;165555;786
18416;166422;867
18417;167410;988
18418;168340;930
18419;169218;878
18420;170132;914
18421;171121;989
18422;172114;993
18423;173036;922
18424;174023;987
18425;175218;1195
18426;176677;1459
18427;178239;1562
18428;179831;1592
18429;181298;1467
18430;182727;1429
18431;184031;1304
18432;185245;1214
18433;186493;1248
18434;187685;1192
18435;188897;1212
18436;190165;1268
18437;191657;1492
18438;193115;1458
18439;194511;1396
18440;195883;1372
18441;197239;1356
18442;198613;1374
18443;199906;1293
18444;201098;1192
18445;202284;1186
18446;203456;1172
18447;204610;1154
18448;205758;1148
18449;206844;1086
18450;207897;1053
18451;208938;1041
18452;209962;1024
18453;210965;1003
18454;211981;1016
18455;212993;1012
18456;214001;1008
18457;214993;992
18458;215940;947
18459;216873;933
18460;217799;926
18461;218717;918
18462;219641;924
18463;220572;931
18464;221500;928
18465;222402;902
18466;223315;913
18467;224252;937
18468;225173;921
18469;226100;927
18470;227019;919
18471;227982;963
18472;228924;942
18473;229891;967
18474;230873;982
18475;231869;996
18476;232856;987
18477;233851;995
18478;234934;1083
18479;236112;1178
18480;237265;1153
18481;238450;1185
18482;239622;1172
18483;240804;1182
18484;241997;1193
18485;243180;1183
18486;244392;1212
18487;245635;1243
18488;246861;1226
18489;248117;1256
18490;249309;1192
18491;250542;1233
18492;251805;1263
18493;253108;1303
18494;254520;1412
18495;255723;1203
18496;257032;1309
18497;258249;1217
18498;259692;1443
18499;261194;1502
18500;262507;1313
18501;263998;1491
18502;265515;1517
18503;267064;1549
18504;268546;1482
