condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;4;4
18291;4;0
18292;4;0
18293;4;0
18294;5;1
18295;5;0
18296;5;0
18297;5;0
18298;5;0
18299;5;0
18300;7;2
18301;7;0
18302;8;1
18303;8;0
18304;8;0
18305;8;0
18306;8;0
18307;8;0
18308;9;1
18309;9;0
18310;9;0
18311;9;0
18312;9;0
18313;9;0
18314;13;4
18315;13;0
18316;13;0
18317;13;0
18318;13;0
18319;13;0
18320;19;6
18321;21;2
18322;21;0
18323;21;0
18324;27;6
18325;27;0
18326;29;2
18327;29;0
18328;45;16
18329;45;0
18330;45;0
18331;74;29
18332;74;0
18333;85;11
18334;85;0
18335;85;0
18336;98;13
18337;98;0
18338;98;0
18339;113;15
18340;140;27
18341;140;0
18342;153;13
18343;153;0
18344;198;45
18345;248;50
18346;333;85
18347;333;0
18348;405;72
18349;468;63
18350;570;102
18351;611;41
18352;664;53
18353;814;150
18354;1024;210
18355;1264;240
18356;1505;241
18357;1799;294
18358;2076;277
18359;2359;283
18360;2659;300
18361;2990;331
18362;3360;370
18363;3736;376
18364;4123;387
18365;4521;398
18366;4933;412
18367;5365;432
18368;5825;460
18369;6302;477
18370;6302;0
18371;6781;479
18372;7265;484
18373;7755;490
18374;8238;483
18375;8756;518
18376;9281;525
18377;9813;532
18378;10349;536
18379;10839;490
18380;11380;541
18381;11929;549
18382;12481;552
18383;13038;557
18384;13599;561
18385;14163;564
18386;14730;567
18387;15192;462
18388;15738;546
18389;16240;502
18390;16793;553
18391;17417;624
18392;18198;781
18393;18878;680
18394;19661;783
18395;20386;725
18396;21084;698
18397;21831;747
18398;22627;796
18399;23358;731
18400;24190;832
18401;25063;873
18402;26004;941
18403;26898;894
18404;27892;994
18405;28704;812
18406;29485;781
18407;30307;822
18408;31086;779
18409;31969;883
18410;32532;563
18411;33170;638
18412;33896;726
18413;34557;661
18414;35192;635
18415;35788;596
18416;36359;571
18417;37018;659
18418;37642;624
18419;38268;626
18420;38808;540
18421;39376;568
18422;39904;528
18423;40507;603
18424;40986;479
18425;41499;513
18426;41990;491
18427;42294;304
18428;42636;342
18429;42982;346
18430;43364;382
18431;43752;388
18432;44145;393
18433;44533;388
18434;44925;392
18435;45303;378
18436;45683;380
18437;46133;450
18438;46563;430
18439;46973;410
18440;47360;387
18441;47797;437
18442;48246;449
18443;48667;421
18444;49069;402
18445;49469;400
18446;50141;672
18447;50857;716
18448;51540;683
18449;52068;528
18450;52600;532
18451;53045;445
18452;53577;532
18453;54050;473
18454;54453;403
18455;54854;401
18456;55198;344
18457;55573;375
18458;55848;275
18459;56129;281
18460;56422;293
18461;56711;289
18462;56922;211
18463;57193;271
18464;57498;305
18465;57734;236
18466;57988;254
18467;58249;261
18468;58562;313
18469;58913;351
18470;59177;264
18471;59546;369
18472;59921;375
18473;60223;302
18474;60506;283
18475;60760;254
18476;60999;239
18477;61163;164
18478;61352;189
18479;61606;254
18480;61845;239
18481;62061;216
18482;62300;239
18483;62525;225
18484;62704;179
18485;62966;262
18486;63212;246
18487;63489;277
18488;63819;330
18489;64102;283
18490;64312;210
18491;64541;229
18492;64906;365
18493;65341;435
18494;65802;461
18495;66193;391
18496;66617;424
18497;67007;390
18498;67282;275
18499;67621;339
18500;68020;399
18501;68511;491
18502;68901;390
18503;69328;427
18504;69690;362
18505;70231;541
18506;70805;574
18507;71540;735
18508;72154;614
18509;72766;612
18510;73471;705
18511;73984;513
18512;74454;470
18513;75098;644
18514;75981;883
18515;76911;930
18516;77842;931
18517;78849;1007
18518;79489;640
18519;80266;777
18520;80940;674
