condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;4;4
18335;6;2
18336;8;2
18337;29;21
18338;50;21
18339;79;29
18340;94;15
18341;110;16
18342;135;25
18343;158;23
18344;162;4
18345;189;27
18346;217;28
18347;238;21
18348;274;36
18349;303;29
18350;309;6
18351;320;11
18352;338;18
18353;350;12
18354;369;19
18355;386;17
18356;400;14
18357;406;6
18358;415;9
18359;424;9
18360;456;32
18361;473;17
18362;494;21
18363;501;7
18364;480;-21
18365;483;3
18366;492;9
18367;493;1
18368;502;9
18369;508;6
18370;517;9
18371;528;11
18372;535;7
18373;543;8
18374;549;6
18375;557;8
18376;563;6
18377;596;33
18378;606;10
18379;620;14
18380;625;5
18381;630;5
18382;643;13
18383;648;5
18384;652;4
18385;655;3
18386;657;2
18387;670;13
18388;673;3
18389;684;11
18390;694;10
18391;702;8
18392;707;5
18393;711;4
18394;717;6
18395;719;2
18396;724;5
18397;732;8
18398;733;1
18399;734;1
18400;737;3
18401;738;1
18402;746;8
18403;749;3
18404;753;4
18405;764;11
18406;769;5
18407;787;18
18408;789;2
18409;803;14
18410;811;8
18411;816;5
18412;821;5
18413;823;2
18414;825;2
18415;826;1
18416;828;2
18417;832;4
18418;834;2
18419;845;11
18420;845;0
18421;845;0
18422;846;1
18423;847;1
18424;847;0
18425;847;0
18426;847;0
18427;848;1
18428;848;0
18429;849;1
18430;849;0
18431;850;1
18432;853;3
18433;859;6
18434;876;17
18435;882;6
18436;885;3
18437;902;17
18438;907;5
18439;919;12
18440;924;5
18441;929;5
18442;932;3
18443;936;4
18444;943;7
18445;947;4
18446;952;5
18447;955;3
18448;956;1
18449;960;4
18450;965;5
18451;974;9
18452;977;3
18453;985;8
18454;986;1
18455;987;1
18456;989;2
18457;997;8
18458;1009;12
18459;1026;17
18460;1037;11
18461;1044;7
18462;1054;10
18463;1064;10
18464;1096;32
18465;1117;21
18466;1141;24
18467;1166;25
18468;1174;8
18469;1192;18
18470;1202;10
18471;1218;16
18472;1237;19
18473;1243;6
18474;1264;21
18475;1278;14
18476;1286;8
18477;1291;5
18478;1300;9
18479;1309;9
18480;1318;9
18481;1325;7
18482;1335;10
18483;1353;18
18484;1364;11
18485;1385;21
18486;1393;8
18487;1409;16
18488;1421;12
18489;1434;13
18490;1440;6
18491;1457;17
18492;1485;28
18493;1493;8
18494;1506;13
18495;1516;10
18496;1521;5
18497;1527;6
18498;1533;6
18499;1536;3
18500;1543;7
18501;1551;8
18502;1556;5
18503;1570;14
18504;1585;15
18505;1595;10
18506;1611;16
18507;1626;15
18508;1636;10
18509;1653;17
18510;1669;16
18511;1679;10
18512;1693;14
18513;1712;19
18514;1741;29
18515;1759;18
18516;1773;14
18517;1780;7
18518;1808;28
18519;1812;4
18520;1827;15
18521;1856;29
18522;1876;20
18523;1890;14
18524;1904;14
18525;1917;13
18526;1927;10
18527;1934;7
18528;1946;12
18529;1959;13
18530;1967;8
18531;1998;31
18532;2008;10
18533;2010;2
