condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;2;2
18336;10;8
18337;17;7
18338;33;16
18339;36;3
18340;42;6
18341;42;0
18342;70;28
18343;70;0
18344;77;7
18345;84;7
18346;91;7
18347;107;16
18348;107;0
18349;119;12
18350;119;0
18351;135;16
18352;135;0
18353;143;8
18354;146;3
18355;153;7
18356;155;2
18357;159;4
18358;165;6
18359;165;0
18360;167;2
18361;171;4
18362;171;0
18363;175;4
18364;181;6
18365;189;8
18366;189;0
18367;197;8
18368;204;7
18369;204;0
18370;227;23
18371;256;29
18372;256;0
18373;285;29
18374;288;3
18375;311;23
18376;318;7
18377;323;5
18378;325;2
18379;329;4
18380;329;0
18381;331;2
18382;333;2
18383;335;2
18384;345;10
18385;357;12
18386;357;0
18387;361;4
18388;379;18
18389;381;2
18390;388;7
18391;402;14
18392;414;12
18393;422;8
18394;423;1
18395;423;0
18396;455;32
18397;459;4
18398;504;45
18399;541;37
18400;618;77
18401;749;131
18402;824;75
18403;882;58
18404;944;62
18405;1010;66
18406;1121;111
18407;1177;56
18408;1211;34
18409;1245;34
18410;1325;80
18411;1370;45
18412;1459;89
18413;1510;51
18414;1662;152
18415;1819;157
18416;1952;133
18417;2087;135
18418;2145;58
18419;2316;171
18420;2377;61
18421;2473;96
18422;2632;159
18423;2738;106
18424;2814;76
18425;2879;65
18426;2904;25
18427;2978;74
18428;3062;84
18429;3150;88
18430;3386;236
18431;3483;97
18432;3591;108
18433;3789;198
18434;3917;128
18435;4048;131
18436;4187;139
18437;4366;179
18438;4563;197
18439;4779;216
18440;5130;351
18441;5297;167
18442;5530;233
18443;5832;302
18444;6062;230
18445;6273;211
18446;6537;264
18447;6750;213
18448;7169;419
18449;7411;242
18450;7693;282
18451;8008;315
18452;8372;364
18453;8803;431
18454;9178;375
18455;9465;287
18456;9707;242
18457;10010;303
18458;10428;418
18459;10854;426
18460;11191;337
18461;11483;292
18462;11891;408
18463;12334;443
18464;12774;440
18465;13164;390
18466;13613;449
18467;14263;650
18468;14929;666
18469;15463;534
18470;15988;525
18471;16571;583
18472;17158;587
18473;17859;701
18474;18574;715
18475;19443;869
18476;20206;763
18477;20754;548
18478;21438;684
18479;22299;861
18480;23280;981
18481;24166;886
18482;24961;795
18483;25805;844
18484;26800;995
18485;27938;1138
18486;29088;1150
18487;30369;1281
18488;31381;1012
18489;32607;1226
18490;33755;1148
18491;34802;1047
18492;35697;895
18493;36868;1171
18494;37567;699
18495;38219;652
18496;38957;738
18497;39564;607
18498;40338;774
18499;41158;820
18500;41965;807
18501;42898;933
18502;43879;981
18503;44946;1067
18504;45868;922
18505;46728;860
18506;47756;1028
18507;48883;1127
18508;49877;994
18509;50973;1096
18510;52165;1192
18511;53289;1124
18512;54350;1061
18513;55563;1213
18514;56751;1188
18515;57823;1072
18516;58663;840
18517;59630;967
18518;60540;910
18519;61569;1029
18520;62655;1086
18521;63416;761
18522;64284;868
18523;65174;890
18524;65949;775
