condition;measurement;ncases
18283;0;0
18284;2;2
18285;2;0
18286;2;0
18287;2;0
18288;2;0
18289;2;0
18290;2;0
18291;2;0
18292;2;0
18293;6;4
18294;6;0
18295;8;2
18296;8;0
18297;8;0
18298;10;2
18299;10;0
18300;13;3
18301;13;0
18302;14;1
18303;15;1
18304;15;0
18305;16;1
18306;16;0
18307;16;0
18308;16;0
18309;16;0
18310;16;0
18311;16;0
18312;16;0
18313;16;0
18314;16;0
18315;16;0
18316;16;0
18317;16;0
18318;16;0
18319;16;0
18320;16;0
18321;16;0
18322;16;0
18323;16;0
18324;16;0
18325;16;0
18326;16;0
18327;16;0
18328;18;2
18329;30;12
18330;30;0
18331;31;1
18332;38;7
18333;39;1
18334;47;8
18335;53;6
18336;56;3
18337;61;5
18338;66;5
18339;75;9
18340;85;10
18341;91;6
18342;94;3
18343;113;19
18344;123;10
18345;134;11
18346;141;7
18347;153;12
18348;163;10
18349;174;11
18350;188;14
18351;203;15
18352;212;9
18353;218;6
18354;233;15
18355;237;4
18356;240;3
18357;241;1
18358;245;4
18359;249;4
18360;251;2
18361;255;4
18362;257;2
18363;258;1
18364;262;4
18365;265;3
18366;266;1
18367;267;1
18368;268;1
18369;268;0
18370;268;0
18371;268;0
18372;268;0
18373;268;0
18374;268;0
18375;268;0
18376;270;2
18377;270;0
18378;270;0
18379;270;0
18380;270;0
18381;270;0
18382;270;0
18383;270;0
18384;270;0
18385;271;1
18386;271;0
18387;271;0
18388;271;0
18389;288;17
18390;288;0
18391;288;0
18392;288;0
18393;288;0
18394;288;0
18395;288;0
18396;312;24
18397;314;2
18398;318;4
18399;320;2
18400;324;4
18401;324;0
18402;324;0
18403;324;0
18404;324;0
18405;325;1
18406;325;0
18407;326;1
18408;327;1
18409;327;0
18410;327;0
18411;328;1
18412;328;0
18413;328;0
18414;328;0
18415;328;0
18416;328;0
18417;328;0
18418;328;0
18419;329;1
18420;331;2
18421;332;1
18422;332;0
18423;332;0
18424;332;0
18425;333;1
18426;334;1
18427;334;0
18428;334;0
18429;334;0
18430;335;1
18431;342;7
18432;349;7
18433;349;0
18434;349;0
18435;349;0
18436;349;0
18437;352;3
18438;352;0
18439;353;1
18440;355;2
18441;355;0
18442;355;0
18443;355;0
18444;355;0
18445;355;0
18446;355;0
18447;355;0
18448;355;0
18449;369;14
18450;369;0
18451;369;0
18452;369;0
18453;370;1
18454;370;0
18455;372;2
18456;373;1
18457;373;0
18458;381;8
18459;381;0
18460;382;1
18461;382;0
18462;383;1
18463;384;1
18464;401;17
18465;408;7
18466;412;4
18467;415;3
18468;417;2
18469;420;3
18470;431;11
18471;446;15
18472;459;13
18473;509;50
18474;558;49
18475;590;32
18476;621;31
18477;652;31
18478;672;20
18479;717;45
18480;750;33
18481;789;39
18482;812;23
18483;841;29
18484;847;6
18485;866;19
18486;883;17
18487;911;28
18488;930;19
18489;951;21
18490;964;13
18491;983;19
18492;989;6
18493;994;5
18494;1007;13
18495;1009;2
18496;1014;5
18497;1016;2
18498;1022;6
18499;1029;7
18500;1034;5
18501;1036;2
18502;1038;2
18503;1040;2
18504;1040;0
18505;1044;4
18506;1044;0
18507;1046;2
18508;1046;0
18509;1049;3
18510;1049;0
18511;1049;0
18512;1049;0
18513;1054;5
18514;1059;5
18515;1059;0
18516;1060;1
18517;1060;0
18518;1063;3
18519;1063;0
18520;1063;0
18521;1063;0
18522;1066;3
18523;1068;2
18524;1068;0
18525;1068;0
18526;1068;0
18527;1068;0
18528;1069;1
18529;1069;0
18530;1069;0
18531;1069;0
18532;1074;5
18533;1077;3
18534;1094;17
18535;1094;0
18536;1095;1
18537;1096;1
18538;1096;0
18539;1096;0
18540;1097;1
18541;1098;1
18542;1099;1
18543;1100;1
18544;1105;5
18545;1107;2
18546;1109;2
18547;1110;1
18548;1113;3
18549;1122;9
18550;1124;2
18551;1124;0
18552;1126;2
18553;1134;8
18554;1140;6
18555;1141;1
18556;1144;3
18557;1148;4
18558;1148;0
18559;1160;12
18560;1168;8
18561;1169;1
18562;1172;3
18563;1173;1
18564;1177;4
18565;1177;0
18566;1180;3
18567;1180;0
18568;1192;12
18569;1202;10
18570;1203;1
18571;1207;4
18572;1212;5
18573;1213;1
18574;1213;0
18575;1215;2
18576;1226;11
18577;1252;26
18578;1253;1
18579;1256;3
18580;1265;9
18581;1281;16
18582;1283;2
18583;1288;5
18584;1300;12
18585;1304;4
18586;1305;1
18587;1306;1
18588;1307;1
18589;1312;5
18590;1316;4
18591;1321;5
18592;1331;10
18593;1339;8
18594;1341;2
18595;1343;2
18596;1347;4
18597;1351;4
18598;1358;7
18599;1361;3
18600;1361;0
18601;1365;4
18602;1366;1
18603;1367;1
18604;1377;10
18605;1381;4
18606;1385;4
18607;1391;6
18608;1395;4
18609;1397;2
18610;1402;5
18611;1405;3
18612;1405;0
18613;1407;2
18614;1410;3
18615;1411;1
18616;1413;2
18617;1414;1
18618;1420;6
18619;1421;1
18620;1432;11
18621;1439;7
18622;1440;1
18623;1441;1
18624;1451;10
18625;1454;3
18626;1456;2
18627;1465;9
18628;1474;9
18629;1482;8
18630;1494;12
18631;1497;3
18632;1504;7
18633;1505;1
18634;1509;4
18635;1512;3
18636;1513;1
18637;1514;1
18638;1515;1
18639;1520;5
18640;1521;1
18641;1531;10
18642;1536;5
18643;1537;1
18644;1537;0
18645;1539;2
18646;1540;1
18647;1544;4
18648;1546;2
18649;1548;2
18650;1548;0
18651;1548;0
18652;1549;1
18653;1551;2
18654;1553;2
18655;1651;98
18656;1657;6
18657;1767;110
18658;1817;50
18659;1850;33
18660;1882;32
18661;1948;66
18662;1957;9
18663;1976;19
18664;1985;9
18665;2001;16
18666;2050;49
18667;2064;14
18668;2091;27
18669;2140;49
18670;2142;2
18671;2195;53
18672;2228;33
18673;2269;41
18674;2311;42
18675;2329;18
18676;2347;18
18677;2362;15
18678;2368;6
18679;2383;15
18680;2392;9
18681;2403;11
18682;2412;9
18683;2421;9
18684;2426;5
18685;2432;6
18686;2448;16
18687;2448;0
18688;2475;27
18689;2482;7
18690;2488;6
18691;2494;6
18692;2501;7
18693;2512;11
18694;2524;12
18695;2526;2
18696;2529;3
18697;2533;4
18698;2550;17
18699;2553;3
18700;2554;1
18701;2557;3
18702;2560;3
18703;2567;7
18704;2570;3
18705;2571;1
18706;2572;1
18707;2572;0
18708;2575;3
18709;2575;0
18710;2576;1
18711;2579;3
18712;2586;7
18713;2586;0
18714;2591;5
18715;2594;3
18716;2594;0
18717;2603;9
18718;2617;14
18719;2620;3
18720;2626;6
18721;2631;5
18722;2637;6
18723;2648;11
18724;2659;11
18725;2668;9
18726;2683;15
18727;2692;9
18728;2693;1
18729;2705;12
18730;2714;9
18731;2733;19
18732;2758;25
18733;2772;14
18734;2781;9
18735;2785;4
18736;2791;6
18737;2800;9
18738;2812;12
18739;2824;12
18740;2830;6
18741;2833;3
18742;2843;10
18743;2852;9
18744;2857;5
18745;2865;8
18746;2910;45
18747;2928;18
18748;2942;14
18749;2962;20
18750;2985;23
18751;2995;10
18752;3030;35
18753;3090;60
18754;3137;47
18755;3245;108
18756;3412;167
18757;3489;77
18758;3571;82
18759;3658;87
18760;3740;82
18761;3816;76
18762;4112;296
18763;4212;100
18764;4359;147
