condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;4;4
18327;7;3
18328;16;9
18329;16;0
18330;19;3
18331;26;7
18332;30;4
18333;30;0
18334;31;1
18335;35;4
18336;38;3
18337;38;0
18338;39;1
18339;41;2
18340;44;3
18341;47;3
18342;48;1
18343;52;4
18344;59;7
18345;59;0
18346;59;0
18347;84;25
18348;91;7
18349;98;7
18350;109;11
18351;116;7
18352;119;3
18353;134;15
18354;161;27
18355;194;33
18356;217;23
18357;237;20
18358;254;17
18359;261;7
18360;263;2
18361;263;0
18362;267;4
18363;268;1
18364;271;3
18365;273;2
18366;284;11
18367;291;7
18368;294;3
18369;307;13
18370;313;6
18371;319;6
18372;329;10
18373;329;0
18374;335;6
18375;336;1
18376;340;4
18377;342;2
18378;342;0
18379;342;0
18380;343;1
18381;344;1
18382;344;0
18383;353;9
18384;353;0
18385;353;0
18386;362;9
18387;371;9
18388;374;3
18389;375;1
18390;375;0
18391;375;0
18392;375;0
18393;375;0
18394;375;0
18395;375;0
18396;375;0
18397;375;0
18398;376;1
18399;381;5
18400;388;7
18401;391;3
18402;398;7
18403;423;25
18404;423;0
18405;423;0
18406;423;0
18407;423;0
18408;429;6
18409;434;5
18410;446;12
18411;446;0
18412;447;1
18413;448;1
18414;449;1
18415;451;2
18416;457;6
18417;464;7
18418;464;0
18419;464;0
18420;472;8
18421;473;1
18422;481;8
18423;485;4
18424;487;2
18425;489;2
18426;489;0
18427;492;3
18428;505;13
18429;514;9
18430;555;41
18431;600;45
18432;675;75
18433;784;109
18434;833;49
18435;1001;168
18436;1169;168
18437;1328;159
18438;1382;54
18439;1557;175
18440;1815;258
18441;1990;175
18442;2185;195
18443;2428;243
18444;2758;330
18445;3080;322
18446;3334;254
18447;3835;501
18448;4277;442
18449;4341;64
18450;4647;306
18451;5029;382
18452;5220;191
18453;5551;331
18454;5931;380
18455;6230;299
18456;6566;336
18457;6764;198
18458;7064;300
18459;7412;348
18460;7764;352
18461;8204;440
18462;8549;345
18463;8916;367
18464;9228;312
18465;9398;170
18466;9744;346
18467;10093;349
18468;10306;213
18469;10469;163
18470;10621;152
18471;10938;317
18472;11284;346
18473;11548;264
18474;11837;289
18475;12160;323
18476;12297;137
18477;12541;244
18478;12770;229
18479;13065;295
18480;13398;333
18481;13722;324
18482;13928;206
18483;14208;280
18484;14510;302
18485;14875;365
18486;15184;309
18487;15491;307
18488;15834;343
18489;16153;319
18490;16534;381
18491;16844;310
18492;17306;462
18493;17606;300
18494;17989;383
18495;18313;324
18496;18476;163
18497;18802;326
18498;19213;411
18499;19678;465
18500;20155;477
18501;20677;522
18502;21251;574
18503;21668;417
18504;22204;536
18505;22729;525
18506;23281;552
18507;23875;594
18508;24471;596
18509;25142;671
18510;25575;433
18511;26127;552
18512;26779;652
18513;27363;584
18514;27919;556
18515;28664;745
18516;29256;592
18517;29906;650
18518;30574;668
18519;31362;788
18520;32250;888
18521;33006;756
18522;33843;837
18523;34401;558
18524;35003;602
18525;35686;683
18526;36151;465
18527;36580;429
18528;37083;503
18529;37591;508
18530;37963;372
