condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;2;2
18340;2;0
18341;2;0
18342;2;0
18343;3;1
18344;3;0
18345;3;0
18346;12;9
18347;16;4
18348;22;6
18349;28;6
18350;29;1
18351;35;6
18352;35;0
18353;36;1
18354;39;3
18355;39;0
18356;39;0
18357;39;0
18358;39;0
18359;39;0
18360;39;0
18361;39;0
18362;40;1
18363;40;0
18364;43;3
18365;45;2
18366;45;0
18367;48;3
18368;48;0
18369;52;4
18370;57;5
18371;61;4
18372;65;4
18373;70;5
18374;74;4
18375;76;2
18376;84;8
18377;84;0
18378;88;4
18379;88;0
18380;95;7
18381;97;2
18382;106;9
18383;109;3
18384;119;10
18385;124;5
18386;137;13
18387;138;1
18388;146;8
18389;153;7
18390;167;14
18391;252;85
18392;267;15
18393;267;0
18394;441;174
18395;446;5
18396;654;208
18397;654;0
18398;679;25
18399;753;74
18400;761;8
18401;772;11
18402;832;60
18403;866;34
18404;920;54
18405;920;0
18406;920;0
18407;920;0
18408;920;0
18409;1057;137
18410;1057;0
18411;1057;0
18412;1057;0
18413;1057;0
18414;1089;32
18415;1089;0
18416;1089;0
18417;1089;0
18418;1089;0
18419;1089;0
18420;1089;0
18421;1200;111
18422;1200;0
18423;1200;0
18424;1200;0
18425;1321;121
18426;1357;36
18427;1358;1
18428;1382;24
18429;1405;23
18430;1412;7
18431;1416;4
18432;1430;14
18433;1430;0
18434;1430;0
18435;1430;0
18436;1477;47
18437;1489;12
18438;1497;8
18439;1531;34
18440;1531;0
18441;1557;26
18442;1568;11
18443;1594;26
18444;1632;38
18445;1632;0
18446;1632;0
18447;1632;0
18448;1632;0
18449;1632;0
18450;1895;263
18451;1895;0
18452;1895;0
18453;1895;0
18454;1895;0
18455;1895;0
18456;1895;0
18457;1895;0
18458;1895;0
18459;1895;0
18460;2810;915
18461;2980;170
18462;2980;0
18463;3326;346
18464;3386;60
18465;3583;197
18466;3789;206
18467;3856;67
18468;4328;472
18469;4481;153
18470;4552;71
18471;5002;450
18472;5249;247
18473;5555;306
18474;5963;408
18475;6228;265
18476;6347;119
18477;6580;233
18478;6793;213
18479;7022;229
18480;7164;142
18481;7486;322
18482;7903;417
18483;8085;182
18484;8210;125
18485;8275;65
18486;8501;226
18487;8663;162
18488;9021;358
18489;9186;165
18490;9343;157
18491;9839;496
18492;9981;142
18493;10218;237
18494;10372;154
18495;10627;255
18496;10831;204
18497;11082;251
18498;11148;66
18499;11285;137
18500;11376;91
18501;11601;225
18502;11779;178
18503;11902;123
18504;12025;123
18505;12097;72
18506;12381;284
18507;12415;34
18508;12523;108
18509;12639;116
18510;12709;70
18511;12776;67
18512;12836;60
18513;12952;116
18514;13112;160
18515;13214;102
18516;13323;109
18517;13466;143
18518;13539;73
18519;13720;181
18520;13819;99
18521;13887;68
18522;13928;41
18523;14022;94
18524;14070;48
18525;14131;61
18526;14175;44
18527;14389;214
