condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;1;1
18342;3;2
18343;3;0
18344;3;0
18345;3;0
18346;3;0
18347;3;0
18348;5;2
18349;7;2
18350;7;0
18351;7;0
18352;8;1
18353;8;0
18354;9;1
18355;9;0
18356;9;0
18357;9;0
18358;10;1
18359;11;1
18360;11;0
18361;11;0
18362;13;2
18363;14;1
18364;14;0
18365;17;3
18366;17;0
18367;23;6
18368;23;0
18369;24;1
18370;25;1
18371;25;0
18372;25;0
18373;28;3
18374;28;0
18375;28;0
18376;29;1
18377;31;2
18378;31;0
18379;32;1
18380;32;0
18381;32;0
18382;40;8
18383;40;0
18384;34;-6
18385;34;0
18386;34;0
18387;34;0
18388;34;0
18389;34;0
18390;34;0
18391;35;1
18392;36;1
18393;36;0
18394;36;0
18395;37;1
18396;37;0
18397;42;5
18398;42;0
18399;44;2
18400;46;2
18401;46;0
18402;48;2
18403;51;3
18404;51;0
18405;56;5
18406;56;0
18407;56;0
18408;56;0
18409;132;76
18410;149;17
18411;149;0
18412;174;25
18413;178;4
18414;203;25
18415;206;3
18416;222;16
18417;237;15
18418;265;28
18419;279;14
18420;282;3
18421;287;5
18422;314;27
18423;320;6
18424;332;12
18425;343;11
18426;356;13
18427;383;27
18428;387;4
18429;391;4
18430;401;10
18431;463;62
18432;479;16
18433;479;0
18434;489;10
18435;512;23
18436;525;13
18437;530;5
18438;551;21
18439;561;10
18440;567;6
18441;567;0
18442;574;7
18443;591;17
18444;605;14
18445;617;12
18446;625;8
18447;698;73
18448;716;18
18449;734;18
18450;787;53
18451;885;98
18452;885;0
18453;942;57
18454;982;40
18455;985;3
18456;1034;49
18457;1064;30
18458;1089;25
18459;1362;273
18460;1420;58
18461;1478;58
18462;1611;133
18463;1713;102
18464;1820;107
18465;2034;214
18466;2124;90
18467;2296;172
18468;2434;138
18469;2512;78
18470;2704;192
18471;2817;113
18472;2879;62
18473;3092;213
18474;3169;77
18475;3659;490
18476;3921;262
18477;4075;154
18478;4221;146
18479;4221;0
18480;4339;118
18481;4451;112
18482;4575;124
18483;4649;74
18484;4748;99
18485;4818;70
18486;4893;75
18487;4990;97
18488;5072;82
18489;5176;104
18490;5261;85
18491;5308;47
18492;5378;70
18493;5643;265
18494;5745;102
18495;5815;70
18496;5893;78
18497;5930;37
18498;6070;140
18499;6196;126
18500;6251;55
18501;6292;41
18502;6388;96
18503;6406;18
18504;6412;6
18505;6497;85
18506;6559;62
18507;6638;79
18508;6678;40
18509;6837;159
18510;6837;0
18511;6837;0
18512;7298;461
18513;7388;90
18514;7429;41
18515;7453;24
18516;7479;26
18517;7508;29
18518;7526;18
18519;7531;5
18520;7576;45
18521;7598;22
18522;7633;35
18523;7647;14
18524;7672;25
18525;7683;11
18526;7683;0
18527;7711;28
18528;7725;14
18529;7752;27
18530;7787;35
18531;7803;16
18532;7812;9
18533;7816;4
