condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;2;2
18331;10;8
18332;12;2
18333;23;11
18334;33;10
18335;38;5
18336;42;4
18337;51;9
18338;55;4
18339;59;4
18340;64;5
18341;70;6
18342;76;6
18343;89;13
18344;104;15
18345;123;19
18346;146;23
18347;174;28
18348;186;12
18349;197;11
18350;212;15
18351;223;11
18352;243;20
18353;259;16
18354;277;18
18355;304;27
18356;333;29
18357;361;28
18358;377;16
18359;383;6
18360;400;17
18361;409;9
18362;416;7
18363;433;17
18364;446;13
18365;467;21
18366;475;8
18367;494;19
18368;518;24
18369;539;21
18370;548;9
18371;562;14
18372;584;22
18373;609;25
18374;634;25
18375;663;29
18376;678;15
18377;712;34
18378;726;14
18379;736;10
18380;750;14
18381;766;16
18382;773;7
18383;782;9
18384;789;7
18385;795;6
18386;803;8
18387;820;17
18388;832;12
18389;842;10
18390;850;8
18391;856;6
18392;868;12
18393;872;4
18394;876;4
18395;880;4
18396;898;18
18397;916;18
18398;933;17
18399;946;13
18400;948;2
18401;949;1
18402;964;15
18403;969;5
18404;981;12
18405;989;8
18406;998;9
18407;1004;6
18408;1029;25
18409;1050;21
18410;1076;26
18411;1099;23
18412;1122;23
18413;1137;15
18414;1143;6
18415;1164;21
18416;1184;20
18417;1197;13
18418;1212;15
18419;1232;20
18420;1246;14
18421;1263;17
18422;1299;36
18423;1341;42
18424;1385;44
18425;1416;31
18426;1464;48
18427;1521;57
18428;1590;69
18429;1672;82
18430;1722;50
18431;1788;66
18432;1838;50
18433;1891;53
18434;1962;71
18435;1995;33
18436;2047;52
18437;2114;67
18438;2192;78
18439;2269;77
18440;2330;61
18441;2402;72
18442;2466;64
18443;2535;69
18444;2580;45
18445;2662;82
18446;2752;90
18447;2819;67
18448;2893;74
18449;2964;71
18450;3038;74
18451;3106;68
18452;3188;82
18453;3278;90
18454;3371;93
18455;3454;83
18456;3571;117
18457;3667;96
18458;3752;85
18459;3851;99
18460;3906;55
18461;4008;102
18462;4090;82
18463;4171;81
18464;4290;119
18465;4358;68
18466;4466;108
18467;4570;104
18468;4637;67
18469;4763;126
18470;4880;117
18471;4997;117
18472;5105;108
18473;5197;92
18474;5276;79
18475;5396;120
18476;5519;123
18477;5620;101
18478;5750;130
18479;5889;139
18480;6016;127
18481;6151;135
18482;6275;124
18483;6411;136
18484;6536;125
18485;6676;140
18486;6817;141
18487;6971;154
18488;7117;146
18489;7260;143
18490;7380;120
18491;7499;119
18492;7654;155
18493;7812;158
18494;7967;155
18495;8119;152
18496;8275;156
18497;8427;152
18498;8605;178
18499;8759;154
18500;8927;168
18501;9083;156
18502;9195;112
18503;9279;84
18504;9380;101
18505;9513;133
18506;9606;93
18507;9728;122
18508;9844;116
18509;9967;123
18510;10102;135
18511;10255;153
18512;10406;151
18513;10553;147
18514;10704;151
18515;10860;156
18516;11021;161
18517;11185;164
18518;11353;168
18519;11520;167
18520;11672;152
18521;11816;144
18522;11948;132
18523;12073;125
18524;12226;153
18525;12385;159
18526;12535;150
18527;12666;131
