condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;1;1
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;1;0
18334;1;0
18335;1;0
18336;1;0
18337;2;1
18338;39;37
18339;39;0
18340;53;14
18341;75;22
18342;88;13
18343;113;25
18344;133;20
18345;164;31
18346;188;24
18347;224;36
18348;267;43
18349;308;41
18350;334;26
18351;370;36
18352;376;6
18353;390;14
18354;428;38
18355;439;11
18356;466;27
18357;501;35
18358;525;24
18359;545;20
18360;564;19
18361;583;19
18362;601;18
18363;601;0
18364;638;37
18365;646;8
18366;659;13
18367;673;14
18368;673;0
18369;696;23
18370;704;8
18371;713;9
18372;717;4
18373;717;0
18374;723;6
18375;723;0
18376;731;8
18377;738;7
18378;738;0
18379;743;5
18380;743;0
18381;743;0
18382;745;2
18383;745;0
18384;747;2
18385;748;1
18386;750;2
18387;751;1
18388;751;0
18389;752;1
18390;752;0
18391;754;2
18392;755;1
18393;755;0
18394;758;3
18395;760;2
18396;761;1
18397;761;0
18398;761;0
18399;761;0
18400;761;0
18401;761;0
18402;762;1
18403;762;0
18404;762;0
18405;762;0
18406;762;0
18407;763;1
18408;763;0
18409;763;0
18410;763;0
18411;764;1
18412;764;0
18413;764;0
18414;765;1
18415;844;79
18416;851;7
18417;852;1
18418;852;0
18419;852;0
18420;852;0
18421;852;0
18422;852;0
18423;852;0
18424;852;0
18425;853;1
18426;853;0
18427;853;0
18428;853;0
18429;854;1
18430;854;0
18431;855;1
18432;855;0
18433;855;0
18434;855;0
18435;855;0
18436;855;0
18437;855;0
18438;855;0
18439;855;0
18440;855;0
18441;855;0
18442;855;0
18443;855;0
18444;855;0
18445;855;0
18446;855;0
18447;855;0
18448;855;0
18449;855;0
18450;855;0
18451;855;0
18452;855;0
18453;855;0
18454;855;0
18455;855;0
18456;858;3
18457;861;3
18458;862;1
18459;877;15
18460;880;3
18461;880;0
18462;880;0
18463;884;4
18464;884;0
18465;889;5
18466;889;0
18467;897;8
18468;897;0
18469;897;0
18470;907;10
18471;907;0
18472;918;11
18473;922;4
18474;925;3
18475;925;0
18476;925;0
18477;937;12
18478;939;2
18479;939;0
18480;944;5
18481;955;11
18482;955;0
18483;955;0
18484;963;8
18485;963;0
18486;977;14
18487;981;4
18488;989;8
18489;989;0
18490;989;0
18491;1005;16
18492;1005;0
18493;1024;19
18494;1024;0
18495;1045;21
18496;1045;0
18497;1045;0
18498;1060;15
18499;1060;0
18500;1098;38
18501;1098;0
18502;1124;26
18503;1124;0
18504;1124;0
18505;1176;52
18506;1184;8
18507;1199;15
18508;1199;0
18509;1215;16
18510;1215;0
18511;1215;0
18512;1261;46
18513;1261;0
18514;1301;40
18515;1301;0
18516;1344;43
18517;1344;0
18518;1344;0
18519;1438;94
18520;1438;0
18521;1483;45
18522;1483;0
18523;1564;81
18524;1564;0
18525;1564;0
18526;1681;117
18527;1681;0
18528;1753;72
18529;1753;0
18530;1836;83
18531;1836;0
18532;1836;0
18533;1966;130
18534;1966;0
18535;2050;84
18536;2050;0
18537;2110;60
