condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;1;1
18342;2;1
18343;2;0
18344;3;1
18345;3;0
18346;3;0
18347;4;1
18348;4;0
18349;5;1
18350;7;2
18351;7;0
18352;7;0
18353;8;1
18354;8;0
18355;8;0
18356;10;2
18357;14;4
18358;16;2
18359;17;1
18360;19;2
18361;19;0
18362;19;0
18363;19;0
18364;19;0
18365;19;0
18366;19;0
18367;19;0
18368;19;0
18369;19;0
18370;24;5
18371;24;0
18372;24;0
18373;24;0
18374;25;1
18375;25;0
18376;25;0
18377;25;0
18378;26;1
18379;27;1
18380;27;0
18381;27;0
18382;27;0
18383;30;3
18384;35;5
18385;35;0
18386;35;0
18387;36;1
18388;36;0
18389;36;0
18390;43;7
18391;43;0
18392;45;2
18393;45;0
18394;45;0
18395;45;0
18396;48;3
18397;48;0
18398;48;0
18399;48;0
18400;50;2
18401;52;2
18402;52;0
18403;58;6
18404;60;2
18405;61;1
18406;69;8
18407;70;1
18408;70;0
18409;71;1
18410;74;3
18411;81;7
18412;84;3
18413;86;2
18414;86;0
18415;86;0
18416;86;0
18417;86;0
18418;86;0
18419;88;2
18420;91;3
18421;92;1
18422;96;4
18423;113;17
18424;118;5
18425;130;12
18426;138;8
18427;140;2
18428;142;2
18429;148;6
18430;155;7
18431;166;11
18432;172;6
18433;176;4
18434;183;7
18435;186;3
18436;189;3
18437;197;8
18438;212;15
18439;212;0
18440;259;47
18441;267;8
18442;276;9
18443;284;8
18444;291;7
18445;315;24
18446;328;13
18447;346;18
18448;346;0
18449;346;0
18450;386;40
18451;386;0
18452;396;10
18453;458;62
18454;462;4
18455;506;44
18456;525;19
18457;541;16
18458;576;35
18459;607;31
18460;638;31
18461;687;49
18462;705;18
18463;749;44
18464;779;30
18465;812;33
18466;851;39
18467;880;29
18468;916;36
18469;932;16
18470;950;18
18471;1000;50
18472;1078;78
18473;1109;31
18474;1148;39
18475;1164;16
18476;1199;35
18477;1280;81
18478;1344;64
18479;1395;51
18480;1483;88
18481;1538;55
18482;1572;34
18483;1672;100
18484;1679;7
18485;1735;56
18486;1762;27
18487;1815;53
18488;1852;37
18489;1879;27
18490;1906;27
18491;1935;29
18492;1966;31
18493;2015;49
18494;2044;29
18495;2068;24
18496;2134;66
18497;2171;37
18498;2222;51
18499;2283;61
18500;2332;49
18501;2415;83
18502;2471;56
18503;2551;80
18504;2624;73
18505;2654;30
18506;2729;75
18507;2777;48
18508;2805;28
18509;2876;71
18510;2935;59
18511;2965;30
18512;2981;16
18513;3033;52
18514;3092;59
18515;3217;125
18516;3279;62
18517;3335;56
18518;3388;53
18519;3439;51
18520;3569;130
18521;3675;106
18522;3789;114
18523;3848;59
18524;3901;53
18525;3991;90
18526;4117;126
18527;4236;119
18528;4363;127
18529;4475;112
18530;4590;115
18531;4672;82
18532;4718;46
18533;4797;79
18534;4905;108
18535;4972;67
