condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;1;1
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;4;3
18334;8;4
18335;18;10
18336;26;8
18337;52;26
18338;78;26
18339;84;6
18340;115;31
18341;136;21
18342;160;24
18343;194;34
18344;235;41
18345;249;14
18346;265;16
18347;290;25
18348;329;39
18349;407;78
18350;424;17
18351;482;58
18352;532;50
18353;571;39
18354;663;92
18355;736;73
18356;770;34
18357;822;52
18358;833;11
18359;853;20
18360;881;28
18361;921;40
18362;937;16
18363;967;30
18364;1013;46
18365;1039;26
18366;1067;28
18367;1111;44
18368;1159;48
18369;1201;42
18370;1248;47
18371;1291;43
18372;1339;48
18373;1401;62
18374;1473;72
18375;1523;50
18376;1596;73
18377;1677;81
18378;1746;69
18379;1808;62
18380;1867;59
18381;1932;65
18382;2066;134
18383;2148;82
18384;2273;125
18385;2386;113
18386;2507;121
18387;2619;112
18388;2782;163
18389;2884;102
18390;3029;145
18391;3175;146
18392;3313;138
18393;3392;79
18394;3538;146
18395;3718;180
18396;3860;142
18397;4044;184
18398;4283;239
18399;4472;189
18400;4823;351
18401;5041;218
18402;5271;230
18403;5606;335
18404;5928;322
18405;6302;374
18406;6661;359
18407;7113;452
18408;7402;289
18409;7774;372
18410;8216;442
18411;8676;460
18412;8927;251
18413;9282;355
18414;9492;210
18415;10009;517
18416;10524;515
18417;11221;697
18418;11817;596
18419;12364;547
18420;13130;766
18421;13325;195
18422;13675;350
18423;14103;428
18424;14669;566
18425;15281;612
18426;16004;723
18427;16667;663
18428;17064;397
18429;17489;425
18430;18033;544
18431;18698;665
18432;19157;459
18433;19708;551
18434;20268;560
18435;20588;320
18436;21006;418
18437;21717;711
18438;22488;771
18439;23247;759
18440;23909;662
18441;24645;736
18442;25127;482
18443;25542;415
18444;26065;523
18445;26658;593
18446;27320;662
18447;27900;580
18448;28606;706
18449;28936;330
18450;29285;349
18451;29820;535
18452;30346;526
18453;30903;557
18454;31392;489
18455;31969;577
18456;32151;182
18457;32490;339
18458;33005;515
18459;33559;554
18460;34001;442
18461;34462;461
18462;34877;415
18463;34981;104
18464;35254;273
18465;35693;439
18466;36162;469
18467;36613;451
18468;36996;383
18469;37317;321
18470;37390;73
18471;37629;239
18472;37937;308
18473;38196;259
18474;38550;354
18475;38841;291
18476;39050;209
18477;39102;52
18478;39298;196
18479;39586;288
18480;39819;233
18481;39985;166
18482;40185;200
18483;40410;225
18484;40433;23
18485;40593;160
18486;40794;201
18487;41023;229
18488;41299;276
18489;41495;196
18490;41663;168
18491;41701;38
18492;41846;145
18493;42056;210
18494;42319;263
18495;42477;158
18496;42616;139
18497;42792;176
18498;42825;33
18499;42936;111
18500;43067;131
18501;43270;203
18502;43451;181
18503;43626;175
18504;43750;124
18505;43781;31
18506;43878;97
18507;44075;197
18508;44271;196
18509;44461;190
18510;44649;188
18511;44783;134
18512;44845;62
18513;44953;108
18514;45152;199
18515;45326;174
18516;45503;177
18517;45675;172
18518;45862;187
18519;45969;107
18520;46119;150
18521;46376;257
