condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;1;1
18345;1;0
18346;2;1
18347;2;0
18348;2;0
18349;2;0
18350;2;0
18351;3;1
18352;3;0
18353;3;0
18354;3;0
18355;4;1
18356;4;0
18357;5;1
18358;7;2
18359;7;0
18360;8;1
18361;9;1
18362;10;1
18363;13;3
18364;14;1
18365;18;4
18366;18;0
18367;18;0
18368;18;0
18369;18;0
18370;18;0
18371;18;0
18372;18;0
18373;18;0
18374;18;0
18375;18;0
18376;18;0
18377;18;0
18378;18;0
18379;18;0
18380;18;0
18381;18;0
18382;18;0
18383;18;0
18384;18;0
18385;18;0
18386;18;0
18387;18;0
18388;18;0
18389;18;0
18390;18;0
18391;18;0
18392;18;0
18393;18;0
18394;18;0
18395;18;0
18396;18;0
18397;18;0
18398;18;0
18399;18;0
18400;18;0
18401;18;0
18402;18;0
18403;18;0
18404;18;0
18405;18;0
18406;18;0
18407;18;0
18408;18;0
18409;18;0
18410;18;0
18411;18;0
18412;18;0
18413;18;0
18414;18;0
18415;18;0
18416;18;0
18417;18;0
18418;19;1
18419;19;0
18420;19;0
18421;19;0
18422;20;1
18423;20;0
18424;20;0
18425;20;0
18426;20;0
18427;20;0
18428;21;1
18429;22;1
18430;22;0
18431;22;0
18432;22;0
18433;22;0
18434;22;0
18435;23;1
18436;23;0
18437;23;0
18438;23;0
18439;24;1
18440;24;0
18441;24;0
18442;24;0
18443;24;0
18444;28;4
18445;28;0
18446;30;2
18447;30;0
18448;30;0
18449;30;0
18450;30;0
18451;30;0
18452;30;0
18453;37;7
18454;37;0
18455;37;0
18456;37;0
18457;39;2
18458;39;0
18459;40;1
18460;40;0
18461;40;0
18462;40;0
18463;40;0
18464;42;2
18465;43;1
18466;47;4
18467;48;1
18468;48;0
18469;48;0
18470;48;0
18471;48;0
18472;48;0
18473;48;0
18474;48;0
18475;56;8
18476;57;1
18477;57;0
18478;57;0
18479;86;29
18480;114;28
18481;114;0
18482;146;32
18483;153;7
18484;177;24
18485;177;0
18486;210;33
18487;296;86
18488;356;60
18489;388;32
18490;452;64
18491;475;23
18492;475;0
18493;553;78
18494;605;52
18495;648;43
18496;668;20
18497;686;18
18498;713;27
18499;730;17
18500;760;30
18501;818;58
18502;870;52
18503;964;94
18504;993;29
18505;1007;14
18506;1050;43
18507;1101;51
18508;1101;0
18509;1152;51
18510;1194;42
18511;1194;0
18512;1307;113
18513;1361;54
18514;1365;4
18515;1365;0
18516;1435;70
18517;1458;23
18518;1480;22
18519;1501;21
18520;1528;27
18521;1536;8
18522;1567;31
18523;1590;23
18524;1606;16
18525;1627;21
18526;1635;8
18527;1635;0
18528;1706;71
18529;1706;0
18530;1808;102
18531;1825;17
18532;1825;0
18533;1891;66
18534;1891;0
18535;1992;101
18536;1992;0
18537;2080;88
18538;2080;0
18539;2131;51
