condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;2;2
18327;2;0
18328;3;1
18329;3;0
18330;3;0
18331;5;2
18332;7;2
18333;11;4
18334;13;2
18335;18;5
18336;24;6
18337;25;1
18338;26;1
18339;38;12
18340;63;25
18341;89;26
18342;93;4
18343;126;33
18344;136;10
18345;166;30
18346;176;10
18347;191;15
18348;237;46
18349;258;21
18350;323;65
18351;368;45
18352;420;52
18353;459;39
18354;533;74
18355;579;46
18356;624;45
18357;654;30
18358;674;20
18359;764;90
18360;804;40
18361;858;54
18362;901;43
18363;946;45
18364;1009;63
18365;1037;28
18366;1083;46
18367;1110;27
18368;1167;57
18369;1214;47
18370;1268;54
18371;1285;17
18372;1309;24
18373;1342;33
18374;1368;26
18375;1413;45
18376;1421;8
18377;1486;65
18378;1516;30
18379;1565;49
18380;1585;20
18381;1677;92
18382;1757;80
18383;1781;24
18384;1839;58
18385;1857;18
18386;1926;69
18387;1946;20
18388;1987;41
18389;2027;40
18390;2070;43
18391;2090;20
18392;2117;27
18393;2141;24
18394;2158;17
18395;2181;23
18396;2218;37
18397;2236;18
18398;2267;31
18399;2290;23
18400;2304;14
18401;2321;17
18402;2338;17
18403;2350;12
18404;2372;22
18405;2391;19
18406;2401;10
18407;2406;5
18408;2416;10
18409;2435;19
18410;2462;27
18411;2485;23
18412;2494;9
18413;2510;16
18414;2524;14
18415;2535;11
18416;2551;16
18417;2594;43
18418;2606;12
18419;2606;0
18420;2606;0
18421;2704;98
18422;2728;24
18423;2775;47
18424;2832;57
18425;2893;61
18426;2893;0
18427;2893;0
18428;3040;147
18429;3085;45
18430;3141;56
18431;3174;33
18432;3273;99
18433;3273;0
18434;3273;0
18435;3525;252
18436;3588;63
18437;3676;88
18438;3796;120
18439;3935;139
18440;3935;0
18441;3935;0
18442;4325;390
18443;4453;128
18444;4606;153
18445;4788;182
18446;4962;174
18447;4962;0
18448;4962;0
18449;5458;496
18450;5621;163
18451;5869;248
18452;6086;217
18453;6402;316
18454;6719;317
18455;6877;158
18456;6981;104
18457;6981;0
18458;7411;430
18459;7681;270
18460;7908;227
18461;8161;253
18462;8340;179
18463;8479;139
18464;8787;308
18465;9115;328
18466;9462;347
18467;9767;305
18468;9767;0
18469;9767;0
18470;10498;731
18471;10766;268
18472;11127;361
18473;11444;317
18474;11876;432
18475;11876;0
18476;12296;420
18477;12462;166
18478;12856;394
18479;13138;282
18480;13396;258
18481;13687;291
18482;13687;0
18483;13687;0
18484;14498;811
18485;14708;210
18486;14961;253
18487;15184;223
18488;15535;351
18489;15801;266
18490;15801;0
18491;16111;310
18492;16351;240
18493;16691;340
18494;17029;338
18495;17396;367
18496;17715;319
18497;17715;0
18498;18029;314
18499;18326;297
18500;18609;283
18501;18920;311
18502;19214;294
18503;19550;336
18504;19793;243
18505;19964;171
18506;20234;270
18507;20517;283
18508;20804;287
18509;21142;338
18510;21439;297
18511;21560;121
18512;21660;100
18513;21961;301
18514;22258;297
18515;22544;286
18516;22834;290
18517;23138;304
18518;23465;327
18519;23635;170
18520;23929;294
18521;24211;282
