condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;1;1
18289;1;0
18290;1;0
18291;1;0
18292;1;0
18293;1;0
18294;1;0
18295;1;0
18296;1;0
18297;1;0
18298;1;0
18299;1;0
18300;1;0
18301;1;0
18302;1;0
18303;1;0
18304;1;0
18305;1;0
18306;1;0
18307;1;0
18308;1;0
18309;1;0
18310;1;0
18311;1;0
18312;1;0
18313;1;0
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;2;1
18330;2;0
18331;2;0
18332;3;1
18333;3;0
18334;5;2
18335;7;2
18336;7;0
18337;7;0
18338;33;26
18339;35;2
18340;37;2
18341;51;14
18342;53;2
18343;84;31
18344;87;3
18345;91;4
18346;96;5
18347;96;0
18348;99;3
18349;99;0
18350;103;4
18351;107;4
18352;109;2
18353;109;0
18354;110;1
18355;114;4
18356;114;0
18357;114;0
18358;114;0
18359;115;1
18360;117;2
18361;119;2
18362;119;0
18363;120;1
18364;122;2
18365;122;0
18366;122;0
18367;122;0
18368;122;0
18369;122;0
18370;122;0
18371;122;0
18372;122;0
18373;122;0
18374;122;0
18375;122;0
18376;122;0
18377;122;0
18378;122;0
18379;122;0
18380;122;0
18381;122;0
18382;122;0
18383;122;0
18384;122;0
18385;122;0
18386;122;0
18387;122;0
18388;122;0
18389;122;0
18390;122;0
18391;122;0
18392;122;0
18393;122;0
18394;122;0
18395;122;0
18396;122;0
18397;122;0
18398;122;0
18399;122;0
18400;122;0
18401;122;0
18402;122;0
18403;123;1
18404;123;0
18405;124;1
18406;124;0
18407;124;0
18408;124;0
18409;124;0
18410;124;0
18411;124;0
18412;125;1
18413;125;0
18414;125;0
18415;125;0
18416;125;0
18417;125;0
18418;125;0
18419;125;0
18420;126;1
18421;126;0
18422;126;0
18423;126;0
18424;126;0
18425;126;0
18426;128;2
18427;128;0
18428;128;0
18429;128;0
18430;128;0
18431;129;1
18432;129;0
18433;129;0
18434;129;0
18435;130;1
18436;130;0
18437;130;0
18438;130;0
18439;139;9
18440;141;2
18441;141;0
18442;141;0
18443;141;0
18444;141;0
18445;141;0
18446;141;0
18447;141;0
18448;141;0
18449;141;0
18450;141;0
18451;141;0
18452;141;0
18453;141;0
18454;156;15
18455;156;0
18456;165;9
18457;165;0
18458;166;1
18459;171;5
18460;171;0
18461;171;0
18462;171;0
18463;171;0
18464;197;26
18465;198;1
18466;202;4
18467;202;0
18468;225;23
18469;225;0
18470;226;1
18471;226;0
18472;226;0
18473;234;8
18474;239;5
18475;240;1
18476;240;0
18477;240;0
18478;243;3
18479;243;0
18480;243;0
18481;246;3
18482;248;2
18483;251;3
18484;251;0
18485;268;17
18486;272;4
18487;273;1
18488;273;0
18489;273;0
18490;273;0
18491;273;0
18492;273;0
18493;273;0
18494;273;0
18495;273;0
18496;273;0
18497;273;0
18498;273;0
18499;273;0
18500;273;0
18501;273;0
18502;273;0
18503;273;0
18504;273;0
18505;274;1
18506;274;0
18507;274;0
18508;274;0
18509;274;0
18510;274;0
18511;274;0
18512;274;0
18513;274;0
18514;274;0
18515;274;0
18516;274;0
18517;275;1
18518;275;0
18519;275;0
18520;275;0
18521;275;0
18522;275;0
18523;275;0
18524;275;0
18525;275;0
18526;275;0
18527;275;0
18528;275;0
18529;275;0
18530;275;0
18531;276;1
18532;276;0
18533;277;1
18534;277;0
18535;277;0
18536;278;1
18537;278;0
18538;278;0
18539;278;0
18540;280;2
18541;280;0
18542;281;1
18543;281;0
18544;283;2
