condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;1;1
18328;1;0
18329;2;1
18330;2;0
18331;2;0
18332;2;0
18333;2;0
18334;2;0
18335;2;0
18336;2;0
18337;4;2
18338;10;6
18339;10;0
18340;13;3
18341;20;7
18342;27;7
18343;40;13
18344;56;16
18345;66;10
18346;75;9
18347;75;0
18348;91;16
18349;91;0
18350;139;48
18351;139;0
18352;193;54
18353;233;40
18354;306;73
18355;509;203
18356;555;46
18357;650;95
18358;658;8
18359;658;0
18360;730;72
18361;730;0
18362;820;90
18363;820;0
18364;820;0
18365;820;0
18366;848;28
18367;848;0
18368;996;148
18369;996;0
18370;1017;21
18371;1017;0
18372;1163;146
18373;1163;0
18374;1163;0
18375;1334;171
18376;1430;96
18377;1518;88
18378;1621;103
18379;1705;84
18380;1705;0
18381;1832;127
18382;1832;0
18383;1832;0
18384;2077;245
18385;2077;0
18386;2104;27
18387;2104;0
18388;2265;161
18389;2267;2
18390;2267;0
18391;2274;7
18392;2579;305
18393;2689;110
18394;2689;0
18395;2800;111
18396;2954;154
18397;3105;151
18398;3105;0
18399;3105;0
18400;3529;424
18401;3529;0
18402;3733;204
18403;4288;555
18404;4400;112
18405;4400;0
18406;4890;490
18407;4890;0
18408;5436;546
18409;5436;0
18410;5436;0
18411;5436;0
18412;5904;468
18413;5904;0
18414;6397;493
18415;6585;188
18416;6585;0
18417;6789;204
18418;7392;603
18419;7599;207
18420;7908;309
18421;8060;152
18422;8312;252
18423;8681;369
18424;8681;0
18425;8681;0
18426;8681;0
18427;8681;0
18428;9864;1183
18429;9864;0
18430;9864;0
18431;9864;0
18432;10638;774
18433;11610;972
18434;11892;282
18435;12041;149
18436;12270;229
18437;12592;322
18438;12592;0
18439;12592;0
18440;12592;0
18441;12592;0
18442;12592;0
18443;12592;0
18444;12592;0
18445;12592;0
18446;12592;0
18447;12592;0
18448;12592;0
18449;12592;0
18450;14916;2324
18451;14916;0
18452;14916;0
18453;14916;0
18454;15173;257
18455;15173;0
18456;15173;0
18457;15173;0
18458;15173;0
18459;16157;984
18460;16157;0
18461;16157;0
18462;16157;0
18463;16157;0
18464;16522;365
18465;16522;0
18466;16522;0
18467;16708;186
18468;16708;0
18469;16708;0
18470;17110;402
18471;17179;69
18472;17255;76
18473;17255;0
18474;17255;0
18475;17255;0
18476;17255;0
18477;17255;0
18478;17718;463
18479;17718;0
18480;17718;0
18481;17718;0
18482;18042;324
18483;18042;0
18484;18042;0
18485;18213;171
18486;18263;50
18487;18308;45
18488;18469;161
18489;18469;0
18490;18469;0
18491;18582;113
18492;18599;17
18493;18624;25
18494;18762;138
18495;18762;0
18496;18762;0
18497;18762;0
18498;18762;0
18499;18973;211
18500;18973;0
18501;19142;169
18502;19142;0
18503;19142;0
18504;19142;0
18505;19142;0
18506;19409;267
18507;19460;51
18508;19604;144
18509;19604;0
18510;19604;0
18511;19604;0
18512;19604;0
18513;19848;244
18514;19848;0
18515;20009;161
18516;20009;0
18517;20009;0
18518;20167;158
18519;20228;61
18520;20271;43
18521;20303;32
18522;20303;0
