condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;1;1
18288;1;0
18289;2;1
18290;2;0
18291;2;0
18292;4;2
18293;4;0
18294;4;0
18295;4;0
18296;4;0
18297;5;1
18298;5;0
18299;7;2
18300;7;0
18301;7;0
18302;7;0
18303;7;0
18304;7;0
18305;7;0
18306;7;0
18307;7;0
18308;7;0
18309;8;1
18310;8;0
18311;8;0
18312;8;0
18313;9;1
18314;9;0
18315;9;0
18316;10;1
18317;11;1
18318;11;0
18319;13;2
18320;14;1
18321;20;6
18322;24;4
18323;27;3
18324;30;3
18325;33;3
18326;37;4
18327;49;12
18328;54;5
18329;64;10
18330;77;13
18331;79;2
18332;108;29
18333;117;9
18334;193;76
18335;198;5
18336;252;54
18337;415;163
18338;478;63
18339;657;179
18340;800;143
18341;943;143
18342;1277;334
18343;1469;192
18344;2088;619
18345;2790;702
18346;3251;461
18347;4042;791
18348;4682;640
18349;5576;894
18350;6280;704
18351;7398;1118
18352;8527;1129
18353;9560;1033
18354;11284;1724
18355;12437;1153
18356;12978;541
18357;15756;2778
18358;16563;807
18359;17872;1309
18360;19141;1269
18361;20654;1513
18362;22059;1405
18363;23316;1257
18364;24299;983
18365;25680;1381
18366;27035;1355
18367;28209;1174
18368;30809;2600
18369;32814;2005
18370;34356;1542
18371;35633;1277
18372;37658;2025
18373;39402;1744
18374;41663;2261
18375;43299;1636
18376;44919;1620
18377;46371;1452
18378;48033;1662
18379;49616;1583
18380;51150;1534
18381;52865;1715
18382;54457;1592
18383;56343;1886
18384;57926;1583
18385;60504;2578
18386;61957;1453
18387;63215;1258
18388;64694;1479
18389;66201;1507
18390;67674;1473
18391;68918;1244
18392;70091;1173
18393;71264;1173
18394;72419;1155
18395;73568;1149
18396;74781;1213
18397;75959;1178
18398;77206;1247
18399;78332;1126
18400;79411;1079
18401;80493;1082
18402;81575;1082
18403;82742;1167
18404;83947;1205
18405;85151;1204
18406;86106;955
18407;87119;1013
18408;88090;971
18409;88989;899
18410;89976;987
18411;90909;933
18412;91681;772
18413;92479;798
18414;93288;809
18415;93960;672
18416;94641;681
18417;95269;628
18418;95947;678
18419;96475;528
18420;97178;703
18421;97779;601
18422;98241;462
18423;98720;479
18424;99159;439
18425;99595;436
18426;100043;448
18427;100404;361
18428;100763;359
18429;101087;324
18430;101491;404
18431;101877;386
18432;102314;437
18433;102762;448
18434;103078;316
18435;103418;340
18436;103767;349
18437;104087;320
18438;104463;376
18439;104629;166
18440;104878;249
18441;105193;315
18442;105830;637
18443;106097;267
18444;106288;191
18445;106643;355
18446;106962;319
18447;107185;223
18448;107394;209
18449;107815;421
18450;108023;208
18451;108334;311
18452;108656;322
18453;108984;328
18454;109150;166
18455;109348;198
18456;109984;636
18457;110350;366
18458;110693;343
18459;111144;451
18460;111559;415
18461;111875;316
18462;112168;293
18463;112938;770
18464;113473;535
18465;113790;317
18466;114398;608
18467;115115;717
18468;115470;355
18469;115789;319
18470;116471;682
18471;116871;400
18472;117357;486
18473;117677;320
18474;118281;604
18475;118523;242
18476;118768;245
18477;118973;205
18478;119659;686
18479;120033;374
18480;120387;354
18481;120903;516
18482;121148;245
18483;121367;219
18484;122053;686
18485;122389;336
18486;122703;314
18487;123180;477
18488;123605;425
18489;123825;220
18490;124004;179
18491;124218;214
18492;125084;866
18493;125408;324
18494;125625;217
18495;126319;694
18496;126560;241
18497;126817;257
18498;127594;777
18499;127903;309
18500;128380;477
18501;128836;456
18502;129342;506
18503;129639;297
18504;129888;249
18505;130918;1030
18506;131422;504
18507;131941;519
18508;132527;586
18509;133141;614
18510;133511;370
18511;133890;379
18512;134295;405
