condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;0;0
18355;0;0
18356;0;0
18357;0;0
18358;0;0
18359;0;0
18360;0;0
18361;0;0
18362;0;0
18363;0;0
18364;0;0
18365;0;0
18366;0;0
18367;0;0
18368;0;0
18369;0;0
18370;0;0
18371;0;0
18372;0;0
18373;0;0
18374;0;0
18375;0;0
18376;0;0
18377;0;0
18378;0;0
18379;0;0
18380;0;0
18381;0;0
18382;1;1
18383;1;0
18384;3;2
18385;3;0
18386;3;0
18387;3;0
18388;8;5
18389;8;0
18390;8;0
18391;11;3
18392;11;0
18393;11;0
18394;11;0
18395;11;0
18396;11;0
18397;11;0
18398;11;0
18399;11;0
18400;11;0
18401;11;0
18402;34;23
18403;34;0
18404;78;44
18405;78;0
18406;87;9
18407;87;0
18408;87;0
18409;87;0
18410;87;0
18411;87;0
18412;106;19
18413;106;0
18414;106;0
18415;132;26
18416;132;0
18417;132;0
18418;132;0
18419;141;9
18420;141;0
18421;141;0
18422;141;0
18423;162;21
18424;162;0
18425;163;1
18426;176;13
18427;176;0
18428;176;0
18429;197;21
18430;197;0
18431;210;13
18432;210;0
18433;247;37
18434;247;0
18435;247;0
18436;265;18
18437;265;0
18438;272;7
18439;272;0
18440;272;0
18441;272;0
18442;272;0
18443;303;31
18444;303;0
18445;303;0
18446;309;6
18447;309;0
18448;311;2
18449;311;0
18450;311;0
18451;313;2
18452;314;1
18453;314;0
18454;317;3
18455;317;0
18456;317;0
18457;321;4
18458;321;0
18459;328;7
18460;328;0
18461;328;0
18462;334;6
18463;334;0
18464;337;3
18465;337;0
18466;340;3
18467;340;0
18468;340;0
18469;354;14
18470;354;0
18471;354;0
18472;378;24
18473;378;0
18474;378;0
18475;386;8
18476;386;0
18477;386;0
18478;388;2
18479;388;0
18480;396;8
18481;396;0
18482;399;3
18483;399;0
18484;399;0
18485;399;0
18486;399;0
18487;399;0
18488;403;4
18489;403;0
18490;405;2
18491;405;0
18492;406;1
18493;406;0
18494;417;11
18495;417;0
18496;417;0
18497;417;0
18498;417;0
18499;417;0
18500;417;0
18501;422;5
18502;422;0
18503;423;1
18504;423;0
18505;423;0
18506;427;4
18507;427;0
18508;448;21
18509;448;0
18510;452;4
18511;452;0
18512;452;0
18513;456;4
18514;456;0
18515;456;0
18516;456;0
18517;456;0
18518;456;0
18519;457;1
18520;467;10
18521;467;0
18522;470;3
18523;470;0
18524;470;0
18525;470;0
18526;470;0
18527;470;0
18528;470;0
18529;474;4
18530;474;0
18531;478;4
18532;478;0
18533;478;0
18534;479;1
18535;479;0
18536;484;5
18537;484;0
18538;487;3
18539;487;0
18540;487;0
18541;491;4
18542;491;0
18543;495;4
18544;495;0
