condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;1;1
18337;1;0
18338;1;0
18339;1;0
18340;3;2
18341;3;0
18342;3;0
18343;3;0
18344;4;1
18345;4;0
18346;4;0
18347;4;0
18348;4;0
18349;4;0
18350;19;15
18351;19;0
18352;19;0
18353;19;0
18354;22;3
18355;22;0
18356;22;0
18357;45;23
18358;45;0
18359;45;0
18360;45;0
18361;60;15
18362;60;0
18363;60;0
18364;60;0
18365;60;0
18366;60;0
18367;117;57
18368;117;0
18369;143;26
18370;143;0
18371;143;0
18372;160;17
18373;165;5
18374;186;21
18375;186;0
18376;200;14
18377;200;0
18378;200;0
18379;200;0
18380;207;7
18381;207;0
18382;220;13
18383;229;9
18384;229;0
18385;229;0
18386;236;7
18387;236;0
18388;264;28
18389;264;0
18390;274;10
18391;274;0
18392;274;0
18393;333;59
18394;333;0
18395;333;0
18396;391;58
18397;391;0
18398;391;0
18399;391;0
18400;412;21
18401;420;8
18402;420;0
18403;469;49
18404;469;0
18405;487;18
18406;487;0
18407;487;0
18408;487;0
18409;571;84
18410;571;0
18411;571;0
18412;571;0
18413;611;40
18414;611;0
18415;611;0
18416;611;0
18417;611;0
18418;635;24
18419;683;48
18420;683;0
18421;683;0
18422;728;45
18423;728;0
18424;728;0
18425;728;0
18426;728;0
18427;728;0
18428;883;155
18429;883;0
18430;883;0
18431;883;0
18432;883;0
18433;883;0
18434;883;0
18435;1087;204
18436;1087;0
18437;1087;0
18438;1087;0
18439;1087;0
18440;1087;0
18441;1087;0
18442;1087;0
18443;1087;0
18444;1382;295
18445;1382;0
18446;1557;175
18447;1557;0
18448;1557;0
18449;1557;0
18450;1557;0
18451;1821;264
18452;1821;0
18453;2028;207
18454;2028;0
18455;2028;0
18456;2028;0
18457;2028;0
18458;2222;194
18459;2358;136
18460;2633;275
18461;2633;0
18462;2633;0
18463;2851;218
18464;2851;0
18465;2851;0
18466;2851;0
18467;3038;187
18468;3038;0
18469;3038;0
18470;3200;162
18471;3200;0
18472;3200;0
18473;3200;0
18474;3200;0
18475;3200;0
18476;3200;0
18477;3546;346
18478;3546;0
18479;3546;0
18480;3546;0
18481;3637;91
18482;3664;27
18483;3664;0
18484;3664;0
18485;3745;81
18486;3745;0
18487;3745;0
18488;3745;0
18489;3745;0
18490;3831;86
18491;3831;0
18492;3831;0
18493;3850;19
18494;3850;0
18495;3850;0
18496;3850;0
18497;3850;0
18498;3979;129
18499;3979;0
18500;3979;0
18501;3979;0
18502;3979;0
18503;3979;0
18504;3979;0
18505;3979;0
18506;3979;0
18507;4628;649
18508;4628;0
18509;4628;0
18510;4628;0
18511;4628;0
18512;4891;263
18513;4891;0
18514;4891;0
18515;4891;0
18516;4928;37
18517;4928;0
18518;4928;0
18519;4934;6
18520;4934;0
18521;4934;0
18522;4934;0
18523;4980;46
18524;4986;6
18525;4986;0
18526;5002;16
18527;5002;0
18528;5005;3
18529;5005;0
18530;5005;0
