condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;1;1
18333;1;0
18334;2;1
18335;2;0
18336;2;0
18337;2;0
18338;3;1
18339;4;1
18340;14;10
18341;18;4
18342;23;5
18343;30;7
18344;36;6
18345;45;9
18346;48;3
18347;51;3
18348;51;0
18349;65;14
18350;65;0
18351;81;16
18352;98;17
18353;109;11
18354;134;25
18355;134;0
18356;154;20
18357;154;0
18358;161;7
18359;180;19
18360;180;0
18361;180;0
18362;215;35
18363;223;8
18364;234;11
18365;235;1
18366;241;6
18367;254;13
18368;267;13
18369;287;20
18370;307;20
18371;327;20
18372;332;5
18373;350;18
18374;359;9
18375;377;18
18376;394;17
18377;416;22
18378;442;26
18379;459;17
18380;471;12
18381;491;20
18382;572;81
18383;604;32
18384;674;70
18385;674;0
18386;682;8
18387;705;23
18388;797;92
18389;863;66
18390;937;74
18391;937;0
18392;991;54
18393;1024;33
18394;1102;78
18395;1169;67
18396;1242;73
18397;1298;56
18398;1455;157
18399;1455;0
18400;1538;83
18401;1629;91
18402;1731;102
18403;1835;104
18404;1945;110
18405;2025;80
18406;2141;116
18407;2297;156
18408;2403;106
18409;2546;143
18410;2660;114
18411;2833;173
18412;2966;133
18413;3070;104
18414;3195;125
18415;3326;131
18416;3495;169
18417;3644;149
18418;3764;120
18419;3878;114
18420;4016;138
18421;4106;90
18422;4259;153
18423;4390;131
18424;4515;125
18425;4637;122
18426;4724;87
18427;4778;54
18428;4837;59
18429;4974;137
18430;5100;126
18431;5283;183
18432;5477;194
18433;5672;195
18434;5826;154
18435;5924;98
18436;6027;103
18437;6213;186
18438;6411;198
18439;6552;141
18440;6690;138
18441;6827;137
18442;6939;112
18443;7039;100
18444;7122;83
18445;7189;67
18446;7311;122
18447;7379;68
18448;7411;32
18449;7432;21
18450;7432;0
18451;7432;0
18452;7846;414
18453;7905;59
18454;7971;66
18455;8033;62
18456;8075;42
18457;8135;60
18458;8163;28
18459;8199;36
18460;8249;50
18461;8324;75
18462;8403;79
18463;8443;40
18464;8534;91
18465;8626;92
18466;8720;94
18467;8767;47
18468;8801;34
18469;8831;30
18470;8844;13
18471;8873;29
18472;8931;58
18473;9010;79
18474;9070;60
18475;9084;14
18476;9115;31
18477;9133;18
18478;9178;45
18479;9253;75
18480;9309;56
18481;9355;46
18482;9436;81
18483;9454;18
18484;9489;35
18485;9499;10
18486;9538;39
18487;9589;51
18488;9605;16
18489;9638;33
18490;9676;38
18491;9706;30
18492;9721;15
18493;9741;20
18494;9757;16
18495;9802;45
18496;9811;9
18497;9830;19
18498;9842;12
18499;9891;49
18500;9912;21
18501;9915;3
18502;9994;79
18503;10007;13
18504;10045;38
18505;10097;52
18506;10104;7
18507;10114;10
18508;10125;11
18509;10149;24
18510;10178;29
18511;10210;32
18512;10233;23
18513;10292;59
18514;10324;32
18515;10343;19
18516;10361;18
18517;10385;24
18518;10390;5
18519;10390;0
18520;10401;11
18521;10414;13
18522;10442;28
18523;10456;14
18524;10488;32
18525;10515;27
