condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;1;1
18333;1;0
18334;1;0
18335;1;0
18336;1;0
18337;1;0
18338;5;4
18339;6;1
18340;9;3
18341;9;0
18342;14;5
18343;14;0
18344;25;11
18345;73;48
18346;80;7
18347;96;16
18348;101;5
18349;101;0
18350;165;64
18351;168;3
18352;179;11
18353;190;11
18354;194;4
18355;218;24
18356;245;27
18357;261;16
18358;323;62
18359;349;26
18360;384;35
18361;444;60
18362;444;0
18363;533;89
18364;574;41
18365;626;52
18366;638;12
18367;638;0
18368;654;16
18369;688;34
18370;801;113
18371;847;46
18372;847;0
18373;916;69
18374;952;36
18375;1004;52
18376;1077;73
18377;1077;0
18378;1150;73
18379;1164;14
18380;1183;19
18381;1238;55
18382;1275;37
18383;1333;58
18384;1362;29
18385;1398;36
18386;1432;34
18387;1464;32
18388;1516;52
18389;1571;55
18390;1602;31
18391;1667;65
18392;1700;33
18393;1730;30
18394;1857;127
18395;1912;55
18396;1971;59
18397;2017;46
18398;2061;44
18399;2109;48
18400;2119;10
18401;2153;34
18402;2231;78
18403;2301;70
18404;2341;40
18405;2366;25
18406;2376;10
18407;2423;47
18408;2477;54
18409;2556;79
18410;2641;85
18411;2750;109
18412;2799;49
18413;2833;34
18414;2951;118
18415;3024;73
18416;3110;86
18417;3262;152
18418;3431;169
18419;3557;126
18420;3739;182
18421;3881;142
18422;3995;114
18423;4181;186
18424;4404;223
18425;4684;280
18426;4848;164
18427;5084;236
18428;5439;355
18429;5679;240
18430;6063;384
18431;6444;381
18432;6874;430
18433;7276;402
18434;7492;216
18435;7677;185
18436;7904;227
18437;8164;260
18438;8334;170
18439;8739;405
18440;8944;205
18441;9101;157
18442;9214;113
18443;9499;285
18444;9702;203
18445;9992;290
18446;10244;252
18447;10462;218
18448;10772;310
18449;10966;194
18450;11194;228
18451;11504;310
18452;11750;246
18453;12052;302
18454;12443;391
18455;12766;323
18456;12872;106
18457;13037;165
18458;13403;366
18459;13554;151
18460;13696;142
18461;13912;216
18462;14119;207
18463;14312;193
18464;14531;219
18465;14733;202
18466;15001;268
18467;15253;252
18468;15494;241
18469;15596;102
18470;15655;59
18471;15713;58
18472;15813;100
18473;15978;165
18474;16047;69
18475;16109;62
18476;16182;73
18477;16220;38
18478;16293;73
18479;16349;56
18480;16447;98
18481;16524;77
18482;16620;96
18483;16715;95
18484;16798;83
18485;16847;49
18486;16847;0
18487;16889;42
18488;16935;46
18489;16993;58
18490;17026;33
18491;17107;81
18492;17150;43
18493;17232;82
18494;17249;17
18495;17310;61
18496;17374;64
18497;17471;97
18498;17506;35
18499;17562;56
18500;17603;41
18501;17702;99
18502;17797;95
18503;17893;96
18504;17948;55
18505;18067;119
18506;18103;36
18507;18161;58
18508;18208;47
18509;18269;61
18510;18472;203
18511;18588;116
18512;18701;113
18513;18778;77
18514;18815;37
18515;18869;54
18516;18916;47
18517;18916;0
18518;19013;97
18519;19066;53
18520;19100;34
18521;19132;32
18522;19158;26
18523;19200;42
