condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;1;1
18318;3;2
18319;3;0
18320;5;2
18321;6;1
18322;7;1
18323;7;0
18324;9;2
18325;10;1
18326;10;0
18327;11;1
18328;12;1
18329;12;0
18330;12;0
18331;14;2
18332;19;5
18333;19;0
18334;32;13
18335;38;6
18336;49;11
18337;57;8
18338;65;8
18339;81;16
18340;105;24
18341;128;23
18342;206;78
18343;254;48
18344;315;61
18345;382;67
18346;442;60
18347;495;53
18348;586;91
18349;657;71
18350;713;56
18351;790;77
18352;867;77
18353;963;96
18354;1011;48
18355;1079;68
18356;1126;47
18357;1182;56
18358;1222;40
18359;1282;60
18360;1343;61
18361;1407;64
18362;1495;88
18363;1534;39
18364;1600;66
18365;1650;50
18366;1704;54
18367;1741;37
18368;1791;50
18369;1814;23
18370;1832;18
18371;1871;39
18372;1881;10
18373;1908;27
18374;1950;42
18375;1981;31
18376;2009;28
18377;2016;7
18378;2030;14
18379;2039;9
18380;2047;8
18381;2062;15
18382;2076;14
18383;2085;9
18384;2088;3
18385;2096;8
18386;2101;5
18387;2112;11
18388;2119;7
18389;2125;6
18390;2161;36
18391;2176;15
18392;2187;11
18393;2196;9
18394;2207;11
18395;2213;6
18396;2221;8
18397;2222;1
18398;2224;2
18399;2226;2
18400;2228;2
18401;2232;4
18402;2234;2
18403;2237;3
18404;2243;6
18405;2243;0
18406;2244;1
18407;2244;0
18408;2244;0
18409;2244;0
18410;2245;1
18411;2245;0
18412;2246;1
18413;2246;0
18414;2246;0
18415;2246;0
18416;2246;0
18417;2247;1
18418;2247;0
18419;2247;0
18420;2247;0
18421;2247;0
18422;2247;0
18423;2249;2
18424;2249;0
18425;2249;0
18426;2251;2
18427;2252;1
18428;2254;2
18429;2255;1
18430;2258;3
18431;2269;11
18432;2280;11
18433;2299;19
18434;2317;18
18435;2336;19
18436;2366;30
18437;2388;22
18438;2483;95
18439;2539;56
18440;2624;85
18441;2691;67
18442;2725;34
18443;2777;52
18444;2831;54
18445;2912;81
18446;3008;96
18447;3094;86
18448;3151;57
18449;3220;69
18450;3272;52
18451;3325;53
18452;3416;91
18453;3532;116
18454;3672;140
18455;3722;50
18456;3775;53
18457;3827;52
18458;3953;126
18459;4039;86
18460;4137;98
18461;4253;116
18462;4345;92
18463;4370;25
18464;4422;52
18465;4530;108
18466;4634;104
18467;4715;81
18468;4792;77
18469;4857;65
18470;4881;24
18471;4923;42
18472;4993;70
18473;5071;78
18474;5139;68
18475;5224;85
18476;5260;36
18477;5294;34
18478;5318;24
18479;5376;58
18480;5404;28
18481;5466;62
18482;5543;77
18483;5604;61
18484;5649;45
18485;5740;91
18486;5870;130
18487;6050;180
18488;6258;208
18489;6420;162
18490;6571;151
18491;6656;85
18492;6855;199
18493;7074;219
18494;7329;255
18495;7594;265
18496;7900;306
18497;8175;275
18498;8311;136
18499;8530;219
18500;8888;358
18501;9192;304
18502;9549;357
18503;9861;312
18504;10123;262
18505;10269;146
18506;10414;145
18507;10725;311
18508;11094;369
18509;11428;334
18510;11739;311
18511;11964;225
18512;12081;117
18513;12285;204
18514;12626;341
18515;12917;291
18516;13107;190
18517;13368;261
18518;13533;165
18519;13598;65
18520;13749;151
