condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;2;2
18331;3;1
18332;6;3
18333;6;0
18334;14;8
18335;26;12
18336;26;0
18337;33;7
18338;46;13
18339;49;3
18340;67;18
18341;67;0
18342;84;17
18343;95;11
18344;116;21
18345;124;8
18346;132;8
18347;146;14
18348;162;16
18349;179;17
18350;214;35
18351;230;16
18352;262;32
18353;320;58
18354;356;36
18355;396;40
18356;426;30
18357;446;20
18358;465;19
18359;494;29
18360;526;32
18361;564;38
18362;595;31
18363;616;21
18364;633;17
18365;662;29
18366;695;33
18367;715;20
18368;735;20
18369;750;15
18370;761;11
18371;767;6
18372;772;5
18373;784;12
18374;790;6
18375;795;5
18376;804;9
18377;810;6
18378;817;7
18379;822;5
18380;837;15
18381;843;6
18382;850;7
18383;857;7
18384;864;7
18385;872;8
18386;874;2
18387;878;4
18388;883;5
18389;889;6
18390;891;2
18391;892;1
18392;898;6
18393;901;3
18394;903;2
18395;905;2
18396;907;2
18397;910;3
18398;914;4
18399;916;2
18400;917;1
18401;918;1
18402;922;4
18403;923;1
18404;927;4
18405;927;0
18406;935;8
18407;937;2
18408;939;2
18409;939;0
18410;941;2
18411;942;1
18412;944;2
18413;944;0
18414;949;5
18415;952;3
18416;958;6
18417;958;0
18418;960;2
18419;960;0
18420;964;4
18421;970;6
18422;972;2
18423;974;2
18424;975;1
18425;980;5
18426;980;0
18427;983;3
18428;985;2
18429;985;0
18430;985;0
18431;985;0
18432;985;0
18433;985;0
18434;986;1
18435;988;2
18436;990;2
18437;991;1
18438;992;1
18439;992;0
18440;994;2
18441;994;0
18442;996;2
18443;998;2
18444;999;1
18445;999;0
18446;999;0
18447;1002;3
18448;1003;1
18449;1004;1
18450;1005;1
18451;1008;3
18452;1010;2
18453;1013;3
18454;1014;1
18455;1021;7
18456;1022;1
18457;1023;1
18458;1025;2
18459;1031;6
18460;1033;2
18461;1037;4
18462;1038;1
18463;1038;0
18464;1040;2
18465;1040;0
18466;1045;5
18467;1047;2
18468;1053;6
18469;1057;4
18470;1060;3
18471;1067;7
18472;1080;13
18473;1090;10
18474;1114;24
18475;1124;10
18476;1150;26
18477;1155;5
18478;1180;25
18479;1195;15
18480;1208;13
18481;1222;14
18482;1233;11
18483;1242;9
18484;1252;10
18485;1277;25
18486;1291;14
18487;1305;14
18488;1318;13
18489;1332;14
18490;1339;7
18491;1351;12
18492;1359;8
18493;1385;26
18494;1395;10
18495;1406;11
18496;1417;11
18497;1421;4
18498;1451;30
18499;1474;23
18500;1484;10
18501;1467;-17
18502;1481;14
18503;1483;2
18504;1487;4
18505;1488;1
18506;1490;2
18507;1495;5
18508;1498;3
18509;1502;4
18510;1507;5
18511;1509;2
18512;1510;1
18513;1511;1
18514;1514;3
18515;1517;3
18516;1520;3
18517;1523;3
18518;1526;3
18519;1534;8
18520;1540;6
18521;1548;8
18522;1558;10
18523;1565;7
18524;1590;25
18525;1600;10
18526;1603;3
18527;1618;15
18528;1654;36
18529;1663;9
18530;1671;8
18531;1684;13
18532;1696;12
