condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;1;1
18341;1;0
18342;3;2
18343;3;0
18344;3;0
18345;5;2
18346;9;4
18347;13;4
18348;13;0
18349;19;6
18350;24;5
18351;30;6
18352;32;2
18353;32;0
18354;41;9
18355;46;5
18356;56;10
18357;62;6
18358;69;7
18359;78;9
18360;93;15
18361;103;10
18362;117;14
18363;118;1
18364;125;7
18365;137;12
18366;149;12
18367;159;10
18368;164;5
18369;177;13
18370;190;13
18371;201;11
18372;218;17
18373;225;7
18374;237;12
18375;250;13
18376;274;24
18377;274;0
18378;298;24
18379;323;25
18380;345;22
18381;377;32
18382;395;18
18383;424;29
18384;446;22
18385;490;44
18386;555;65
18387;587;32
18388;633;46
18389;695;62
18390;742;47
18391;784;42
18392;889;105
18393;958;69
18394;998;40
18395;1037;39
18396;1112;75
18397;1210;98
18398;1265;55
18399;1338;73
18400;1413;75
18401;1498;85
18402;1571;73
18403;1640;69
18404;1725;85
18405;1819;94
18406;1915;96
18407;1983;68
18408;2042;59
18409;2109;67
18410;2194;85
18411;2278;84
18412;2395;117
18413;2517;122
18414;2582;65
18415;2653;71
18416;2705;52
18417;2781;76
18418;2849;68
18419;2934;85
18420;3015;81
18421;3104;89
18422;3191;87
18423;3274;83
18424;3373;99
18425;3481;108
18426;3603;122
18427;3720;117
18428;3826;106
18429;3941;115
18430;4066;125
18431;4200;134
18432;4329;129
18433;4475;146
18434;4626;151
18435;4808;182
18436;4973;165
18437;5150;177
18438;5336;186
18439;5517;181
18440;5727;210
18441;5934;207
18442;6173;239
18443;6438;265
18444;6736;298
18445;7000;264
18446;7267;267
18447;7507;240
18448;7777;270
18449;8027;250
18450;8307;280
18451;8566;259
18452;8844;278
18453;9142;298
18454;9391;249
18455;9674;283
18456;9978;304
18457;10303;325
18458;10645;342
18459;10957;312
18460;11207;250
18461;11508;301
18462;11846;338
18463;12207;361
18464;12582;375
18465;12975;393
18466;13377;402
18467;13792;415
18468;14221;429
18469;14630;409
18470;15035;405
18471;15446;411
18472;15841;395
18473;16230;389
18474;16632;402
18475;17050;418
18476;17448;398
18477;17843;395
18478;18262;419
18479;18701;439
18480;19126;425
18481;19544;418
18482;19978;434
18483;20423;445
18484;20872;449
18485;21269;397
18486;21644;375
18487;21993;349
18488;22314;321
18489;22619;305
18490;22912;293
18491;23193;281
18492;23462;269
18493;23717;255
18494;23964;247
18495;24200;236
18496;24420;220
18497;24622;202
18498;24811;189
18499;24986;175
18500;25140;154
18501;25284;144
18502;25415;131
18503;25537;122
18504;25635;98
18505;25729;94
18506;25820;91
18507;25904;84
18508;26000;96
18509;26099;99
18510;26206;107
18511;26308;102
18512;26413;105
18513;26511;98
18514;26602;91
18515;26688;86
18516;26773;85
18517;26851;78
18518;26928;77
18519;27009;81
18520;27088;79
18521;27163;75
18522;27249;86
18523;27346;97
18524;27428;82
18525;27553;125
