condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;1;1
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;2;1
18325;2;0
18326;3;1
18327;10;7
18328;10;0
18329;10;0
18330;10;0
18331;12;2
18332;16;4
18333;16;0
18334;79;63
18335;115;36
18336;171;56
18337;205;34
18338;225;20
18339;258;33
18340;267;9
18341;283;16
18342;306;23
18343;326;20
18344;352;26
18345;369;17
18346;404;35
18347;538;134
18348;575;37
18349;645;70
18350;679;34
18351;715;36
18352;745;30
18353;779;34
18354;858;79
18355;961;103
18356;1039;78
18357;1097;58
18358;1108;11
18359;1149;41
18360;1185;36
18361;1207;22
18362;1258;51
18363;1304;46
18364;1309;5
18365;1332;23
18366;1373;41
18367;1400;27
18368;1434;34
18369;1459;25
18370;1512;53
18371;1528;16
18372;1535;7
18373;1552;17
18374;1559;7
18375;1592;33
18376;1605;13
18377;1635;30
18378;1643;8
18379;1647;4
18380;1660;13
18381;1666;6
18382;1689;23
18383;1694;5
18384;1699;5
18385;1700;1
18386;1703;3
18387;1711;8
18388;1713;2
18389;1720;7
18390;1725;5
18391;1733;8
18392;1739;6
18393;1741;2
18394;1746;5
18395;1751;5
18396;1758;7
18397;1766;8
18398;1770;4
18399;1774;4
18400;1784;10
18401;1791;7
18402;1794;3
18403;1800;6
18404;1807;7
18405;1821;14
18406;1823;2
18407;1824;1
18408;1834;10
18409;1840;6
18410;1851;11
18411;1859;8
18412;1865;6
18413;1869;4
18414;1870;1
18415;1870;0
18416;1880;10
18417;1890;10
18418;1910;20
18419;1931;21
18420;1939;8
18421;1940;1
18422;1947;7
18423;1958;11
18424;1965;7
18425;1970;5
18426;1973;3
18427;1973;0
18428;1974;1
18429;1975;1
18430;1977;2
18431;1977;0
18432;1979;2
18433;1981;2
18434;1981;0
18435;1981;0
18436;1982;1
18437;1983;1
18438;1984;1
18439;1986;2
18440;1986;0
18441;1987;1
18442;1987;0
18443;1989;2
18444;1989;0
18445;1990;1
18446;1991;1
18447;1993;2
18448;1993;0
18449;1994;1
18450;1995;1
18451;2003;8
18452;2011;8
18453;2013;2
18454;2014;1
18455;2014;0
18456;2014;0
18457;2015;1
18458;2016;1
18459;2016;0
18460;2020;4
18461;2021;1
18462;2021;0
18463;2021;0
18464;2022;1
18465;2025;3
18466;2027;2
18467;2028;1
18468;2033;5
18469;2034;1
18470;2034;0
18471;2038;4
18472;2042;4
18473;2051;9
18474;2064;13
18475;2072;8
18476;2079;7
18477;2080;1
18478;2091;11
18479;2113;22
18480;2124;11
18481;2133;9
18482;2147;14
18483;2152;5
18484;2158;6
18485;2167;9
18486;2174;7
18487;2174;0
18488;2177;3
18489;2184;7
18490;2190;6
18491;2192;2
18492;2200;8
18493;2207;7
18494;2227;20
18495;2244;17
18496;2265;21
18497;2272;7
18498;2275;3
18499;2294;19
18500;2311;17
18501;2325;14
18502;2343;18
18503;2363;20
18504;2373;10
18505;2375;2
18506;2395;20
18507;2415;20
18508;2441;26
18509;2456;15
18510;2491;35
18511;2516;25
18512;2532;16
18513;2564;32
18514;2585;21
18515;2600;15
18516;2632;32
18517;2655;23
18518;2676;21
18519;2698;22
18520;2722;24
