condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;1;1
18335;1;0
18336;1;0
18337;5;4
18338;5;0
18339;6;1
18340;6;0
18341;9;3
18342;9;0
18343;11;2
18344;11;0
18345;12;1
18346;12;0
18347;12;0
18348;16;4
18349;16;0
18350;21;5
18351;23;2
18352;26;3
18353;29;3
18354;29;0
18355;35;6
18356;38;3
18357;43;5
18358;44;1
18359;52;8
18360;55;3
18361;56;1
18362;65;9
18363;69;4
18364;71;2
18365;74;3
18366;82;8
18367;85;3
18368;92;7
18369;96;4
18370;105;9
18371;108;3
18372;111;3
18373;114;3
18374;116;2
18375;116;0
18376;117;1
18377;122;5
18378;123;1
18379;124;1
18380;126;2
18381;130;4
18382;131;1
18383;133;2
18384;133;0
18385;135;2
18386;140;5
18387;145;5
18388;162;17
18389;191;29
18390;194;3
18391;210;16
18392;239;29
18393;250;11
18394;261;11
18395;263;2
18396;272;9
18397;287;15
18398;306;19
18399;317;11
18400;352;35
18401;365;13
18402;389;24
18403;399;10
18404;433;34
18405;494;61
18406;582;88
18407;655;73
18408;701;46
18409;731;30
18410;831;100
18411;968;137
18412;1063;95
18413;1172;109
18414;1257;85
18415;1344;87
18416;1486;142
18417;1636;150
18418;1805;169
18419;1934;129
18420;2020;86
18421;2156;136
18422;2336;180
18423;2506;170
18424;2670;164
18425;2915;245
18426;3166;251
18427;3345;179
18428;3521;176
18429;3630;109
18430;3759;129
18431;3954;195
18432;4070;116
18433;4469;399
18434;4532;63
18435;4663;131
18436;4848;185
18437;5034;186
18438;5175;141
18439;5425;250
18440;5570;145
18441;5689;119
18442;5846;157
18443;5846;0
18444;5846;0
18445;5846;0
18446;5846;0
18447;5846;0
18448;5846;0
18449;5846;0
18450;5846;0
18451;6774;928
18452;6973;199
18453;7120;147
18454;7402;282
18455;7560;158
18456;7766;206
18457;7969;203
18458;8181;212
18459;8475;294
18460;8803;328
18461;9147;344
18462;9503;356
18463;10207;704
18464;11072;865
18465;11524;452
18466;11933;409
18467;12693;760
18468;13248;555
18469;13968;720
18470;14547;579
18471;15200;653
18472;15810;610
18473;16615;805
18474;17530;915
18475;17999;469
18476;18706;707
18477;19289;583
18478;19877;588
18479;20336;459
18480;20900;564
18481;21452;552
18482;22253;801
18483;22818;565
18484;23591;773
18485;24175;584
18486;25118;943
18487;26204;1086
18488;27242;1038
18489;28894;1652
18490;29876;982
18491;31336;1460
18492;32722;1386
18493;34058;1336
18494;35836;1778
18495;37665;1829
18496;39033;1368
18497;40671;1638
18498;42143;1472
18499;43688;1545
18500;45221;1533
18501;46407;1186
18502;48140;1733
18503;49654;1514
18504;51122;1468
18505;52131;1009
18506;53304;1173
18507;54409;1105
18508;55213;804
18509;56516;1303
18510;57466;950
18511;58672;1206
18512;59648;976
18513;60784;1136
18514;61700;916
18515;62578;878
18516;63367;789
18517;63888;521
18518;64301;413
18519;64786;485
18520;65486;700
18521;66224;738
18522;66913;689
18523;67515;602
18524;68131;616
18525;68820;689
