condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;1;1
18339;1;0
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;2;1
18345;3;1
18346;3;0
18347;3;0
18348;3;0
18349;3;0
18350;4;1
18351;4;0
18352;4;0
18353;4;0
18354;4;0
18355;4;0
18356;4;0
18357;4;0
18358;4;0
18359;4;0
18360;4;0
18361;4;0
18362;4;0
18363;9;5
18364;9;0
18365;9;0
18366;9;0
18367;9;0
18368;9;0
18369;9;0
18370;9;0
18371;10;1
18372;10;0
18373;10;0
18374;10;0
18375;10;0
18376;10;0
18377;10;0
18378;10;0
18379;10;0
18380;10;0
18381;10;0
18382;11;1
18383;12;1
18384;17;5
18385;17;0
18386;17;0
18387;17;0
18388;17;0
18389;18;1
18390;20;2
18391;20;0
18392;20;0
18393;22;2
18394;22;0
18395;23;1
18396;23;0
18397;23;0
18398;23;0
18399;23;0
18400;24;1
18401;24;0
18402;24;0
18403;24;0
18404;25;1
18405;25;0
18406;25;0
18407;25;0
18408;25;0
18409;25;0
18410;25;0
18411;25;0
18412;25;0
18413;25;0
18414;25;0
18415;25;0
18416;26;1
18417;26;0
18418;26;0
18419;26;0
18420;26;0
18421;28;2
18422;28;0
18423;28;0
18424;28;0
18425;28;0
18426;28;0
18427;28;0
18428;30;2
18429;34;4
18430;34;0
18431;36;2
18432;36;0
18433;37;1
18434;37;0
18435;41;4
18436;42;1
18437;42;0
18438;43;1
18439;43;0
18440;44;1
18441;45;1
18442;47;2
18443;49;2
18444;49;0
18445;55;6
18446;55;0
18447;57;2
18448;57;0
18449;61;4
18450;61;0
18451;61;0
18452;63;2
18453;64;1
18454;64;0
18455;64;0
18456;64;0
18457;64;0
18458;64;0
18459;78;14
18460;78;0
18461;93;15
18462;93;0
18463;112;19
18464;112;0
18465;146;34
18466;170;24
18467;216;46
18468;277;61
18469;277;0
18470;326;49
18471;326;0
18472;326;0
18473;403;77
18474;498;95
18475;498;0
18476;498;0
18477;498;0
18478;671;173
18479;799;128
18480;935;136
18481;1090;155
18482;1090;0
18483;1235;145
18484;1235;0
18485;1346;111
18486;1477;131
18487;1556;79
18488;1623;67
18489;1689;66
18490;1872;183
18491;1872;0
18492;2116;244
18493;2288;172
18494;2401;113
18495;2437;36
18496;2437;0
18497;2685;248
18498;2585;-100
18499;2686;101
18500;2708;22
18501;2743;35
18502;2797;54
18503;2895;98
18504;2963;68
18505;2963;0
18506;3029;66
18507;3067;38
18508;3101;34
18509;3120;19
18510;3150;30
18511;3197;47
18512;3197;0
18513;3275;78
18514;3293;18
18515;3330;37
18516;3362;32
18517;3376;14
18518;3405;29
18519;3405;0
18520;3428;23
18521;3440;12
18522;3473;33
18523;3485;12
18524;3504;19
18525;3526;22
18526;3526;0
18527;3540;14
18528;3542;2
18529;3552;10
18530;3555;3
18531;3555;0
18532;3569;14
18533;3569;0
18534;3579;10
18535;3579;0
18536;3584;5
