condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;1;0
18320;1;0
18321;1;0
18322;3;2
18323;3;0
18324;3;0
18325;3;0
18326;4;1
18327;4;0
18328;4;0
18329;13;9
18330;15;2
18331;15;0
18332;24;9
18333;24;0
18334;25;1
18335;30;5
18336;33;3
18337;33;0
18338;34;1
18339;38;4
18340;40;2
18341;43;3
18342;49;6
18343;54;5
18344;61;7
18345;70;9
18346;75;5
18347;79;4
18348;83;4
18349;90;7
18350;91;1
18351;103;12
18352;110;7
18353;117;7
18354;134;17
18355;155;21
18356;162;7
18357;174;12
18358;188;14
18359;196;8
18360;211;15
18361;218;7
18362;234;16
18363;242;8
18364;257;15
18365;272;15
18366;300;28
18367;306;6
18368;348;42
18369;370;22
18370;388;18
18371;394;6
18372;402;8
18373;408;6
18374;416;8
18375;425;9
18376;444;19
18377;456;12
18378;486;30
18379;497;11
18380;511;14
18381;517;6
18382;539;22
18383;566;27
18384;582;16
18385;589;7
18386;593;4
18387;604;11
18388;610;6
18389;615;5
18390;623;8
18391;626;3
18392;635;9
18393;638;3
18394;642;4
18395;647;5
18396;667;20
18397;671;4
18398;683;12
18399;695;12
18400;701;6
18401;707;6
18402;713;6
18403;721;8
18404;723;2
18405;728;5
18406;730;2
18407;731;1
18408;732;1
18409;735;3
18410;738;3
18411;746;8
18412;757;11
18413;783;26
18414;794;11
18415;796;2
18416;800;4
18417;801;1
18418;805;4
18419;808;3
18420;809;1
18421;812;3
18422;818;6
18423;827;9
18424;831;4
18425;843;12
18426;851;8
18427;864;13
18428;879;15
18429;879;0
18430;888;9
18431;893;5
18432;896;3
18433;898;2
18434;906;8
18435;908;2
18436;911;3
18437;914;3
18438;917;3
18439;919;2
18440;921;2
18441;924;3
18442;926;2
18443;928;2
18444;931;3
18445;939;8
18446;943;4
18447;948;5
18448;951;3
18449;953;2
18450;958;5
18451;963;5
18452;968;5
18453;973;5
18454;981;8
18455;986;5
18456;995;9
18457;999;4
18458;1004;5
18459;1006;2
18460;1010;4
18461;1018;8
18462;1028;10
18463;1039;11
18464;1049;10
18465;1073;24
18466;1085;12
18467;1104;19
18468;1117;13
18469;1131;14
18470;1137;6
18471;1145;8
18472;1155;10
18473;1160;5
18474;1168;8
18475;1171;3
18476;1177;6
18477;1179;2
18478;1182;3
18479;1197;15
18480;1206;9
18481;1213;7
18482;1216;3
18483;1225;9
18484;1250;25
18485;1264;14
18486;1278;14
18487;1283;5
18488;1306;23
18489;1321;15
18490;1336;15
18491;1341;5
18492;1351;10
18493;1361;10
18494;1370;9
18495;1385;15
18496;1394;9
18497;1411;17
18498;1421;10
18499;1429;8
18500;1436;7
18501;1447;11
18502;1455;8
18503;1462;7
18504;1469;7
18505;1487;18
18506;1510;23
18507;1548;38
18508;1568;20
18509;1596;28
18510;1621;25
18511;1650;29
18512;1684;34
18513;1729;45
18514;1773;44
18515;1830;57
18516;1917;87
18517;2075;158
18518;2227;152
18519;2392;165
18520;2562;170
18521;2758;196
18522;2937;179
18523;3119;182
18524;3306;187
18525;3502;196
18526;3695;193
18527;3913;218
18528;4140;227
18529;4399;259
18530;4664;265
18531;4960;296
18532;5254;294
18533;5552;298
