condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;1;1
18289;4;3
18290;4;0
18291;4;0
18292;5;1
18293;8;3
18294;10;2
18295;12;2
18296;12;0
18297;12;0
18298;12;0
18299;13;1
18300;13;0
18301;14;1
18302;14;0
18303;16;2
18304;16;0
18305;16;0
18306;16;0
18307;16;0
18308;16;0
18309;16;0
18310;16;0
18311;16;0
18312;16;0
18313;16;0
18314;16;0
18315;16;0
18316;16;0
18317;17;1
18318;27;10
18319;46;19
18320;48;2
18321;79;31
18322;130;51
18323;159;29
18324;196;37
18325;262;66
18326;482;220
18327;670;188
18328;799;129
18329;1040;241
18330;1176;136
18331;1457;281
18332;1908;451
18333;2078;170
18334;3675;1597
18335;4585;910
18336;5795;1210
18337;7272;1477
18338;9257;1985
18339;12327;3070
18340;15320;2993
18341;19848;4528
18342;22213;2365
18343;24873;2660
18344;29056;4183
18345;32986;3930
18346;37323;4337
18347;43938;6615
18348;50871;6933
18349;57695;6824
18350;62095;4400
18351;66885;4790
18352;71808;4923
18353;77872;6064
18354;84794;6922
18355;91159;6365
18356;96092;4933
18357;100123;4031
18358;103374;3251
18359;107663;4289
18360;113296;5633
18361;118181;4885
18362;122171;3990
18363;124908;2737
18364;127854;2946
18365;130072;2218
18366;131359;1287
18367;134753;3394
18368;137698;2945
18369;141397;3699
18370;143342;1945
18371;145184;1842
18372;147065;1881
18373;148291;1226
18374;150648;2357
18375;153129;2481
18376;154999;1870
18377;156513;1514
18378;157770;1257
18379;158758;988
18380;159912;1154
18381;161539;1627
18382;163009;1470
18383;164077;1068
18384;164967;890
18385;165664;697
18386;166152;488
18387;167007;855
18388;168162;1155
18389;169430;1268
18390;170588;1158
18391;171324;736
18392;171879;555
18393;172576;697
18394;173171;595
18395;174098;927
18396;174478;380
18397;175233;755
18398;175752;519
18399;176369;617
18400;176551;182
18401;177778;1227
18402;178473;695
18403;179021;548
18404;179710;689
18405;179986;276
18406;180328;342
18407;180600;272
18408;181200;600
18409;181524;324
18410;182196;672
18411;182922;726
18412;183189;267
18413;183410;221
18414;183594;184
18415;183879;285
18416;184121;242
18417;184472;351
18418;184924;452
18419;185450;526
18420;185750;300
18421;186109;359
18422;186506;397
18423;186522;16
18424;186691;169
18425;187226;535
18426;187267;41
18427;187518;251
18428;187682;164
18429;188252;570
18430;188604;352
18431;189817;1213
18432;190299;482
18433;190670;371
18434;191272;602
18435;191768;496
18436;192480;712
18437;192871;391
18438;193371;500
18439;194036;665
18440;194458;422
18441;194693;235
18442;195042;349
18443;195418;376
18444;195893;475
18445;196370;477
18446;196780;410
18447;197198;418
18448;197523;325
18449;198064;541
18450;198343;279
18451;198699;356
18452;199001;302
18453;199332;331
18454;199709;377
18455;199919;210
18456;200180;261
18457;200456;276
18458;200890;434
18459;201450;560
18460;202045;595
18461;202426;381
18462;202735;309
18463;203325;590
18464;203717;392
18465;204276;559
18466;204881;605
18467;205623;742
18468;206278;655
18469;206667;389
18470;207112;445
18471;207707;595
18472;208546;839
18473;209535;989
18474;210399;864
18475;211005;606
18476;211220;215
18477;212111;891
18478;212828;717
18479;214113;1285
18480;215039;926
18481;216196;1157
18482;216903;707
18483;217288;385
18484;218508;1220
18485;219540;1032
18486;220859;1319
18487;222281;1422
18488;223791;1510
18489;224488;697
18490;225007;519
18491;226700;1693
18492;228120;1420
18493;229706;1586
18494;231292;1586
18495;233029;1737
18496;233861;832
18497;234494;633
18498;236122;1628
18499;237583;1461
18500;239010;1427
18501;240571;1561
18502;242126;1555
18503;242835;709
18504;243305;470
18505;244802;1497
18506;246015;1213
18507;247411;1396
18508;248840;1429
