condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;3;2
18320;4;1
18321;4;0
18322;7;3
18323;7;0
18324;7;0
18325;9;2
18326;31;22
18327;45;14
18328;46;1
18329;73;27
18330;73;0
18331;89;16
18332;99;10
18333;99;0
18334;190;91
18335;228;38
18336;331;103
18337;331;0
18338;387;56
18339;418;31
18340;418;0
18341;495;77
18342;530;35
18343;624;94
18344;695;71
18345;743;48
18346;821;78
18347;892;71
18348;966;74
18349;1061;95
18350;1156;95
18351;1212;56
18352;1314;102
18353;1415;101
18354;1544;129
18355;1613;69
18356;1673;60
18357;1735;62
18358;1755;20
18359;1832;77
18360;1884;52
18361;1955;71
18362;2011;56
18363;2081;70
18364;2114;33
18365;2145;31
18366;2170;25
18367;2192;22
18368;2207;15
18369;2224;17
18370;2235;11
18371;2235;0
18372;2245;10
18373;2401;156
18374;2408;7
18375;2463;55
18376;2490;27
18377;2506;16
18378;2517;11
18379;2534;17
18380;2566;32
18381;2576;10
18382;2591;15
18383;2612;21
18384;2620;8
18385;2626;6
18386;2632;6
18387;2642;10
18388;2663;21
18389;2678;15
18390;2691;13
18391;2710;19
18392;2716;6
18393;2726;10
18394;2744;18
18395;2760;16
18396;2770;10
18397;2810;40
18398;2819;9
18399;2834;15
18400;2836;2
18401;2840;4
18402;2850;10
18403;2853;3
18404;2874;21
18405;2876;2
18406;2878;2
18407;2882;4
18408;2892;10
18409;2903;11
18410;2906;3
18411;2909;3
18412;2915;6
18413;2917;2
18414;2918;1
18415;2937;19
18416;2937;0
18417;2952;15
18418;2967;15
18419;2980;13
18420;2997;17
18421;3049;52
18422;3058;9
18423;3068;10
18424;3088;20
18425;3108;20
18426;3112;4
18427;3121;9
18428;3134;13
18429;3148;14
18430;3203;55
18431;3227;24
18432;3237;10
18433;3256;19
18434;3266;10
18435;3287;21
18436;3302;15
18437;3310;8
18438;3321;11
18439;3343;22
18440;3366;23
18441;3376;10
18442;3390;14
18443;3409;19
18444;3432;23
18445;3458;26
18446;3486;28
18447;3511;25
18448;3519;8
18449;3562;43
18450;3589;27
18451;3622;33
18452;3672;50
18453;3732;60
18454;3772;40
18455;3803;31
18456;3826;23
18457;3883;57
18458;3910;27
18459;3939;29
18460;3964;25
18461;3983;19
18462;4007;24
18463;4012;5
18464;4048;36
18465;4077;29
18466;4110;33
18467;4135;25
18468;4166;31
18469;4193;27
18470;4227;34
18471;4279;52
18472;4336;57
18473;4401;65
18474;4477;76
18475;4587;110
18476;4662;75
18477;4737;75
18478;4855;118
18479;4974;119
18480;5123;149
18481;5270;147
18482;5421;151
18483;5623;202
18484;5749;126
18485;5942;193
18486;6177;235
18487;6381;204
18488;6632;251
18489;6858;226
18490;7075;217
18491;7222;147
18492;7472;250
18493;7684;212
18494;7934;250
18495;8138;204
18496;8381;243
18497;8664;283
18498;8819;155
18499;8987;168
18500;9280;293
18501;9531;251
18502;9800;269
18503;9977;177
18504;10134;157
18505;10317;183
18506;10524;207
18507;10757;233
18508;10998;241
18509;11200;202
18510;11386;186
18511;11524;138
18512;11663;139
18513;11832;169
18514;12080;248
18515;12452;372
18516;12734;282
18517;13036;302
18518;13240;204
18519;13420;180
18520;13730;310
