condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;1;1
18344;1;0
18345;1;0
18346;1;0
18347;7;6
18348;7;0
18349;7;0
18350;9;2
18351;9;0
18352;9;0
18353;9;0
18354;10;1
18355;12;2
18356;12;0
18357;12;0
18358;12;0
18359;12;0
18360;12;0
18361;12;0
18362;14;2
18363;14;0
18364;14;0
18365;14;0
18366;14;0
18367;14;0
18368;14;0
18369;14;0
18370;14;0
18371;14;0
18372;14;0
18373;14;0
18374;15;1
18375;15;0
18376;15;0
18377;18;3
18378;18;0
18379;18;0
18380;19;1
18381;20;1
18382;20;0
18383;20;0
18384;21;1
18385;21;0
18386;21;0
18387;21;0
18388;21;0
18389;21;0
18390;21;0
18391;21;0
18392;21;0
18393;21;0
18394;21;0
18395;21;0
18396;21;0
18397;22;1
18398;22;0
18399;22;0
18400;22;0
18401;22;0
18402;22;0
18403;22;0
18404;22;0
18405;22;0
18406;22;0
18407;23;1
18408;23;0
18409;23;0
18410;23;0
18411;23;0
18412;23;0
18413;23;0
18414;23;0
18415;23;0
18416;23;0
18417;23;0
18418;23;0
18419;23;0
18420;23;0
18421;23;0
18422;23;0
18423;23;0
18424;23;0
18425;23;0
18426;23;0
18427;23;0
18428;23;0
18429;23;0
18430;23;0
18431;23;0
18432;23;0
18433;23;0
18434;23;0
18435;23;0
18436;23;0
18437;23;0
18438;23;0
18439;23;0
18440;23;0
18441;23;0
18442;23;0
18443;23;0
18444;23;0
18445;23;0
18446;23;0
18447;23;0
18448;23;0
18449;23;0
18450;23;0
18451;23;0
18452;23;0
18453;23;0
18454;23;0
18455;23;0
18456;23;0
18457;23;0
18458;23;0
18459;23;0
18460;23;0
18461;23;0
18462;23;0
18463;23;0
18464;23;0
18465;23;0
18466;23;0
18467;23;0
18468;23;0
18469;23;0
18470;23;0
18471;23;0
18472;23;0
18473;24;1
18474;24;0
18475;24;0
18476;24;0
18477;24;0
18478;24;0
18479;24;0
18480;24;0
18481;24;0
18482;24;0
18483;24;0
18484;24;0
18485;24;0
18486;24;0
18487;24;0
18488;24;0
18489;24;0
18490;24;0
18491;24;0
18492;24;0
18493;24;0
18494;24;0
18495;24;0
18496;24;0
18497;24;0
18498;24;0
18499;24;0
18500;24;0
18501;24;0
18502;24;0
18503;24;0
18504;24;0
18505;24;0
18506;24;0
18507;24;0
18508;24;0
18509;24;0
18510;24;0
18511;24;0
18512;24;0
18513;24;0
18514;24;0
18515;24;0
18516;24;0
18517;24;0
18518;24;0
18519;24;0
18520;24;0
18521;24;0
18522;24;0
18523;24;0
18524;24;0
18525;24;0
18526;24;0
18527;24;0
18528;24;0
18529;24;0
18530;24;0
18531;24;0
18532;24;0
18533;24;0
18534;24;0
18535;24;0
18536;24;0
18537;24;0
18538;24;0
18539;24;0
18540;24;0
18541;24;0
18542;24;0
18543;24;0
18544;24;0
