condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;1;0
18337;2;1
18338;6;4
18339;6;0
18340;9;3
18341;12;3
18342;17;5
18343;19;2
18344;20;1
18345;21;1
18346;24;3
18347;25;1
18348;28;3
18349;34;6
18350;34;0
18351;36;2
18352;38;2
18353;39;1
18354;47;8
18355;50;3
18356;61;11
18357;61;0
18358;70;9
18359;77;7
18360;87;10
18361;95;8
18362;126;31
18363;137;11
18364;155;18
18365;156;1
18366;167;11
18367;180;13
18368;196;16
18369;214;18
18370;235;21
18371;257;22
18372;289;32
18373;294;5
18374;316;22
18375;384;68
18376;430;46
18377;473;43
18378;500;27
18379;530;30
18380;530;0
18381;557;27
18382;599;42
18383;644;45
18384;688;44
18385;703;15
18386;730;27
18387;763;33
18388;798;35
18389;832;34
18390;900;68
18391;967;67
18392;1052;85
18393;1114;62
18394;1199;85
18395;1342;143
18396;1518;176
18397;1643;125
18398;1763;120
18399;1763;0
18400;1912;149
18401;2133;221
18402;2265;132
18403;2512;247
18404;2743;231
18405;3054;311
18406;3424;370
18407;3760;336
18408;3954;194
18409;4145;191
18410;4348;203
18411;4607;259
18412;4739;132
18413;5087;348
18414;5336;249
18415;5586;250
18416;5760;174
18417;6154;394
18418;6485;331
18419;6792;307
18420;7055;263
18421;7502;447
18422;7866;364
18423;8221;355
18424;8561;340
18425;8982;421
18426;9491;509
18427;9845;354
18428;10272;427
18429;10706;434
18430;11251;545
18431;11868;617
18432;12509;641
18433;12755;246
18434;13145;390
18435;13769;624
18436;14540;771
18437;14819;279
18438;15619;800
18439;15828;209
18440;16397;569
18441;16930;533
18442;17409;479
18443;18096;687
18444;19011;915
18445;20072;1061
18446;21293;1221
18447;22501;1208
18448;23248;747
18449;23972;724
18450;24787;815
18451;25411;624
18452;26658;1247
18453;27619;961
18454;28598;979
18455;29355;757
18456;29742;387
18457;30872;1130
18458;32074;1202
18459;32939;865
18460;33809;870
18461;38042;4233
18462;38677;635
18463;39039;362
18464;40229;1190
18465;41135;906
18466;42192;1057
18467;43283;1091
18468;44492;1209
18469;45053;561
18470;45309;256
18471;46451;1142
18472;47605;1154
18473;48826;1221
18474;49789;963
18475;50979;1190
18476;51306;327
18477;51542;236
18478;52365;823
18479;53509;1144
18480;54339;830
18481;55270;931
18482;56189;919
18483;56605;416
18484;56987;382
18485;57966;979
18486;59089;1123
18487;60284;1195
18488;61428;1144
18489;62313;885
18490;62562;249
18491;62944;382
18492;63847;903
18493;64881;1034
18494;65983;1102
18495;66941;958
18496;67856;915
18497;68188;332
18498;68533;345
18499;69651;1118
18500;70714;1063
18501;71856;1142
18502;72921;1065
18503;73679;758
18504;73912;233
18505;74074;162
18506;74893;819
18507;75644;751
18508;76358;714
18509;77040;682
18510;77481;441
18511;77683;202
18512;77828;145
18513;78721;893
18514;79622;901
18515;80306;684
18516;81009;703
18517;81658;649
18518;81909;251
18519;82172;263
18520;82684;512
18521;82924;240
18522;83664;740
