condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;2;2
18347;2;0
18348;2;0
18349;2;0
18350;2;0
18351;8;6
18352;8;0
18353;9;1
18354;9;0
18355;15;6
18356;18;3
18357;18;0
18358;18;0
18359;33;15
18360;33;0
18361;36;3
18362;36;0
18363;38;2
18364;38;0
18365;38;0
18366;38;0
18367;43;5
18368;43;0
18369;43;0
18370;46;3
18371;50;4
18372;50;0
18373;50;0
18374;50;0
18375;50;0
18376;52;2
18377;52;0
18378;53;1
18379;73;20
18380;73;0
18381;205;132
18382;205;0
18383;257;52
18384;257;0
18385;257;0
18386;413;156
18387;413;0
18388;475;62
18389;564;89
18390;594;30
18391;641;47
18392;726;85
18393;761;35
18394;820;59
18395;836;16
18396;913;77
18397;913;0
18398;969;56
18399;990;21
18400;1032;42
18401;1038;6
18402;1089;51
18403;1109;20
18404;1114;5
18405;1114;0
18406;1114;0
18407;1178;64
18408;1178;0
18409;1195;17
18410;1195;0
18411;1256;61
18412;1256;0
18413;1256;0
18414;1339;83
18415;1339;0
18416;1339;0
18417;1339;0
18418;1368;29
18419;1368;0
18420;1368;0
18421;1389;21
18422;1389;0
18423;1389;0
18424;1389;0
18425;1460;71
18426;1460;0
18427;1460;0
18428;1492;32
18429;1492;0
18430;1492;0
18431;1492;0
18432;1541;49
18433;1541;0
18434;1541;0
18435;1556;15
18436;1556;0
18437;1556;0
18438;1556;0
18439;1614;58
18440;1614;0
18441;1614;0
18442;1654;40
18443;1654;0
18444;1654;0
18445;1654;0
18446;1765;111
18447;1765;0
18448;1765;0
18449;1790;25
18450;1790;0
18451;1790;0
18452;1790;0
18453;1842;52
18454;1842;0
18455;1842;0
18456;1842;0
18457;1842;0
18458;1842;0
18459;1902;60
18460;1927;25
18461;1949;22
18462;1949;0
18463;1949;0
18464;1954;5
18465;1954;0
18466;1954;0
18467;1954;0
18468;1954;0
18469;1954;0
18470;1954;0
18471;1954;0
18472;1954;0
18473;1981;27
18474;1981;0
18475;1981;0
18476;1981;0
18477;1981;0
18478;1981;0
18479;2032;51
18480;2032;0
18481;2032;0
18482;2052;20
18483;2052;0
18484;2052;0
18485;2088;36
18486;2088;0
18487;2088;0
18488;2088;0
18489;2117;29
18490;2117;0
18491;2117;0
18492;2117;0
18493;2117;0
18494;2149;32
18495;2149;0
18496;2149;0
18497;2149;0
18498;2149;0
18499;2149;0
18500;2205;56
18501;2205;0
18502;2205;0
18503;2205;0
18504;2205;0
18505;2205;0
18506;2205;0
18507;2205;0
18508;2205;0
18509;2245;40
18510;2245;0
18511;2245;0
18512;2245;0
18513;2245;0
18514;2245;0
18515;2275;30
18516;2275;0
18517;2275;0
18518;2275;0
18519;2275;0
18520;2275;0
18521;2275;0
18522;2275;0
18523;2303;28
18524;2303;0
18525;2303;0
18526;2303;0
