condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;1;1
18335;1;0
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;1;0
18342;2;1
18343;2;0
18344;4;2
18345;4;0
18346;4;0
18347;4;0
18348;8;4
18349;8;0
18350;16;8
18351;22;6
18352;22;0
18353;30;8
18354;52;22
18355;73;21
18356;111;38
18357;121;10
18358;128;7
18359;144;16
18360;164;20
18361;194;30
18362;212;18
18363;250;38
18364;250;0
18365;319;69
18366;363;44
18367;404;41
18368;438;34
18369;477;39
18370;518;41
18371;579;61
18372;622;43
18373;688;66
18374;761;73
18375;862;101
18376;954;92
18377;996;42
18378;996;0
18379;1163;167
18380;1240;77
18381;1351;111
18382;1495;144
18383;1537;42
18384;1586;49
18385;1586;0
18386;1710;124
18387;1811;101
18388;1856;45
18389;1927;71
18390;2009;82
18391;2042;33
18392;2146;104
18393;2146;0
18394;2298;152
18395;2374;76
18396;2473;99
18397;2473;0
18398;2658;185
18399;2658;0
18400;2796;138
18401;2863;67
18402;2863;0
18403;3067;204
18404;3067;0
18405;3176;109
18406;3275;99
18407;3275;0
18408;3275;0
18409;3275;0
18410;3553;278
18411;3656;103
18412;3706;50
18413;3706;0
18414;3844;138
18415;3886;42
18416;3933;47
18417;3991;58
18418;4060;69
18419;4117;57
18420;4117;0
18421;4216;99
18422;4258;42
18423;4258;0
18424;4372;114
18425;4426;54
18426;4484;58
18427;4532;48
18428;4572;40
18429;4639;67
18430;4668;29
18431;4841;173
18432;4904;63
18433;4960;56
18434;4988;28
18435;4988;0
18436;5040;52
18437;5174;134
18438;5174;0
18439;5260;86
18440;5291;31
18441;5342;51
18442;5351;9
18443;5391;40
18444;5404;13
18445;5450;46
18446;5521;71
18447;5570;49
18448;5610;40
18449;5610;0
18450;5636;26
18451;5697;61
18452;5881;184
18453;5969;88
18454;6044;75
18455;6141;97
18456;6141;0
18457;6200;59
18458;6276;76
18459;6359;83
18460;6430;71
18461;6491;61
18462;6544;53
18463;6590;46
18464;6652;62
18465;6747;95
18466;6806;59
18467;6867;61
18468;6927;60
18469;7008;81
18470;7055;47
18471;7126;71
18472;7183;57
18473;7242;59
18474;7308;66
18475;7308;0
18476;7317;9
18477;7364;47
18478;7489;125
18479;7575;86
18480;7664;89
18481;7777;113
18482;7875;98
18483;7930;55
18484;7930;0
18485;8018;88
18486;8116;98
18487;8198;82
18488;8260;62
18489;8343;83
18490;8482;139
18491;8620;138
18492;8715;95
18493;8792;77
18494;8876;84
18495;8932;56
18496;8932;0
18497;8967;35
18498;9076;109
18499;9128;52
18500;9167;39
18501;9213;46
18502;9251;38
18503;9251;0
18504;9371;120
18505;9409;38
18506;9479;70
18507;9479;0
18508;9579;100
18509;9649;70
18510;9649;0
18511;9798;149
18512;9816;18
18513;9848;32
18514;9885;37
18515;9946;61
18516;9979;33
18517;10020;41
18518;10045;25
18519;10061;16
18520;10111;50
18521;10154;43
18522;10154;0
18523;10231;77
