condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;2;2
18326;2;0
18327;2;0
18328;4;2
18329;7;3
18330;9;2
18331;9;0
18332;13;4
18333;13;0
18334;19;6
18335;30;11
18336;32;2
18337;39;7
18338;50;11
18339;58;8
18340;73;15
18341;85;12
18342;103;18
18343;131;28
18344;167;36
18345;187;20
18346;226;39
18347;261;35
18348;300;39
18349;343;43
18350;408;65
18351;447;39
18352;492;45
18353;525;33
18354;585;60
18355;623;38
18356;678;55
18357;733;55
18358;744;11
18359;817;73
18360;895;78
18361;980;85
18362;1190;210
18363;1310;120
18364;1410;100
18365;1458;48
18366;1512;54
18367;1579;67
18368;1652;73
18369;1763;111
18370;1834;71
18371;1916;82
18372;1984;68
18373;2098;114
18374;2168;70
18375;2284;116
18376;2443;159
18377;2443;0
18378;2500;57
18379;2583;83
18380;2649;66
18381;2727;78
18382;2775;48
18383;2863;88
18384;2942;79
18385;2998;56
18386;3035;37
18387;3065;30
18388;3111;46
18389;3150;39
18390;3178;28
18391;3213;35
18392;3263;50
18393;3284;21
18394;3313;29
18395;3341;28
18396;3380;39
18397;3417;37
18398;3473;56
18399;3509;36
18400;3535;26
18401;3556;21
18402;3598;42
18403;3641;43
18404;3678;37
18405;3713;35
18406;3741;28
18407;3756;15
18408;3771;15
18409;3793;22
18410;3816;23
18411;3841;25
18412;3867;26
18413;3876;9
18414;3892;16
18415;3921;29
18416;3931;10
18417;3954;23
18418;3970;16
18419;3990;20
18420;4008;18
18421;4014;6
18422;4017;3
18423;4027;10
18424;4039;12
18425;4053;14
18426;4064;11
18427;4069;5
18428;4076;7
18429;4077;1
18430;4078;1
18431;4079;1
18432;4081;2
18433;4086;5
18434;4094;8
18435;4102;8
18436;4107;5
18437;4114;7
18438;4123;9
18439;4127;4
18440;4138;11
18441;4142;4
18442;4145;3
18443;4155;10
18444;4157;2
18445;4166;9
18446;4172;6
18447;4174;2
18448;4183;9
18449;4189;6
18450;4205;16
18451;4210;5
18452;4220;10
18453;4223;3
18454;4229;6
18455;4234;5
18456;4247;13
18457;4258;11
18458;4263;5
18459;4279;16
18460;4293;14
18461;4315;22
18462;4333;18
18463;4339;6
18464;4347;8
18465;4366;19
18466;4380;14
18467;4398;18
18468;4424;26
18469;4435;11
18470;4448;13
18471;4456;8
18472;4465;9
18473;4484;19
18474;4505;21
18475;4526;21
18476;4535;9
18477;4544;9
18478;4553;9
18479;4564;11
18480;4597;33
18481;4621;24
18482;4653;32
18483;4696;43
18484;4731;35
18485;4746;15
18486;4768;22
18487;4813;45
18488;4853;40
18489;4877;24
18490;4916;39
18491;4946;30
18492;4970;24
18493;5002;32
18494;5046;44
18495;5098;52
18496;5133;35
18497;5155;22
18498;5191;36
18499;5215;24
18500;5288;73
18501;5379;91
18502;5511;132
18503;5669;158
18504;5961;292
18505;6139;178
18506;6257;118
18507;6622;365
18508;6923;301
18509;7382;459
18510;7892;510
18511;8387;495
18512;8963;576
18513;9304;341
18514;9715;411
18515;10191;476
18516;10909;718
18517;11825;916
18518;12309;484
18519;13153;844
18520;13879;726
18521;14460;581
