condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;1;1
18321;1;0
18322;3;2
18323;6;3
18324;11;5
18325;26;15
18326;34;8
18327;43;9
18328;50;7
18329;50;0
18330;58;8
18331;69;11
18332;85;16
18333;103;18
18334;134;31
18335;156;22
18336;171;15
18337;180;9
18338;220;40
18339;250;30
18340;330;80
18341;409;79
18342;473;64
18343;568;95
18344;588;20
18345;648;60
18346;737;89
18347;802;65
18348;890;88
18349;963;73
18350;1020;57
18351;1086;66
18352;1135;49
18353;1220;85
18354;1319;99
18355;1364;45
18356;1417;53
18357;1486;69
18358;1562;76
18359;1586;24
18360;1616;30
18361;1648;32
18362;1675;27
18363;1689;14
18364;1701;12
18365;1711;10
18366;1720;9
18367;1727;7
18368;1739;12
18369;1754;15
18370;1760;6
18371;1771;11
18372;1773;2
18373;1778;5
18374;1785;7
18375;1789;4
18376;1789;0
18377;1790;1
18378;1792;2
18379;1792;0
18380;1795;3
18381;1797;2
18382;1797;0
18383;1798;1
18384;1798;0
18385;1799;1
18386;1799;0
18387;1799;0
18388;1799;0
18389;1801;2
18390;1801;0
18391;1801;0
18392;1801;0
18393;1801;0
18394;1801;0
18395;1802;1
18396;1802;0
18397;1802;0
18398;1802;0
18399;1802;0
18400;1802;0
18401;1802;0
18402;1803;1
18403;1803;0
18404;1803;0
18405;1804;1
18406;1804;0
18407;1804;0
18408;1804;0
18409;1805;1
18410;1805;0
18411;1805;0
18412;1806;1
18413;1806;0
18414;1806;0
18415;1806;0
18416;1806;0
18417;1806;0
18418;1806;0
18419;1806;0
18420;1807;1
18421;1807;0
18422;1807;0
18423;1807;0
18424;1807;0
18425;1807;0
18426;1808;1
18427;1810;2
18428;1811;1
18429;1812;1
18430;1812;0
18431;1814;2
18432;1815;1
18433;1815;0
18434;1815;0
18435;1815;0
18436;1815;0
18437;1817;2
18438;1818;1
18439;1820;2
18440;1820;0
18441;1821;1
18442;1822;1
18443;1824;2
18444;1825;1
18445;1830;5
18446;1830;0
18447;1830;0
18448;1830;0
18449;1832;2
18450;1833;1
18451;1833;0
18452;1833;0
18453;1833;0
18454;1833;0
18455;1833;0
18456;1833;0
18457;1835;2
18458;1835;0
18459;1836;1
18460;1836;0
18461;1838;2
18462;1839;1
18463;1839;0
18464;1839;0
18465;1840;1
18466;1841;1
18467;1843;2
18468;1843;0
18469;1847;4
18470;1854;7
18471;1857;3
18472;1861;4
18473;1872;11
18474;1885;13
18475;1893;8
18476;1907;14
18477;1915;8
18478;1918;3
18479;1926;8
18480;1932;6
18481;1952;20
18482;1955;3
18483;1958;3
18484;1962;4
18485;1968;6
18486;1972;4
18487;1976;4
18488;1983;7
18489;1999;16
18490;2011;12
18491;2014;3
18492;2027;13
18493;2035;8
18494;2040;5
18495;2050;10
18496;2058;8
18497;2064;6
18498;2073;9
18499;2077;4
18500;2082;5
18501;2087;5
18502;2092;5
18503;2100;8
18504;2105;5
18505;2107;2
18506;2116;9
18507;2121;5
18508;2128;7
18509;2135;7
18510;2136;1
18511;2141;5
18512;2143;2
18513;2150;7
18514;2153;3
18515;2157;4
18516;2161;4
18517;2162;1
18518;2165;3
18519;2168;3
18520;2174;6
