condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;1;1
18292;1;0
18293;1;0
18294;2;1
18295;3;1
18296;3;0
18297;3;0
18298;3;0
18299;3;0
18300;3;0
18301;3;0
18302;3;0
18303;3;0
18304;3;0
18305;3;0
18306;3;0
18307;3;0
18308;3;0
18309;3;0
18310;3;0
18311;3;0
18312;3;0
18313;3;0
18314;3;0
18315;3;0
18316;3;0
18317;3;0
18318;3;0
18319;3;0
18320;3;0
18321;3;0
18322;3;0
18323;5;2
18324;5;0
18325;28;23
18326;30;2
18327;31;1
18328;34;3
18329;39;5
18330;43;4
18331;56;13
18332;62;6
18333;73;11
18334;82;9
18335;102;20
18336;113;11
18337;119;6
18338;142;23
18339;156;14
18340;194;38
18341;244;50
18342;330;86
18343;396;66
18344;499;103
18345;536;37
18346;657;121
18347;727;70
18348;887;160
18349;987;100
18350;1024;37
18351;1251;227
18352;1397;146
18353;1998;601
18354;2543;545
18355;2567;24
18356;3082;515
18357;3588;506
18358;4778;1190
18359;5311;533
18360;5916;605
18361;6725;809
18362;7598;873
18363;8446;848
18364;9205;759
18365;10453;1248
18366;11487;1034
18367;12322;835
18368;13430;1108
18369;14352;922
18370;15722;1370
18371;17615;1893
18372;18539;924
18373;20080;1541
18374;21370;1290
18375;23077;1707
18376;24530;1453
18377;26283;1753
18378;27890;1607
18379;29451;1561
18380;31324;1873
18381;33062;1738
18382;34863;1801
18383;37257;2394
18384;39699;2442
18385;42505;2806
18386;46437;3932
18387;49400;2963
18388;52987;3587
18389;56351;3364
18390;59695;3344
18391;62808;3113
18392;67161;4353
18393;70768;3607
18394;74292;3524
18395;78055;3763
18396;81997;3942
18397;85784;3787
18398;90648;4864
18399;95698;5050
18400;100328;4630
18401;106475;6147
18402;112028;5553
18403;118226;6198
18404;124794;6568
18405;131423;6629
18406;138536;7113
18407;144950;6414
18408;150793;5843
18409;158086;7293
18410;165386;7300
18411;173491;8105
18412;181827;8336
18413;190609;8782
18414;198370;7761
18415;207191;8821
18416;216824;9633
18417;226713;9889
18418;236184;9471
18419;246622;10438
18420;257486;10864
18421;265928;8442
18422;276146;10218
18423;286605;10459
18424;297535;10930
18425;308993;11458
18426;320922;11929
18427;332424;11502
18428;343091;10667
18429;354065;10974
18430;366946;12881
18431;380532;13586
18432;395048;14516
18433;410451;15403
18434;425282;14831
18435;440215;14933
18436;456183;15968
18437;473105;16922
18438;490401;17296
18439;508953;18552
18440;528859;19906
18441;548318;19459
18442;566840;18522
18443;585481;18641
18444;604641;19160
18445;625544;20903
18446;648315;22771
18447;673165;24850
18448;697413;24248
18449;719664;22251
18450;742417;22753
18451;767296;24879
18452;793802;26506
18453;820916;27114
18454;849522;28606
18455;878254;28732
18456;906752;28498
18457;936181;29429
18458;968857;32676
18459;1003832;34975
18460;1039084;35252
18461;1077781;38697
18462;1118206;40425
18463;1155338;37132
18464;1193078;37740
18465;1238798;45720
18466;1288108;49310
18467;1337024;48916
18468;1385635;48611
18469;1435616;49981
18470;1480073;44457
18471;1531669;51596
18472;1581963;50294
18473;1634746;52783
18474;1695988;61242
18475;1750723;54735
18476;1803695;52972
18477;1855745;52050
18478;1908254;52509
18479;1964536;56282
18480;2027074;62538
18481;2088611;61537
18482;2153010;64399
18483;2215074;62064
18484;2268675;53601
18485;2329638;60963
18486;2396637;66999
18487;2461190;64553
18488;2525922;64732
18489;2589952;64030
18490;2647663;57711
18491;2702681;55018
18492;2767253;64572
18493;2836925;69672
18494;2905825;68900
18495;2975701;69876
18496;3044940;69239
18497;3106348;61408
18498;3167323;60975
