condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;2;2
18324;2;0
18325;2;0
18326;2;0
18327;4;2
18328;4;0
18329;6;2
18330;19;13
18331;27;8
18332;34;7
18333;34;0
18334;69;35
18335;96;27
18336;117;21
18337;134;17
18338;172;38
18339;227;55
18340;311;84
18341;369;58
18342;450;81
18343;514;64
18344;579;65
18345;686;107
18346;790;104
18347;893;103
18348;1046;153
18349;1155;109
18350;1285;130
18351;1414;129
18352;1528;114
18353;1677;149
18354;1790;113
18355;1986;196
18356;2092;106
18357;2273;181
18358;2491;218
18359;2738;247
18360;2956;218
18361;3293;337
18362;3512;219
18363;3842;330
18364;4241;399
18365;4557;316
18366;4839;282
18367;5136;297
18368;5516;380
18369;5923;407
18370;6248;325
18371;6575;327
18372;6760;185
18373;7135;375
18374;7418;283
18375;7775;357
18376;8211;436
18377;8607;396
18378;8882;275
18379;9096;214
18380;9511;415
18381;9771;260
18382;10118;347
18383;10551;433
18384;10843;292
18385;11192;349
18386;11587;395
18387;12071;484
18388;12438;367
18389;12776;338
18390;13112;336
18391;13645;533
18392;14032;387
18393;14265;233
18394;14749;484
18395;15438;689
18396;16006;568
18397;16496;490
18398;17025;529
18399;17514;489
18400;18010;496
18401;18496;486
18402;19189;693
18403;20162;973
18404;20796;634
18405;21745;949
18406;22271;526
18407;22750;479
18408;23165;415
18409;23851;686
18410;24538;687
18411;25216;678
18412;25773;557
18413;26473;700
18414;26940;467
18415;27549;609
18416;28233;684
18417;28818;585
18418;29521;703
18419;30514;993
18420;31186;672
18421;32033;847
18422;33076;1043
18423;34316;1240
18424;35295;979
18425;36406;1111
18426;37420;1014
18427;38277;857
18428;39294;1017
18429;40400;1106
18430;41431;1031
18431;42762;1331
18432;43803;1041
18433;45029;1226
18434;45891;862
18435;46845;954
18436;47896;1051
18437;49009;1113
18438;50187;1178
18439;51427;1240
18440;52812;1385
18441;54010;1198
18442;55092;1082
18443;56385;1293
18444;57770;1385
18445;59394;1624
18446;60695;1301
18447;62142;1447
18448;63749;1607
18449;64958;1209
18450;66226;1268
18451;68079;1853
18452;70736;2657
18453;72347;1611
18454;74018;1671
18455;75699;1681
18456;76981;1282
18457;78572;1591
18458;80094;1522
18459;81668;1574
18460;83130;1462
18461;84882;1752
18462;86521;1639
18463;88214;1693
18464;89869;1655
18465;91751;1882
18466;93657;1906
18467;95418;1761
18468;97286;1868
18469;98778;1492
18470;100303;1525
18471;102051;1748
18472;104432;2381
18473;106336;1904
18474;108376;2040
18475;109936;1560
18476;111455;1519
18477;113134;1679
18478;115056;1922
18479;116871;1815
18480;118753;1882
18481;121226;2473
18482;123503;2277
18483;125396;1893
18484;127083;1687
18485;128776;1693
18486;130718;1942
18487;132816;2098
18488;135123;2307
18489;137468;2345
18490;139549;2081
18491;141370;1821
18492;143043;1673
18493;144945;1902
18494;147211;2266
18495;149408;2197
18496;151498;2090
18497;153535;2037
18498;155412;1877
18499;157859;2447
18500;160165;2306
18501;162884;2719
18502;165887;3003
18503;169195;3308
18504;172053;2858
18505;174796;2743
18506;177571;2775
18507;180646;3075
18508;184268;3622
18509;187537;3269
